سُورَةُ قٓ
000_00	Au nom d'Allah, le Tout Miséricordieux, le Très Miséricordieux.
001_00	Qâf. Par le Coran glorieux!
002_00	Mais ils s'étonnent que l'un des leurs leur vint comme avertisseur; et les mécréants dirent: «Ceci est une chose étonnante.
003_00	Quoi! Quand nous serons morts et réduits en poussière...? Ce serait revenir de loin!»
004_00	Certes, Nous savons ce que la terre rongera d'eux [de leurs corps]; et Nous avons un Livre où tout est conservé.
005_00	Plutôt, ils traitent de mensonge la vérité qui leur est venue: les voilà donc dans une situation confuse.
006_00	N'ont-ils donc pas observé le ciel au-dessus d'eux, comment Nous l'avons bâti et embelli; et comment il est sans fissures?
007_00	Et la terre, Nous l'avons étendue et Nous y avons enfoncé fermement des montagnes et y avons fait pousser toutes sortes de magnifiques couples de [végétaux],
008_00	à titre d'appel à la clairvoyance et un rappel pour tout serviteur repentant.
009_00	Et Nous avons fait descendre du ciel une eau bénie, avec laquelle Nous avons fait pousser des jardins et le grain qu'on moissonne,
010_00	ainsi que les hauts palmiers aux régimes superposés,
011_00	comme subsistance pour les serviteurs. Et par elle (l'eau) Nous avons redonné la vie à une contrée morte. Ainsi se fera la résurrection.
012_00	Avant eux, le peuple de Noé, les gens d'Ar-Rass et les Thamûd crièrent au mensonge,
013_00	de même que les 'Aad et Pharaon et les frères de Lot,
014_00	et les gens d'Al-Aykah et le peuple de Tubba'. Tous traitèrent les Messagers de menteurs. C'est ainsi que Ma menace se justifia.
015_00	Quoi? Avons-Nous été fatigué par la première création? Mais ils sont dans la confusion [au sujet] d'une création nouvelle.
016_00	Nous avons effectivement créé l'homme et Nous savons ce que son âme lui suggère et Nous sommes plus près de lui que sa veine jugulaire
017_00	quand les deux recueillants, assis à droite et à gauche, recueillent.
018_00	Il ne prononce pas une parole sans avoir auprès de lui un observateur prêt à l'inscrire.
019_00	L'agonie de la mort fait apparaître la vérité: «Voilà ce dont tu t'écartais».
020_00	Et l'on soufflera dans la Trompe: Voilà le jour de la Menace.
021_00	Alors chaque âme viendra accompagnée d'un conducteur et d'un témoin.
022_00	«Tu restais indifférent à cela. Et bien, Nous ôtons ton voile; ta vue est perçante aujourd'hui.
023_00	Et son compagnon dira: «Voilà ce qui est avec moi, tout prêt».
024_00	«Vous deux, jetez dans l'Enfer tout mécréant endurci et rebelle,
025_00	acharné à empêcher le bien, transgresseur, douteur,
026_00	celui qui plaçait à côté d'Allah une autre divinité. Jetez-le donc dans le dur châtiment».
027_00	Son camarade (le Diable) dira: «Seigneur, ce n'est pas moi qui l'ai fait transgresser; mais il était déjà dans un profond égarement».
028_00	Alors [Allah] dira:«Ne vous disputez pas devant moi! Alors que Je vous ai déjà fait part de la menace.
029_00	Chez Moi, la parole ne change pas; et Je n'opprime nullement les serviteurs».
030_00	Le jour où Nous dirons à l'Enfer; «Es-tu rempli?» Il dira: «Y en a-t-il encore?»
031_00	Le Paradis sera rapproché à proximité des pieux.
032_00	«Voilà ce qui vous a été promis, [ainsi qu'] à tout homme plein de repentir et respectueux [des prescriptions divines]
033_00	qui redoute le Tout Miséricordieux bien qu'il ne Le voit pas, et qui vient [vers Lui] avec un cœur porté à l'obéissance.
034_00	Entrez-y en toute sécurité,». Voilà le jour de l'éternité!
035_00	Il y aura là pour eux tout ce qu'ils voudront. Et auprès de Nous il y a davantage encore.
036_00	combien avons-Nous fait périr, avant eux, de générations bien plus fortes qu'eux. Ils avaient parcouru les contrées, cherchant [vainement] où fuir.
037_00	Il y a bien là un rappel pour quiconque a un cœur, prête l'oreille tout en étant témoin.
038_00	En effet Nous avons créé les cieux et la terre et ce qui existe entre eux en six jours, sans éprouver la moindre lassitude.
039_00	Endure donc ce qu'ils disent; et célèbre la louange de ton Seigneur avant le lever du soleil et avant [son] coucher;
040_00	et célèbre Sa gloire, une partie de la nuit et à la suite des prosternations [prières].
041_00	Et sois à l'écoute, le jour où le Crieur criera d'un endroit proche,
042_00	le jour où ils entendront en toute vérité le Cri. Voilà le Jour de la Résurrection.
043_00	C'est Nous qui donnons la vie et donnons la mort, et vers Nous sera la destination,
044_00	le jour où la terre se fendra, les [rejetant] précipitamment. Ce sera un rassemblement facile pour Nous.
045_00	Nous savons mieux ce qu'ils disent. Tu n'as pas pour mission d'exercer sur eux une contrainte. Rappelle donc, par le Coran celui qui craint Ma menace.
