سُورَةُ مَرۡيَمَ
000_00	Au nom d'Allah, le Tout Miséricordieux, le Très Miséricordieux.
001_00	Kâf, Hâ', Yâ', 'Aîn, Sâd.
002_00	C'est un récit de la miséricorde de ton Seigneur envers Son serviteur Zacharie.
003_00	Lorsqu'il invoqua son Seigneur d'une invocation secrète,
004_00	et dit: «O mon Seigneur, mes os sont affaiblis et ma tête s'est enflammée de cheveux blancs. [Cependant], je n'ai jamais été malheureux [déçu] en te priant, ô mon Seigneur.
005_00	Je crains [le comportement] de mes héritiers, après moi. Et ma propre femme est stérile. Accorde-moi, de Ta part, un descendant
006_00	qui hérite de moi et hérite de la famille de Jacob. Et fais qu'il te soit agréable, ô mon Seigneur».
007_00	«O Zacharie, Nous t'annonçons la bonne nouvelle d'un fils. Son nom sera Yahya [Jean]. Nous ne lui avons pas donné auparavant d'homonyme».
008_00	Et [Zacharie dit]: «O mon Seigneur, comment aurai-je un fils, quand ma femme est stérile et que je suis très avancé en vieillesse?»
009_00	[Allah] lui dit: «Ainsi sera-t-il! Ton Seigneur a dit: «Ceci m'est facile. Et avant cela, Je t'ai créé alors que tu n'étais rien».
010_00	«O mon Seigneur, dit [Zacharie], accorde-moi un signe». «Ton signe, dit [Allah,] sera que tu ne pourras pas parler aux gens pendant trois nuits tout en étant bien portant.
011_00	Il sortit donc du sanctuaire vers son peuple; puis il leur fit signe de prier matin et soir.
012_00	... «O Yahya, tiens fermement au Livre (la Thora)!» Nous lui donnâmes la sagesse alors qu'il était enfant,
013_00	ainsi que la tendresse de Notre part et la pureté. Il était pieux,
014_00	et dévoué envers ses père et mère; et ne fut ni violent ni désobéissant.
015_00	Que la paix soit sur lui le jour où il naquit, le jour où il mourra, et le jour où il sera ressuscité vivant!
016_00	Mentionne, dans le Livre (le Coran), Marie, quand elle se retira de sa famille en un lieu vers l'Orient.
017_00	Elle mit entre elle et eux un voile. Nous lui envoyâmes Notre Esprit (Gabriel), qui se présenta à elle sous la forme d'un homme parfait.
018_00	Elle dit: «Je me réfugie contre toi auprès du Tout Miséricordieux. Si tu es pieux, [ne m'approche point].»
019_00	Il dit: «Je suis en fait un Messager de ton Seigneur pour te faire don d'un fils pur».
020_00	Elle dit: «Comment aurais-je un fils, quand aucun homme ne m'a touchée, et que je ne suis pas prostituée?»
021_00	Il dit: «Ainsi sera-t-il! Cela M'est facile, a dit ton Seigneur! Et Nous ferons de lui un signe pour les gens, et une miséricorde de Notre part. C'est une affaire déjà décidée».
022_00	Elle devint donc enceinte [de l'enfant], et elle se retira avec lui en un lieu éloigné.
023_00	Puis les douleurs de l'enfantement l'amenèrent au tronc du palmier, et elle dit: «Malheur à moi! Que je fusse morte avant cet instant! Et que je fusse totalement oubliée!»
024_00	Alors, il l'appela d'au-dessous d'elle, [lui disant:] «Ne t'afflige pas. Ton Seigneur a placé à tes pieds une source.
