سُورَةُ الرُّومِ
000_00	Au nom d'Allah, le Tout Miséricordieux, le Très Miséricordieux.
001_00	Alif, Lâm, Mîm.
002_00	Les Romains ont été vaincus,
003_00	dans le pays voisin, et après leur défaite ils seront les vainqueurs,
004_00	dans quelques années. A Allah appartient le commandement, au début et à la fin, et ce jour-là les Croyants se réjouiront
005_00	du secours d'Allah. Il secourt qui Il veut et Il est le Tout Puissant, le Tout Miséricordieux.
006_00	C'est [là] la promesse d'Allah. Allah ne manque jamais à Sa promesse mais la plupart des gens ne savent pas.
007_00	Ils connaissent un aspect de la vie présente, tandis qu'ils sont inattentifs à l'au-delà.
008_00	N'ont-ils pas médité en eux-mêmes?
008_01	Allah n'a créé les cieux et la terre et ce qui est entre eux, qu'à juste raison et pour un terme fixé. Beaucoup de gens cependant ne croient pas en la rencontre de leur Seigneur.
009_00	N'ont-ils pas parcouru la terre pour voir ce qu'il est advenu de ceux qui ont vécu avant eux?
009_01	Ceux-là les surpassaient en puissance et avaient labouré et peuplé la terre bien plus qu'ils ne l'ont fait eux-mêmes.
009_02	Leurs messagers leur vinrent avec des preuves évidentes. Ce n'est pas Allah qui leur fit du tort; mais ils se firent du tort à eux-mêmes.
010_00	Puis, mauvaise fut la fin de ceux qui faisaient le mal, ayant traité de mensonges les versets d'Allah et les ayant raillés.
011_00	C'est Allah qui commence la création; ensuite Il la refait; puis, vers Lui vous serez ramenés.
012_00	Et le jour où l'Heure arrivera, les criminels seront frappés de désespoir.
013_00	Et ils n'auront point d'intercesseurs parmi ceux qu'ils associaient [à Allah] et ils renieront même leurs divinités.
014_00	Le jour où l'Heure arrivera, ce jour-là ils se sépareront [les uns des autres].
015_00	Ceux qui auront cru et accompli de bonnes œuvres se réjouiront dans un jardin;
016_00	et quant à ceux qui n'auront pas cru et auront traité de mensonges Nos signes ainsi que la rencontre de l'au-delà, ceux-là seront emmenés au châtiment.
017_00	Glorifiez Allah donc, soir et matin!
018_00	A Lui toute louange dans les cieux et la terre, dans l'après-midi et au milieu de la journée.
019_00	Du mort, Il fait sortir le vivant, et du vivant, Il fait sortir le mort. Et Il redonne la vie à la terre après sa mort. Et c'est ainsi que l'on vous fera sortir (à la résurrection).
020_00	Parmi Ses signes: Il vous a créés de terre, - puis, vous voilà des hommes qui se dispersent [dans le monde] -.
