سُورَةُ القَلَمِ
000_00	Au nom d'Allah, le Tout Miséricordieux, le Très Miséricordieux.
001_00	Nûn. Par la plume et ce qu'ils écrivent!
002_00	Tu (Muhammad) n'es pas, par la grâce de ton Seigneur, un possédé.
003_00	Et il y aura pour toi certes, une récompense jamais interrompue.
004_00	Et tu es certes, d'une moralité éminente.
005_00	Tu verras et ils verront
006_00	qui d'entre vous a perdu la raison.
007_00	C'est ton Seigneur qui connaît mieux ceux qui s'égarent de Son chemin, et Il connaît mieux ceux qui suivent la bonne voie.
008_00	N'obéis pas à ceux qui crient au mensonge,
009_00	Ils aimeraient bien que tu transiges avec eux afin qu'ils transigent avec toi.
010_00	Et n'obéis à aucun grand jureur, méprisable,
011_00	grand diffamateur, grand colporteur de médisance,
012_00	grand empêcheur du bien, transgresseur, grand pécheur,
013_00	au cœur dur, et en plus de cela bâtard.
014_00	Même s'il est doté de richesses et (de nombreux) enfants.
015_00	Quand Nos versets lui sont récités, il dit: «Des contes d'anciens».
016_00	Nous le marquerons sur le museau [nez].
017_00	Nous les avons éprouvés comme Nous avons éprouvé les propriétaires du verger qui avaient juré d'en faire la récolte au matin,
018_00	sans dire: «Si Allah le veut».
019_00	Une calamité de la part de ton Seigneur tomba dessus pendant qu'ils dormaient,
020_00	et le matin, ce fut comme si tout avait été rasé.
021_00	Le [lendemain] matin, ils s'appelèrent les uns les autres:
022_00	«Partez tôt à votre champ si vous voulez le récolter».
023_00	Ils allèrent donc, tout en parlant entre eux à voix basse:
024_00	«Ne laissez aucun pauvre y entrer aujourd'hui».
025_00	Ils partirent de bonne heure décidés à user d'avarice [envers les pauvres], convaincus que cela était en leur pouvoir.
026_00	Puis, quand ils le virent [le jardin], ils dirent: «vraiment, nous avons perdu notre chemin.
027_00	Ou plutôt nous sommes frustrés».
028_00	Le plus juste d'entre eux dit: «Ne vous avais-je pas dit: Si seulement vous avez rendu gloire à Allah!»
029_00	Ils dirent: «Gloire à notre Seigneur! Oui, nous avons été des injustes».
030_00	Puis ils s'adressèrent les uns aux autres, se faisant des reproches.
031_00	Ils dirent: «Malheur à nous! Nous avons été des rebelles.
032_00	Nous souhaitons que notre Seigneur nous le remplace par quelque chose de meilleur. Nous désirons nous rapprocher de notre Seigneur».
033_00	Tel fut le châtiment; et le châtiment de l'au-delà est plus grand encore, si seulement ils savaient!
034_00	Les pieux auront auprès de leur Seigneur les Jardins du délice.
035_00	Traiterons-Nous les soumis [à Allah] à la manière des criminels?
036_00	Qu'avez-vous? Comment jugez-vous?
037_00	Ou bien avez-vous un Livre dans lequel vous apprenez
038_00	qu'en vérité vous obtiendrez tout ce que vous désirez?
039_00	Ou bien est-ce que vous avez obtenu de Nous des serments valables jusqu'au Jour de la Résurrection, Nous engageant à vous donner ce que vous décidez?
040_00	Demande-leur qui d'entre eux en est garant?
041_00	Ou encore, est-ce qu'ils ont des associés? Eh bien, qu'ils fassent venir leurs associés s'ils sont véridiques!
042_00	Le jour où ils affronteront les horreurs [du Jugement] et où ils seront appelés à la Prosternation mais ils ne le pourront pas.
043_00	Leurs regards seront abaissés, et l'avilissement les couvrira. Or, ils étaient appelés à la Prosternation au temps où ils étaient sains et saufs!...
044_00	Laisse-Moi donc avec quiconque traite de mensonge ce discours; Nous allons les mener graduellement par où ils ne savent pas!
045_00	Et Je leur accorde un délai, car Mon stratagème est sûr!
046_00	Ou bien est-ce que tu leur demandes un salaire, les accablant ainsi d'une lourde dette?
047_00	Ou savent-ils l'Inconnaissable et c'est de là qu'ils écrivent [leurs mensonges]?
048_00	Endure avec patience la sentence de ton Seigneur, et ne sois pas comme l'homme au Poisson [Jonas] qui appela (Allah) dans sa grande angoisse.
049_00	Si un bienfait de son Seigneur ne l'avait pas atteint, il aurait été rejeté honni sur une terre déserte,
050_00	Puis son Seigneur l'élut et le désigna au nombre des gens de bien.
051_00	Peu s'en faut que ceux qui mécroient ne te transpercent par leurs regards, quand ils entendent le Coran, ils disent: «Il est certes fou!»
052_00	Et ce n'est qu'un Rappel, adressé aux mondes!
