سُورَةُ المُؤۡمِنُونَ
000_00	Au nom d'Allah, le Tout Miséricordieux, le Très Miséricordieux.
001_00	Bienheureux sont certes les croyants,
002_00	ceux qui sont humbles dans leur Salât,
003_00	qui se détournent des futilités,
004_00	qui s'acquittent de la Zakât,
005_00	et qui préservent leurs sexes [de tout rapport],
006_00	si ce n'est qu'avec leurs épouses ou les esclaves qu'ils possèdent, car là vraiment, on ne peut les blâmer;
007_00	alors que ceux qui cherchent au-delà de ces limites sont des transgresseurs;
008_00	et qui veillent à la sauvegarde des dépôts confiés à eux et honorent leurs engagements,
009_00	et qui observent strictement leur Salât.
010_00	Ce sont eux les héritiers,
011_00	qui hériteront le Paradis pour y demeurer éternellement.
012_00	Nous avons certes créé l'homme d'un extrait d'argile.
013_00	puis Nous en fîmes une goutte de sperme dans un reposoir solide.
014_00	Ensuite, Nous avons fait du sperme une adhérence; et de l'adhérence Nous avons créé un embryon; puis, de cet embryon Nous avons créé des os et Nous avons revêtu les os de chair.
014_01	Ensuite, Nous l'avons transformé en une tout autre création. Gloire à Allah le Meilleur des créateurs!
015_00	Et puis, après cela vous mourrez.
016_00	Et puis au Jour de la Résurrection vous serez ressuscités.
017_00	Nous avons créé, au-dessus de vous, sept cieux. Et Nous ne sommes pas inattentifs à la création.
018_00	Et Nous avons fait descendre l'eau du ciel avec mesure. Puis Nous l'avons maintenue dans la terre, cependant que Nous sommes bien Capable de la faire disparaître.
019_00	Avec elle, Nous avons produit pour vous des jardins de palmiers et de vignes, dans lesquels vous avez des fruits abondants et desquels vous mangez,
020_00	ainsi qu'un arbre (l'olivier) qui pousse au Mont Sinaî, en produisant l'huile servant à oindre et où les mangeurs trempent leur pain.
021_00	Vous avez certes dans les bestiaux, un sujet de méditation. Nous vous donnons à boire de ce qu'ils ont dans le ventre, et vous y trouvez également maintes utilités; et vous vous en nourrissez.
022_00	Sur eux ainsi que sur des vaisseaux vous êtes transportés.
023_00	Nous envoyâmes Noé vers son peuple. Il dit: «O mon peuple, adorez Allah. Vous n'avez pas d'autre divinité en dehors de Lui. Ne [Le] craignez-vous pas?»
024_00	Alors les notables de son peuple qui avaient mécru dirent: «Celui-ci n'est qu'un être humain comme vous voulant se distinguer à votre détriment.
024_01	Si Allah avait voulu, ce sont des Anges qu'Il aurait fait descendre. Jamais nous n'avons entendu cela chez nos ancêtres les plus reculés.
025_00	Ce n'est en vérité qu'un homme atteint de folie, observez-le donc durant quelque temps.
026_00	Il dit: «Seigneur! Apporte-moi secours parce qu'ils me traitent de menteur».
027_00	Nous lui révélâmes: «Construis l'arche sous Nos yeux et selon Notre révélation.
