001_00	سوێند به ئاسمانی خاوه‌ن ئه‌ستیره و هه‌ساره‌ی گه‌وره‌...
002_00	به‌و ڕۆژه‌ی که به‌ڵێن دراوه پێش بێت (واته ڕۆژی قیامه‌ت)...
003_00	به‌شایه‌ت و شایه‌تی له‌سه‌ردراوه‌، یاخود به شایه‌ت و بینراوه‌کان، (تاوانباران ئاماده‌ن و هه‌رچی ئه‌نجامیانداوه تۆمار کراوه له‌سه‌ریان).
004_00	به‌کوشت چن، نه‌فرینیان لێ بێت، ئه‌وانه‌ی که چاڵیان هه‌ڵکه‌ند (بۆ ئیمانداران)...
005_00	ئاگری داگیرساو و به‌تینیان تێدا کرده‌وه‌...
006_00	ئه‌و کاته‌ی که به ده‌وریدا دانیشتبوون...
007_00	له نزیکه‌وه چاودێری ئه‌و کاره‌ساته‌یان ده‌کرد که به‌سه‌ر باوه‌ڕداراندا ده‌هێنرێت و خۆیان له نزیکه‌وه سه‌رپه‌رشتیان ده‌کرد.
008_00	ئه‌و ڕق و داخه‌یان له ئیمانداران ته‌نها له‌به‌ر ئه‌وه‌بوو که ئه‌وان باوه‌ڕی به‌تینیان ده‌هێنا به خوای باڵاده‌ستی شایسته‌ی سوپاسگوزاری...
009_00	ئه‌و زاته‌ی که خاوه‌نی هه‌موو شتێکه له ئاسمانه‌کان و زه‌ویدا، ئه‌و خوایه‌ی شایه‌ته له‌سه‌ر هه‌موو شتێك و ئاگای له هه‌موو شتێكه‌.
010_00	به‌ڕاستی ئه‌وانه‌ی که به‌ڵاو ناخۆشی وته‌نگانه و پیلان دژی پیاوانی ئیماندارو ئافره‌تانی ئیماندار خسته‌کارو پاشان هه‌ر به‌رده‌وام ده‌بن و کۆڵ ناده‌ن و په‌شیمان نابنه‌وه سزای دۆزه‌خ و سزای سووتێنه‌ر بۆ ئه‌وانه‌یه‌.
011_00	به‌ڕاستی ئه‌وانه‌ی که باوه‌ڕیان هێناوه و کرده‌وه چاکه‌کانیان ئه‌نجام داوه‌، باخه‌کانی به‌هه‌شت که چه‌نده‌ها ڕووبار به‌ژێر دره‌خته‌کانیدا ده‌ڕوات بۆیان ئاماده‌یه‌، هه‌ر ئه‌وه خۆی له خۆیدا سه‌رکه‌وتن و سه‌رفرازیه‌کی زۆر گه‌وره و بێ سنوورو بێ وێنه‌یه‌.
012_00	به‌ڕاستی تۆڵه‌ی په‌روه‌ردگارت (ئه‌ی پێغه‌مبه‌ر (صلی الله علیه وسلم)، ئه‌ی ئیمانداران) زۆر توندو تیژ و به‌زه‌بره‌.
013_00	به‌ڕاستی هه‌ر ئه‌و زاته‌یه سه‌ره‌تا هه‌موو شتێکی دروست ده‌کات و دوای نه‌مانیش دووباره دروستی ده‌کاته‌وه‌.
014_00	هه‌ر ئه‌ویش زاتێکی زۆر لێخۆشبوو به‌سۆزو دڵۆڤان و دڵسۆزه (بۆ ئیمانداران).
015_00	خاوه‌نی ته‌ختی بڵند و به‌رزو پایه‌داره‌.
016_00	هه‌رچی بیه‌وێت ئه‌نجامی ده‌دات، هه‌رچی بیه‌وێت که‌س ناتوانێت ده‌ست بهێنێته ڕێی.
017_00	ئایا هه‌واڵی له‌شکرو سوپاکانت پێگه‌یشتووه‌؟ (ئه‌وانه‌ی یاخی بوون له پێغه‌مبه‌ران و به‌رنامه‌ی یه‌کخواناسی).
018_00	که له‌شکری فیرعه‌ون و ثموده‌.
019_00	به‌ڵکو ئه‌وانه‌ش که بێ باوه‌ڕ بوون ته‌مێ نابن به‌ڵکو هه‌ر سه‌رگه‌رمی به درۆ له قه‌له‌مدان و دژایه‌‌تی ئه‌م ئایین و به‌رنامه و قورئانه‌ن.
020_00	(به‌ڵام با بزانن)، ده‌سه‌ڵاتی خوا له پشتیانه‌وه ده‌وره‌ی داون له ده‌ستی ده‌رناچن
021_00	(ئه‌وه‌ی ئه‌وان دژایه‌تی ده‌که‌ن) ئه‌و قورئانه به‌رزو بڵندو پایه‌داره‌یه‌.
022_00	که له لاپه‌ڕه‌ی تایبه‌تی و له‌سه‌ر تابڵوی پیرۆز، پارێزراوه له (لوح المحفوظ) دا.
