001_00	سه‌رنجی سه‌ره‌تای سوره‌تی (البقر‌ة) بده.
002_00	ئه‌و سووره‌ته چه‌ندین ئایه‌ته له ئایه‌ته‌کانی قورئانی ئاشکرا و ڕوون
003_00	ئه‌ی پێغه‌مبه‌ر صلی الله علیه وسلم خه‌ریکیت له داخ و خه‌فه‌تدا خۆت ده‌فه‌وتێنیت کاتێک ده‌بینیت خوانه‌ناسان باوه‌ڕناهێنن.
004_00	خۆ ئه‌گه‌ر بمانه‌وێت موعجیزه‌یه‌کیان له ئاسمانه‌وه بۆ دابه‌زێنین ئه‌وسا به‌رده‌وام گه‌ردنیان بۆی ملکه‌چ و زه‌لیل ده‌بێت
005_00	هیچ یاد خستنه‌وه و ئامۆژگاریه‌کی گۆیا له خوای میهره‌بانه‌وه بۆیان نه‌هاتووه‌، پشتیان تێ نه‌کردبێت و سه‌رپێچیان لێ نه‌کردبێت.
006_00	بێگومان ئه‌وانه (به‌رنامه‌ی ئێمه‌یان) به‌درۆ زانی، له ئاینده‌یه‌کی نزیکدا هه‌واڵی هه‌موو ئه‌و سه‌ره‌نجامه‌یان پێ ده‌گات، که گاڵته‌یان پێ ده‌کرد.
007_00	ئایا سه‌رنجی زه‌وییان نه‌داوه و لێی ورد نه‌بونه‌ته‌وه، چه‌نده‌ها جووت گژوگیاو ڕووه‌کی به نرخی هه‌موو جۆرو و ڕازاوه‌مان تێدا ڕواندووه‌.
008_00	به ڕاستی ئا له‌وه‌دا به‌ڵگه و نیشانه‌ی (به‌هێز هه‌یه له‌سه‌ر ده‌سه‌ڵاتی خوای په‌روه‌ردگار) که‌چی زۆربه‌یان باوه‌ڕدار نه‌بوون.
009_00	به‌ڕاستی هه‌ر په‌روه‌ردگاری تۆ (ئه‌ی محمد صلی الله علیه وسلم، ئه‌ی ئیماندار) باڵا ده‌سته (به‌سه‌ر بێ باوه‌ڕاندا) به‌سۆز و میهره‌بانیشه (به ئیمانداران).
010_00	(بیریان بخه‌ره‌وه‌) کاتێک په‌روه‌ردگارت (له لاپاڵی کێوی طوردا) فه‌رمانیدا به موسا که بچۆ بۆ لای قه‌ومی سته‌مکار و سته‌م پیشه‌...
011_00	که قه‌ومی فیرعه‌ونه... وه پێیان بڵێت: ئایا له خوا ناترسن؟ پارێزکار نابن؟
012_00	موسا وتی: په‌روه‌ردگارا، بێگومان من ده‌ترسم بڕوام پێ نه‌که‌ن..
013_00	ته‌نگه نه‌فه‌س وسینه نه‌نگیش ببم و زمانم پاراو نه‌بێت، به‌ڵکو په‌یام بۆ هارونی براشم بنێرێت (تا هاوکاریم بکات و یاریده‌ده‌رم بێت)...
014_00	تۆڵه‌‌ی تاوانێکیشان وا به‌سه‌رمه‌وه (کاتێک به هه‌ڵه قبط‌یه‌که‌م کوشت) بۆیه ده‌ترسم بمکوژنه‌وه‌...
015_00	خوا فه‌رمووی: نه‌خێر (ناتوانن بتکوژن)، که‌واته بڕۆن هه‌ردووکتان هاوڕێ له‌گه‌ڵ موعجیزه‌کانماندا، ئێمه به‌ڕاستی له‌گه‌ڵتانداین و چاودێرو گوێگرین...
016_00	بچن بۆ لای فیرعه‌ون و بڵێن: ئێمه به‌ڕاستی هه‌ردووکمان نێردراوی په‌روه‌ردگاری جیهانیانین
017_00	داوات لێ ده‌که‌ین که ده‌ستبه‌رداری نه‌وه‌ی ئیسرائیل ببیت و ئازادیان بکه‌یت با له‌گه‌ڵ ئێمه‌دا بن...
018_00	کاتێک موسا و هاروون په‌یامی خوایان گه‌یاند، فیرعه‌ون به موسای وت: (ئه‌مه پاداشتی پیاوه‌تی‌یه) ئایا ئێمه به منداڵی به خێومان نه‌کردیت؟ چه‌نده‌ها ساڵی ته‌مه‌نت له‌ناوماندا نه‌برده‌سه‌ر؟...
019_00	ئه‌وه‌شت کرد که کردت (مه‌به‌ست کوشتنی قبطیه‌که‌یه‌) دیاره که تۆ له ڕیزی ئه‌و که‌سانه‌دایت که ناشکورن و پاداشتی پیاوه‌تی نازانن...
020_00	موسا وتی: ئه‌و کاته ئه‌وه‌مکرد، له نه‌زانه‌کان بووم، (نه‌مده‌زانی به‌وه ده‌مرێت)...
021_00	ئینجا ئه‌وه بوو له ده‌ست ئێوه هه‌ڵاتم کاتێک ترسام (له‌سه‌ر کوشتنی هه‌ڵه بمکوژنه‌وه)، ئیتر په‌روه‌ردگارم دانایی پێبه‌خشیووم و کردوومی به یه‌کێک له پێغه‌مبه‌ران.
022_00	جا ئه‌وه نازو نیعمه‌ته منه‌تم به‌سه‌ردا ده‌که‌یت که تۆ نه‌وه‌ی ئیسرائیلت کردۆته به‌نده‌ی خۆت و زه‌لیلت کردوون؟ (چونکه به‌هۆی سته‌می تۆوه من له ماڵی ئێوه‌دا به‌خێوکرام).
023_00	ئینجا فیرعه‌وون وتی: باشه، په‌روه‌ردگاری جیهانه‌کان چی‌یه و کێ‌یه؟...
024_00	موسا وتی: ئه‌و په‌روه‌ردگاره‌، به‌دیهێنه‌ری هه‌موو ئاسمانه‌کان و زه‌ویه‌و هه‌رچیش وا له نێوانیاندایه ئه‌گه‌ر ئێوه بڕوا ده‌که‌ن و دڵنیا ده‌بن.
025_00	(فیرعه‌ون به له خۆبایی بوونێکه‌وه‌) به‌وانه‌ی ده‌وروبه‌ری وت: ئه‌وه گوێ ناگرن چی ده‌ڵێت.
026_00	(موسا ڕووی کرده خه‌ڵکه‌که‌) وتی: په‌روه‌ردگاری من په‌روه‌ردگاری ئێوه‌ش و په‌روه‌ردگاری باو باپیرانی دێرینیشتانه.
027_00	فیرعه‌ون (به گاڵته پێکردنه‌وه‌) وتی: به ڕاستی (وا دیاره‌) ئه‌و پێغه‌مبه‌ره‌ی بۆ ئێوه ڕه‌وانه کراوه شێته‌!!
028_00	موسا وتی: په‌روه‌ردگاری خۆرهه‌ڵات و خۆرئاواو هه‌موو ئه‌و شتانه‌شه که‌وا له نێوانیاندایه ئه‌گه‌ر عه‌قڵ و بیروهۆشتان بخه‌نه کار!!
029_00	فیرعه‌ون سوێندی خوارد و وتی: ئه‌گه‌ر جگه له من که‌سێکی تر بکه‌یته خوای خۆت و فه‌رمانبه‌رداری بیت، ده‌تخه‌مه ڕیزی به‌ندکراوه‌کانه‌وه و زیندانیت ده‌که‌م...
030_00	موسا وتی: باشه‌، ئه‌گه‌ر به‌ڵگه و شتێکی ئاشکرات پیشان بده‌م (له‌سه‌ر ڕاستگۆیی خۆم هه‌ر به‌ندم ده‌که‌یت)...
031_00	فیرعه‌ون وتی: ئاده‌ی بزانم چیت پێ ده‌کرێت ئه‌نجامی بده ئه‌گه‌ر ڕاست ده‌که‌یت!!...
032_00	ئه‌ویش گۆچانه‌که‌ی فڕێدا، ده‌ستبه‌جێ بوو به هه‌‌ژدیهایه‌کی گه‌وره‌ی ئاشکرا (فیرعه‌ون و دار و ده‌سته‌ی تۆقان)!!...
033_00	ده‌ستیشی (خسته بن باڵی) و ده‌ریهێنا خێرا بوو به (کافوری) سپی و ده‌دره‌وشایه‌وه له به‌ر چاوی ته‌ماشاکاران!!...
034_00	فیرعه‌ون (هیچی بۆ نه‌مایه‌وه‌) به دانیشتوانی ده‌وروبه‌ری خۆی وت: ئه‌م (فرستاده‌یه‌) جاودووگه‌رێکی زاناو شاره‌زایه‌!!...
035_00	ده‌یه‌وێت له‌سه‌ر زه‌وی خۆتان ده‌رتان بکات به هۆی جادوه‌که‌یه‌وه‌، فه‌رمانتان به چی‌یه؟ (چی بکه‌ین باشه تا سنورێکی بۆ دابنێین).
036_00	دارو ده‌سته‌ی فیرعه‌ون وتیان: مۆڵه‌تێک بده به موساو براکه‌ی، فه‌رمانیش بنێره بۆ کاربه‌ده‌ستانی هه‌موو شاره‌کان تا خه‌ڵکی کۆبکه‌نه‌وه و له پیلانه‌که ئاگاداریاین بکه‌ین!!...
037_00	بۆ ئه‌وه‌ی فه‌رمانبه‌ران هه‌رچی جادووگه‌ری شاره‌زا هه‌یه بۆت بهێنن...
038_00	سه‌ره‌نجام جادوگه‌ران له ڕۆژێکی دیاریکراو و کاتێکی دیاریکراودا کۆکرانه‌وه‌...
039_00	پاشان به خه‌ڵکی وترا: ئایا (بۆ دیتنی ئه‌م دیمه‌ن و شانۆیه‌) کۆنابنه‌وه‌؟!...
040_00	بۆ ئه‌وه‌ی شوێنی جادووگه‌ران بکه‌وین ئه‌گه‌ر ئه‌وان سه‌رکه‌وتن و بردیانه‌وه‌!...
041_00	کاتێک جادووگه‌ران هاتن بۆ لای فیرعه‌ون، وتیان: ئایا پاداشتمان ده‌بێت ئه‌گه‌ر ئێمه سه‌رکه‌وتین و بردمانه‌وه‌؟!
042_00	فیرعه‌ون وتی: به‌ڵێ بێگومان ئێوه له‌و کاته‌دا سه‌ره‌ڕای ئه‌وه له نزیکانی من ده‌بن...
043_00	(پاشان له ڕۆژ و کاتی دیاریکراودا) موسا به جادووگه‌رانی وت: چیتان پێیه فڕێی بده‌ن و چیتان له ده‌ست دێت درێغی مه‌که‌ن؟!
044_00	ئه‌وانیش هه‌رچی په‌ت و گوریس و دارو گۆچانیان هه‌یه فڕێیاندا و وتیان: به یارمه‌تی و ده‌سه‌ڵاتی فیرعه‌ون، بێگومان هه‌ر ئێمه سه‌رده‌که‌وین و هه‌ر ئێمه ده‌یبه‌ینه‌وه‌.
045_00	ئینجا موسا عه‌ساکه‌ی فڕێدا، هه‌رچی درۆ و ده‌له‌سه و گوریس و داریان هه‌بوو، هه‌ر هه‌مووی هه‌ڵلووشی و له ناوی برد.
046_00	ئه‌وسا ئیتر هه‌موو جادووگه‌ران، خران به ڕووداو سوژده‌یان برد بۆ خوا...
047_00	وتیان: ئێمه باوه‌ڕمان هێناوه به په‌روه‌ردگاری جیهانه‌کان.
048_00	په‌روه‌ردگاری موساو هاروون.
049_00	فیرعه‌ون وتی: هه‌روا باوه‌ڕتان پێ هێنا پێش ئه‌وه‌ی مۆڵه‌تتان بده‌م بێگومان ئه‌م جادووگه‌ره‌، گه‌وره‌که‌تانه‌، که فێری جادووگه‌ری کردوون، خۆتان ده‌بیننه‌وه‌،
049_01	ده‌بێت ده‌ست قاچتان به پێچه‌وانه‌وه بقرتێنم و هه‌مووتان له جاچ بده‌م.
050_00	جادووگه‌رانی ئه‌وسا و ئیماندارانی ئێستا، بێ ترس وتیان: هیچ زه‌ره‌رو زیانی بۆمان نابێت (له هه‌ڕه‌شه ناترسین) چونکه ئێمه دڵنیاین که بۆ لای په‌روه‌ردگارمان ده‌گه‌ڕێینه‌وه‌.
051_00	ئێمه به ڕاستی به‌ته‌ماین و ئومێده‌وارین که په‌روه‌ردگارمان له گوناهه‌کانمان خۆش ببێت هه‌ر به‌وه‌ی یه‌که‌م ده‌سته‌ین له ئیمانداران (چاوپۆشی له ڕابووردووی ناپه‌سه‌ندمان ده‌کات).
052_00	(دوای ساڵه‌ها) وه‌حیمان نارد بۆ موسا (ئیتر وڵات به‌جێ بهێڵێت) شه‌وڕه‌ویی بکه به به‌نده‌کانم و دڵنیاش بن که (دوژمنان) شوێنتان ده‌که‌ون...
053_00	فیرعه‌ون (که هه‌واڵی زانی) ناردی بۆ شاره‌کان که هێز کۆبکه‌نه‌وه و (نه‌یه‌ڵن نه‌وه‌ی ئیسرائیل کۆچ بکه‌ن)...
054_00	(جاڕی داو وتی) بێگومان ئه‌وانه ده‌سته‌یه‌کی که‌من و زوو باڵبه‌ستیان ده‌که‌ین...
055_00	به ڕاستی ئه‌وانه سه‌رکه‌شییان کردووه و ئێمه‌یان تووڕه کردووه...
056_00	(خه‌متان نه‌بێت) بێگومان ئێمه هه‌موومان بێدارو ئاگادارین (له نه‌خشه‌یان)...
057_00	ئینجا ئێمه (به‌و شێوه‌یه فیرعه‌ون ودارو ده‌سته‌یمان) ده‌رهێنا له ناو باخ و باخات و کانیاوه‌کان...
058_00	له نێو گه‌نجینه‌ی جۆراو جۆر و جێگه و ڕێگه‌ی خۆش و ڕازاوه‌دا...
059_00	نه‌وه‌ی ئیسرائیلمان کرد به خاوه‌نی (زۆربه‌ی) ماڵ و سامانیان...
060_00	ئه‌وسا (فیرعه‌ون و دارو ده‌سته‌ی) شوێنیان که‌وتن، له‌گه‌ڵ خۆرهه‌ڵاتندا پێیان گه‌یشتن...
061_00	کاتێک هه‌ردوولا یه‌کتریان به‌دی کرد، یارانی موسا وتیان: به‌ڕاستی پێمانگه‌یشتن و ئێمه تیا چووین.
062_00	موسا وتی: نه‌خێر، وا نیه‌، من به‌ڕاستی په‌روه‌ردگارم له‌گه‌ڵدایه‌و ڕێنموویم ده‌کات (بۆ ڕزگاری و سه‌رفرازی)
063_00	ئه‌وسا ئێمه وه‌حیمان نارد بۆ موسا که‌: به عه‌ساکه‌ت بماڵه به ده‌ریاکه‌دا، (هه‌ر که ئه‌و کاره‌ی کرد) ده‌ریا شه‌ق بوو و هه‌ر ڕێگه و شه‌قامێکی ده‌وره درا به شه‌پۆلی گه‌وره‌ی ئاو، که وه‌ک کێوی گه‌وره و مه‌زن وابوو (ئاوه‌که هه‌ڵدرایه‌وه دوانزه کۆڵانی بۆ دوانزه تایه‌فه‌که‌ی نه‌وه‌ی ئیسرائیل دروست کردو به نێوانیاندا په‌ڕینه‌وه‌)...
064_00	پاشان ئه‌وانی ترمان له‌و شوێنه نزیک کرده‌وه‌...
065_00	موسا و هه‌موو ئه‌وانه‌ش له‌گه‌ڵیدا بوون ڕزگارمان بوو...
066_00	پاشان ئه‌وانی ترمان نوقمی ده‌ریا کرد.
067_00	ته‌ماشای ئایه‌تی 8، 9 بکه‌.
068_00	ته‌ماشای ئایه‌تی 8، 9 بکه‌.
069_00	هه‌روه‌ها به‌سه‌رهات وهه‌واڵی ئیبراهیم بۆ ئه‌و خه‌ڵکه باس بکه.
070_00	کاتێک به باوکی و به قه‌ومه‌که‌ی وت: باشه‌، ئه‌وه ئێوه چی ده‌په‌رستن؟!
071_00	وتیان (ئاشکرایه‌) ئێمه کۆمه‌ڵێ بت ده‌په‌رستین و به‌رده‌وام ده‌ورو خولیان ده‌ده‌ین.
072_00	ئیبراهیم وتی: ئایا کاتێک که هاناو هاواریان بۆ ده‌به‌ن و دوعا و نزا ده‌که‌ن، گوێیان له ئا‌هو ناڵه و داخوازیه‌کانتان هه‌یه‌؟!...
073_00	یاخود ده‌توانن ئه‌وانه قازانجێک یان زیانێکتان پێبگه‌یه‌نن؟...
074_00	بت په‌رستان وتیان: (ئێمه ئه‌وه نازانین) باو باپیرانمان بینیوه ئاوایان کردووه (ئێمه‌ش وا ده‌که‌ین)...
075_00	ئیبراهیم وتی: باشه ئاخر ئێوه نابینن چی ده‌په‌رستن (که‌ی ئه‌و شتانه شایسته‌ی په‌رستنن)...
