001_00	Tâ-Hâ.
002_00	Non abbiamo fatto scendere il Corano su di te per renderti infelice,
003_00	ma come Monito per chi ha timore [di Allah],
004_00	sceso da parte di Colui Che ha creato la terra e gli alti cieli.
005_00	Il Compassionevole Si è innalzato sul Trono.
006_00	Appartiene a Lui quello che è nei cieli e quello che sta sulla terra, quello che vi è frammezzo e nel sottosuolo.
007_00	[È inutile che] parli ad alta voce, ché in verità Egli conosce il segreto, anche il più nascosto.
008_00	Allah, non c'è dio all'infuori di Lui! A Lui appartengono i nomi più belli.
009_00	Ti è giunta la storia di Mosè?
010_00	Quando vide un fuoco, disse alla sua famiglia: “Aspettate! Ho avvistato un fuoco, forse [potrò] portarvene un tizzone o trovare nei suoi pressi una guida”.
011_00	Quando vi giunse, sentì chiamare: “O Mosè,
012_00	in verità sono il tuo Signore. Levati i sandali, ché sei nella valle santa di Tuwâ.
013_00	Io ti ho scelto. Ascolta ciò che sta per esserti rivelato.
014_00	In verità, Io sono Allah: non c'è dio all'infuori di Me. AdoraMi ed esegui l'orazione per ricordarti di Me.
015_00	In verità, l'Ora è imminente anche se la tengo celata, affinché ogni anima sia compensata delle opere sue.
016_00	Non lasciare che ti ostacoli colui che non crede in essa ed è incline alle sue passioni, ché altrimenti periresti.
017_00	O Mosè, cosa tieni nella tua mano destra?”.
018_00	Disse: “È il mio bastone, mi ci appoggio, e faccio cadere foglie [degli alberi] per i miei montoni e mi serve anche per altre cose”.
019_00	Disse [Allah]: “Gettalo, Mosè”.
020_00	Lo gettò ed ecco che divenne un serpente che strisciava veloce.
021_00	Disse [Allah]: “Afferralo e non temere: gli daremo la sua forma originaria.
022_00	Stringi la mano sotto l'ascella: ne uscirà bianca, senza alcun male. Ecco un altro segno,
023_00	per mostrarti altri Nostri segni ben più grandi.
024_00	Vai da Faraone. In verità si è ribellato”.
025_00	Disse: “Aprimi il petto, Signore,
026_00	facilita il mio compito,
027_00	e sciogli il nodo della mia lingua,
028_00	sì che possano capire il mio dire;
029_00	concedimi in aiuto uno della mia famiglia,
030_00	Aronne, mio fratello.
031_00	Accresci con lui la mia forza,
032_00	e associalo alla mia missione,
033_00	perché possiamo renderTi gloria molto,
034_00	e perché possiamo ricordarTi molto;
035_00	e in verità, Tu sempre ci osserverai”.
036_00	Disse: “O Mosè, la tua richiesta è esaudita.
037_00	Già innanzi ti favorimmo,
038_00	quando ispirammo a tua madre quello che le fu ispirato:
039_00	"Mettilo in una cesta e gettala nell'acqua, così che le onde la riportino a riva ove lo raccoglierà un Mio e suo nemico".
039_01	Ho posto su di te il Mio [sguardo] amorevole, affinché tu venissi allevato sotto il Mio occhio.
040_00	Passava tua sorella e disse: "Posso indicarvi chi potrà occuparsene". E ti riportammo a tua madre, perché si consolassero i suoi occhi e più non si affliggesse.
040_01	Uccidesti un uomo: ti cavammo d'impaccio e ti imponemmo molte prove. Rimanesti per anni presso la gente di Madyan. Poi venisti fin qui, o Mosè, per una predestinazione.
041_00	Ti ho scelto per Me.
042_00	Va' con tuo fratello con i segni Miei e non trascurate di ricordarMi.
043_00	Andate da Faraone: in verità si è ribellato!
044_00	Parlategli con dolcezza. Forse ricorderà o temerà [Allah]”.
045_00	Dissero: “O Signor nostro, temiamo che si scagli contro di noi o che accresca la ribellione”.
046_00	Rispose: “Non temete. Io sono con voi: [tutto] odo e vedo.
047_00	Andate pure da lui e ditegli: In verità, siamo due messaggeri del tuo Signore. Lascia partire con noi i Figli di Israele e non tormentarli più.
047_01	Siamo venuti da te con un segno da parte del tuo Signore. Pace, su chi segue la retta via.
048_00	In verità ci è stato rivelato, che il castigo sarà per chi nega e volge le spalle!"”.
049_00	Disse [Faraone]: “O Mosè, chi è il vostro Signore?”.
050_00	Rispose:“Il nostro Signore è Colui Che ha dato ad ogni cosa la sua propria natura e poi l'ha guidata sulla retta via”.
051_00	Disse: “Cosa ne è delle generazioni antiche?”.
052_00	Rispose: “La conoscenza di ciò è in una Scrittura presso il mio Signore. Il mio Signore non sbaglia e non dimentica”.
053_00	È Lui Che vi ha dato la terra come culla e vi ha tracciato sentieri e dal cielo fa scendere l'acqua, per mezzo della quale facciamo germinare diverse specie di piante.
054_00	Mangiatene e fatevi pascolare il vostro bestiame. Ecco segni per coloro che hanno intelletto.
055_00	Da essa vi abbiamo creati, in essa vi faremo ritornare e da essa vi trarremo un'altra volta.
056_00	Gli mostrammo tutti i Nostri segni, ma li ha tacciati di menzogna e rinnegati.
057_00	Disse: “O Mosè, sei venuto per cacciarci dalla nostra terra con la tua magia?
058_00	Allora ti opporremo una magia simile. Fissa per te e per noi un incontro in un luogo appropriato, noi non mancheremo e tu neppure”.
059_00	Rispose: “L'incontro sarà nel giorno della festa. Che la gente sia riunita al mattino”.
060_00	Si ritirò Faraone, preparò i suoi artifici e poi si presentò.
061_00	Disse Mosè: “Guai a voi, non inventate menzogne contro Allah: vi annienterebbe per punizione. Chi inventa menzogne è certamente perduto”.
062_00	Discussero in proposito [i maghi], in segreti conciliaboli.
063_00	Dissero: “Quei due sono sicuramente due maghi che vogliono cacciarvi dalla vostra terra con la magia e cancellare la vostra esemplare dottrina”.
064_00	“Riunite i vostri incantesimi e venite in fila. Chi avrà oggi il sopravvento sarà il vincitore.”
065_00	Dissero: “Getti tu, Mosè, o gettiamo noi per primi?”.
066_00	Disse: “Gettate pure!”. Ed ecco che gli parve che le loro corde e i loro bastoni si mettessero a correre, per effetto di magia.
067_00	Mosè ne fu intimorito nell'intimo.
068_00	Gli dicemmo: “Non aver paura. Avrai il sopravvento.
069_00	Getta quello che c'è nella tua mano destra: divorerà quello che han fatto, perché quello che han fatto è artificio di mago; e il mago, ovunque vada, non avrà riuscita”.
070_00	I maghi caddero in prosternazione e dissero: “Crediamo nel Signore di Aronne e di Mosè”.
071_00	Disse [Faraone]: “Crederete in lui, prima che io ve lo permetta?
071_01	È certo lui il vostro maestro che vi ha insegnato la magia. Vi farò tagliare mani e piedi alternati e vi farò crocifiggere a tronchi di palma e capirete chi di noi è più duro e pertinace nel castigo”.
072_00	Dissero: “Non ti potremmo mai preferire a quello che ci è stato provato e a Colui Che ci ha creati. Attua pure quello che hai deciso. Le tue decisioni non riguardano che questa vita!
073_00	In verità noi crediamo nel nostro Signore, ché ci perdoni i nostri peccati e la magia che ci hai imposto. Allah è migliore e duraturo”.
074_00	Chi si presenterà empio al suo Signore, certamente avrà l'Inferno dove non morirà, né vivrà.
075_00	Chi [invece] si presenterà a Lui credente, e avrà compiuto opere buone... ecco coloro che avranno l'onore più grande,
076_00	i Giardini di Eden dove scorrono i ruscelli e in cui rimarranno in perpetuo. Questo è il compenso per chi si purifica.
077_00	In verità, ispirammo questo a Mosè: “Parti durante la notte, alla testa dei Miei servi e apri per loro una strada asciutta nel mare: non devi temere che vi raggiungano, non aver alcun timore”.
078_00	Li inseguì Faraone con i suoi armati e furono sommersi dalle onde.
079_00	Faraone sviò la sua gente e non la guidò [al bene].
080_00	O Figli di Israele, vi liberammo dal vostro nemico e vi demmo convegno sul lato destro del Monte. Facemmo scendere su di voi la manna e le quaglie.
081_00	“Mangiate le ottime cose di cui vi abbiamo provveduto e non ribellatevi o la Mia collera sarà su di voi, e colui sul quale si abbatte la Mia collera è destinato all'abisso!”
082_00	In verità, Io sono Colui che assolve chi si pente, crede, compie il bene e poi segue la retta via.
083_00	“Cos'è che ti ha spinto a sopravanzare il tuo popolo, o Mosè?”
084_00	Rispose: “Essi sono sui miei passi. Mi sono affrettato verso di Te, o Signore, per compiacerTi”.
085_00	Disse: “In tua assenza abbiamo tentato la tua gente e il Sâmirî li ha traviati”.
086_00	Ritornò Mosè al suo popolo pieno di collera e dispiacere, disse: “O popol mio, non vi ha fatto il vostro Signore una bella promessa?
086_01	[L'attesa] del patto era troppo lunga per voi? Avete voluto che fosse su di voi la collera del vostro Signore e così avete mancato alla promessa che mi avevate fatto?”.
087_00	Dissero: “Non è per nostra volontà che abbiamo mancato alla promessa. Eravamo appesantiti dai gioielli di quella gente. Li abbiamo buttati, il Sâmirî li ha gettati
088_00	e ne ha tratto un vitello dal corpo mugghiante”. E [tutti] dissero: “È il vostro dio, il dio di Mosè. [Mosè] ha dimenticato [di informarvene]!”.
089_00	Che? Non vedevano che quello non poteva rispondere e non poteva apportar loro né danno, né giovamento?
090_00	Già Aronne li aveva avvertiti: “O popol mio, siete caduti nella tentazione! Il Compassionevole è veramente il vostro Signore. Seguitemi allora, e obbedite ai miei ordini”.
091_00	Risposero: “Non cesseremo di adorarlo, finché Mosè non sarà di ritorno”.
092_00	Disse [Mosè]: “O Aronne, cosa ti ha impedito, quando li hai visti sviarsi?
093_00	Perché non mi hai raggiunto? Hai disobbedito ai miei ordini?”.
094_00	Rispose: “O figlio di mia madre, non prendermi per la barba o per i capelli. Temevo che avresti detto: "Hai creato una divisione tra i Figli di Israele e non hai obbedito alle mie parole"”.
095_00	Disse [Mosè]: “E tu, Sâmirî, qual era il tuo disegno?”.
096_00	Rispose: “Ho visto quello che non hanno visto, ho preso un pugno di polvere dalla traccia dell'Inviato e l'ho gettata, questo mi ha suggerito l'animo mio”.
097_00	“Vattene - disse [Mosè] - "Per [tutta] la vita dovrai avvertire: Non toccatemi".
097_01	Sei destinato ad un incontro cui non potrai mancare! Guarda il dio che hai adorato assiduamente: lo bruceremo e disperderemo [le ceneri] nel mare.
098_00	In verità, il vostro Dio è Allah, al di fuori del Quale non c'è divinità alcuna. Egli tutto abbraccia nella Sua Scienza.”
099_00	Così ti raccontiamo le storie del passato. È un Monito da parte Nostra che ti abbiamo dato.
100_00	Chiunque se ne allontana, nel Giorno della Resurrezione porterà un fardello,
101_00	resteranno perpetuamente in quello stato. Che atroce fardello, nel Giorno della Resurrezione!
102_00	Nel Giorno in cui sarà soffiato nel Corno, riuniremo in quel Giorno i malvagi, [e avranno] gli occhi bluastri.
103_00	Bisbiglieranno tra loro: “Non siete rimasti [nella tomba] che dieci [giorni]”.
104_00	Conosciamo meglio [di chiunque altro] quello che diranno, quando il più ragionevole di loro, dirà: “Siete rimasti solo un giorno”.
105_00	Ti chiederanno [a proposito] delle montagne; di': “Il mio Signore le ridurrà in polvere
106_00	e ne farà una pianura livellata,
107_00	dove non vedrai asperità o depressioni”.
108_00	In quel Giorno, seguiranno indefettibilmente colui che li avrà chiamati e abbasseranno le voci davanti al Compassionevole. Non sentirai altro che un mormorio.
109_00	In quel Giorno si potrà godere dell'intercessione solo con il permesso del Compassionevole e da parte di coloro le cui parole saranno da Lui accette.
110_00	Egli conosce quello che li precede e quello che li segue, mentre la loro scienza non può comprenderLo.
111_00	Si umilieranno i loro volti davanti al Vivente, Colui Che esiste di per Se stesso e per il Quale sussiste ogni cosa, mentre chi sarà carico di peccati si perderà,
112_00	e chi sarà stato credente e avrà compiuto il bene, non temerà alcun danno o ingiustizia.
113_00	Lo facemmo scendere [sotto forma di] Corano arabo, nel quale formulammo esplicite minacce. Chissà che non divengano timorati o che sia per essi un monito.
114_00	Sia esaltato Allah, il Re, il Vero. Non aver fretta di recitare, prima che sia conclusa la rivelazione, ma di': “Signor mio, accresci la mia scienza”.
115_00	Già imponemmo il patto ad Adamo, ma lo dimenticò, perché non ci fu in lui risolutezza.
116_00	E quando dicemmo agli angeli: “Prosternatevi davanti ad Adamo”, tutti si prosternarono, eccetto Iblis, che rifiutò.
