001_00	Alif, Lâm, Mîm;
002_00	Allah, non c'è dio all'infuori di Lui, il Vivente, l'Assoluto.
003_00	Ha fatto scendere su di te il Libro con la verità, a conferma di ciò che era prima di esso. E fece scendere la Torâh e l'Ingîl,
004_00	in precedenza, come guida per le genti. E ha fatto scendere il Discrimine. In verità, a coloro che negano i segni di Allah, un duro castigo! Allah è potente e vendicatore.
005_00	Nulla di quel che è sulla terra o nei cieli è nascosto ad Allah.
006_00	È Lui che vi plasma come vuole negli uteri. Non c'è dio all'infuori di Lui, l'Eccelso, il Saggio.
007_00	È Lui che ha fatto scendere il Libro su di te.
007_01	Esso contiene versetti espliciti, che sono la Madre del Libro, e altri che si prestano ad interpretazioni diverse.
007_02	Coloro che hanno una malattia nel cuore, che cercano la discordia e la [scorretta] interpretazione, seguono quello che è allegorico, mentre solo Allah ne conosce il significato. Coloro che sono radicati nella scienza dicono: “Noi crediamo: tutto viene dal nostro Signore”. Ma i soli a ricordarsene sempre, sono i dotati di intelletto.
008_00	“Signor nostro, non lasciare che i nostri cuori si perdano dopo che li hai guidati e concedici misericordia da parte Tua. In verità Tu sei Colui Che dona.
009_00	Signor nostro, in verità sei Tu Che radunerai gli uomini in un Giorno a proposito del quale non v'è dubbio alcuno.” Allah certamente non manca alla Sua promessa.
010_00	No, per quelli che sono miscredenti, non basteranno i loro beni e i loro figli per metterli al riparo da Allah. Saranno combustibile del Fuoco.
011_00	Come la gente di Faraone e quelli che vissero prima di loro! Avevano tacciato di menzogna i Nostri segni. Allah li ha colti nel peccato. Allah è severo nel punire.
012_00	Di' ai miscredenti: “Presto sarete sconfitti. Sarete radunati nell'Inferno. Che infame giaciglio!”.
013_00	Vi fu certamente un segno nelle due schiere che si fronteggiavano: una combatteva sul sentiero di Allah e l'altra era miscredente, li videro, a colpo d'occhio, due volte più numerosi di quello che erano.
013_01	Ebbene, Allah presta il Suo aiuto a chi vuole. Ecco un argomento di riflessione per coloro che hanno intelletto.
014_00	Abbiamo abbellito, agli [occhi degli] uomini, le cose che essi desiderano: le donne, i figli, i tesori accumulati d'oro e d'argento, i cavalli
014_01	marchiati, il bestiame e i campi coltivati; tutto ciò è solo godimento temporaneo della vita terrena, mentre verso Allah è il miglior ritorno.
015_00	Di': “Posso insegnarvi qualcosa meglio di ciò?
015_01	Per quelli che sono timorati ci sono, presso il Signore, giardini nei quali scorrono ruscelli ed essi vi resteranno in eterno, e spose purissime e il compiacimento di Allah”.
015_02	Allah osserva i Suoi servi
016_00	che dicono: “O Signor nostro, abbiamo creduto; perdona i nostri peccati e proteggici dal castigo del Fuoco”.
017_00	Questi i pazienti, i veritieri, gli uomini pii, i generosi, quelli che implorano perdono nelle ultime ore della notte.
018_00	Allah testimonia, e con Lui gli Angeli e i sapienti, che non c'è dio all'infuori di Lui, Colui Che realizza la giustizia. Non c'è dio all'infuori di Lui, l'Eccelso, il Saggio.
019_00	Invero, la religione presso Allah è l'Islàm.
019_01	Quelli che ricevettero la Scrittura caddero nella discordia, nemici gli uni degli altri, solo dopo aver avuto la scienza. Ma chi rifiuta i segni di Allah, [sappia che] Allah è rapido al conto.
020_00	Se polemizzano contro di te, di': “Sottometto ad Allah il mio volto, io e coloro che mi hanno seguìto”. E di' a coloro che hanno ricevuto il Libro e agli illetterati: “Vi siete sottomessi?”.
020_01	Se si sottomettono, saranno ben guidati; se ti volgono le spalle, il tuo compito è solo il trasmettere. Allah osserva i Suoi schiavi.
021_00	Annuncia un castigo doloroso a quelli che smentiscono i segni di
021_01	Allah, ingiustamente uccidono i Profeti e uccidono coloro che invitano alla giustizia.
022_00	Coloro le cui opere sono diventate inutili in questo mondo e nell'Altro non avranno chi li soccorra.
023_00	Non hai visto coloro ai quali era stata data una parte della Scrittura? Quando sono invitati al Libro di Allah perché sia giudice tra loro, una parte di loro volge le spalle nel rifiuto assoluto.
024_00	E ciò perché dicono: “Il Fuoco non ci toccherà, se non per giorni contati”. Le loro stesse calunnie li hanno ingannati sulla loro religione.
