001_00	Hâ', Mîm
002_00	La Rivelazione del Libro [proviene] da Allah, l'Eccelso, il Sapiente,
003_00	Colui Che perdona il peccato, che accoglie il pentimento, che è severo nel castigo, il Magnanimo. Non c'è altro dio all'infuori di Lui. La meta è verso di Lui,
004_00	solo i miscredenti polemizzano sui segni di Allah. Non ti lasciar suggestionare dal loro andirivieni in questa terra.
005_00	Prima di loro il popolo di Noè tacciò di menzogna e dopo di loro [lo fecero] i coalizzati. Ogni comunità tramò contro il suo messaggero, cercando di impadronirsene.
005_01	Polemizzarono con falsi [argomenti] per respingere la verità. Li afferrai infine, e quale fu la Mia sanzione!
006_00	Si realizza così la Parola del tuo Signore contro i miscredenti: “Saranno i compagni del Fuoco”.
007_00	Coloro che sostengono il Trono e coloro che lo circondano, glorificano e lodano il loro Signore, credono in Lui e invocano il perdono per i credenti: “Signore, la
007_01	Tua misericordia e la Tua scienza, si estendono su tutte le cose: perdona a coloro che si pentono e seguono la Tua via, preservali dal castigo della Fornace.
008_00	Signore! Falli entrare nei Giardini di Eden che hai promesso loro, e a quanti fra i loro padri, le loro spose e i loro discendenti saranno stati virtuosi. Sì, Tu sei l'Eccelso, il Saggio.
009_00	Preservali dalle cattive azioni, perché in quel Giorno colui che avrai preservato dal male, beneficerà della tua misericordia”. Questo è l'immenso successo.
010_00	Verrà gridato ai miscredenti: “L'avversione di Allah verso di voi è certamente maggiore di quanto lo era la vostra contro voi stessi, allorché eravate invitati alla fede e la rifiutavate”.
011_00	Diranno: “Nostro Signore, due volte ci hai fatti morire e due volte ci hai fatti rivivere. Riconosciamo i nostri peccati, c'è una via di scampo?”.
012_00	“Questo [avviene] perché quando Allah, l'Unico, era invocato, restavate increduli e quando invece Gli attribuivano associati credevate [in essi]. Il Giudizio appartiene ad Allah, l'Altissimo, il Grande.”
013_00	Egli è Colui Che vi mostra i Suoi segni e vi fa scendere dal cielo una provvidenza. [Ma] se ne ricorda solo chi torna a Lui pentito.
014_00	Invocate Allah e rendetegli un culto puro, nonostante ciò spiaccia ai miscredenti.
015_00	Egli è Colui Che eleva ai livelli più alti, il Padrone del Trono. Invia il Suo Spirito su chi vuole tra i Suoi servi, così che questi possa avvertire del Giorno dell'Incontro,
016_00	del Giorno in cui compariranno e nulla di loro sarà celato ad Allah. A chi apparterrà la sovranità in quel Giorno? Ad Allah, l'Unico, il Dominatore.
017_00	In quel Giorno ciascuno sarà compensato per quello che avrà meritato: in quel Giorno non ci sarà ingiustizia. Allah è rapido al conto.
