001_00	In verità ti abbiamo concesso una vittoria evidente,
002_00	affinché Allah ti perdoni le tue colpe passate e future, perfezioni su di te il Suo favore e ti guidi sulla retta via;
003_00	e affinché Allah ti presti ausilio possente.
004_00	Egli è Colui Che ha fatto scendere la Pace nel cuore dei credenti, affinché possano accrescere
004_01	la loro fede: [appartengono] ad Allah le armate dei cieli e della terra, Allah è sapiente, saggio.
005_00	[Lo ha fatto] per far entrare i credenti e le credenti nei Giardini in cui scorrono i
005_01	ruscelli, dove rimarranno in perpetuo, per mondarli dei loro peccati - questo è successo enorme presso Allah -
006_00	e per castigare gli ipocriti e le ipocrite, gli associatori e le associatrici che hanno cattiva opinione di Allah.
006_01	Che la sventura si abbatta su di loro! Allah è adirato contro di loro, li ha maledetti e ha preparato per loro l'Inferno: qual triste avvenire!
007_00	[Appartengono] ad Allah le armate dei cieli e della terra, Allah è eccelso, saggio.
008_00	In verità ti abbiamo mandato come testimone, nunzio e ammonitore,
009_00	affinché crediate in Allah e nel Suo Messaggero e affinché Lo assistiate, Lo onoriate e Gli rendiate gloria al mattino e alla sera.
010_00	In verità coloro che prestano giuramento [di fedeltà], è ad Allah che lo prestano: la mano di Allah è sopra le loro mani.
010_01	Chi mancherà al giuramento lo farà solo a suo danno; a chi invece si atterrà al patto con Allah, Egli concederà una ricompensa immensa.
011_00	Quei beduini che sono rimasti indietro ti diranno: “Ci hanno trattenuto i nostri beni e le nostre famiglie: chiedi perdono per noi”.
011_01	Con le loro lingue pronunciano cose che non sono nei loro cuori.
012_00	Pensavate anzi che il Messaggero e i credenti non sarebbero mai più tornati alla loro famiglia. Questa convinzione è parsa bella ai vostri cuori e avete concepito un cattivo pensiero: foste gente perduta.
013_00	Abbiamo preparato la Fiamma per i miscredenti, per coloro che non credono in Allah e nel Suo Inviato.
014_00	[Appartiene] ad Allah la sovranità sui cieli e sulla terra. Egli perdona chi vuole e castiga chi vuole. Allah è perdonatore, misericordioso.
015_00	Coloro che sono rimasti indietro, quando vi metterete in marcia per impadronirvi di un bottino, diranno: “Lasciate che vi seguiamo”. Vorrebbero cambiare la Parola di Allah.
015_01	Di': “Giammai ci seguirete: Allah ha detto così in precedenza”. Diranno: “Siete gelosi di noi”. Sono loro invece a capire ben poco.
016_00	Di' a quei beduini che sono rimasti indietro: “Presto sarete chiamati [a combattere] contro gente di grande valore: dovrete combatterli finché non si sottomettono.
016_01	Se obbedirete, Allah vi darà una bella ricompensa; se invece volgerete le spalle come già le avete voltate, vi punirà con un doloroso castigo”.
017_00	Non ci sarà colpa per il cieco, né per lo storpio, né per il malato.
017_01	Quanto a chi obbedisce ad Allah e al Suo Messaggero, Allah lo introdurrà nei Giardini in cui scorrono i ruscelli. Quanto invece a chi volgerà le spalle, Egli lo punirà con un doloroso castigo.
018_00	Già Allah si è compiaciuto dei credenti quando ti giurarono [fedeltà] sotto l'albero. Sapeva quello che c'era nei loro cuori e fece scendere su di loro la Pace: li ha ricompensati con un'imminente vittoria.
019_00	e con l'abbondante bottino che raccoglieranno. Allah è eccelso, saggio.
020_00	Allah vi promette l'abbondante bottino che raccoglierete, ha propiziato questa [tregua] e ha trattenuto le mani
020_01	di [quegli] uomini, affinché questo sia un segno per i credenti e per guidarvi sulla Retta via.
021_00	[Vi ha promesso] altre [vittorie] che allora non erano alla vostra portata, ma Allah li ha soverchiati. Allah è onnipotente.
022_00	Se coloro che non credono vi combattono, certo volgeranno le spalle e non troveranno nessun alleato, nessun soccorritore.
023_00	Già questa fu la consuetudine di Allah e non troverai mai cambiamento nella consuetudine di Allah.
024_00	Egli è Colui Che nella valle della Mecca ha trattenuto da voi le loro mani e da loro le vostre, dopo avervi concesso la supremazia. Allah osserva quel che fate.
025_00	Sono i miscredenti che hanno ostruito la via [per raggiungere] la Santa Moschea e hanno impedito che le vittime sacrificali giungessero al luogo del sacrificio.
025_01	Se non ci fossero stati uomini credenti e donne credenti che voi non conoscevate e che avreste potuto calpestar inconsapevolmente, rendendovi così colpevoli di una guerra contro di loro...
025_02	Così Allah farà entrare chi vuole nella Sua misericordia. Se [i credenti] si fossero fatti riconoscere, certamente avremmo colpito con doloroso castigo coloro che non credevano.
026_00	E quando i miscredenti riempirono di furore i loro cuori, il furore dell'ignoranza, Allah fece scendere la Sua Pace sul Suo Messaggero e sui credenti e li volse all'espressione del timore [di Allah], di cui erano più degni e più vicini.
026_01	Allah conosce tutte le cose.
027_00	Allah mostrerà la veridicità della visione [concessa] al Suo Messaggero: se Allah vuole, entrerete in sicurezza nella Santa Moschea, le teste rasate [o] i capelli accorciati, senza più avere timore alcuno.
027_01	Egli conosce quello che voi non conoscete e già ha decretato oltre a ciò una prossima vittoria.
028_00	Egli è Colui Che ha inviato il Suo Messaggero con la guida e la religione della verità, per farla prevalere su ogni altra religione. Allah è testimone sufficiente.
029_00	Muhammad è il Messaggero di Allah e quanti sono con lui sono duri con i miscredenti e compassionevoli fra loro.
029_01	Li vedrai inchinarsi e prosternarsi, bramando la grazia di Allah e il Suo compiacimento.
029_02	Il loro segno è, sui loro volti, la traccia della prosternazione: ecco l'immagine che ne dà di loro la Torâh.
029_03	L'immagine che invece ne dà il Vangelo è quella di un seme che fa uscire il suo germoglio, poi lo rafforza e lo ingrossa, ed esso si erge sul suo stelo nell'ammirazione dei seminatori. Tramite loro Allah fa corrucciare i miscredenti. Allah promette perdono e immensa ricompensa a coloro che credono e compiono il bene.
