001_00	Elif, Lám, Mîm.
002_00	mendojnë njerëzit se do të lihen (të qetë) nëse thonë: “Na kemi besuar! E që ata nuk do të vihen në sprovë?
003_00	E, me të vërtetë, Ne i kemi sjellë në sprovë, ata që kanë qenë para tyre, e Perëndia do të tregojë për ata që thonë të vërtetëen dhe për ata që gënjejnë.
004_00	A mos mendojnë ata që bëjnë vepra të këqia – se do t’i shpëtojnë (dënimit Tonë)? Sa keq po gjykojnë ata!
005_00	Kush shpreson takimin te Perëndia – me të vërtetë do të arrijë Dita e caktuar. E Ai, i dëgjon dhe i di të gjitha.
006_00	Kush përpiqet (në rrugën e Perëndisë), përpiqet vetëm për të mirën e vetvetes, se Perëndia, me të vërtetë, është i pavarur prej çdo gjëje.
007_00	E, ata që besojnë dhe punojnë vepra të mira, me siguri do t’u shlyejmë të këqiat e tyre dhe do t’i shpërblejmë ata më mirë se punën që kanë bërë.
008_00	Na e kemi obliguar çdo njeri, që t’u bëjë mirë prindërve të vet.
008_01	Por nëse ata të nxisin ty që të më bësh Mua shok, për të cilin ti nuk di asgjë, atëherë mos i dëgjo ata. Tek Unë do të ktheheni ju, e do t’ju lajmëroj Unë juve për atë që keni punuar.
009_00	Dhe ata që kanë besuar dhe kanë bërë punë të mira, me siguri do t’i radhisim në mesin e të mirëve.
010_00	E, ka disa njerëz që thonë: “Na besojmë Perëndinë”. E, kur të sillet në shqetësim për Perëndinë, ai e konsideron sprovimin e njeriut – ashtu si dënimin e Perëndisë.
010_01	E, kur të vijë ndihma prej Zotit tënd, ata, me siguri – do të thonë: “Na kemi qenë me ju”. Vallë! A nuk e di Perëndia më së miri se ç’ka në zemrat e çdokujt?
011_00	Perëndia, me siguri, do t’i tregojë ata që kanë besuar, dhe do t’i tregojë hipokritët.
012_00	Dhe mohuesit u thonë besimtarëve: “Ndiqni rrugën tonë, e ne do t’i bartim gabimet tuaja!” Por, ata nuk janë bartës të asnjë gabiti të tyre, ata, me të vërtetë, janë gënjeshtarë.
013_00	Ata (mohuesit), do t’i bartin brengat e veta dhe bashkë me bregat e tyre, edhe brengat tjera – dhe ata, me të vërtetë, do të pyetën Ditën e Kijametit për atë që trillonin.
014_00	Ne e kemi dërguar Nuhun te populli i tij – e ai qëndroi në mesin e tyre një mijë pa pesëdhjetë vjetë, e i përfshiu ata përmbytja (nga uji), meqë ishin zullumqarë.
015_00	Dhe Ne, e shpëtuam atë dhe ata që u gjenden në barkë, dhe e bëmë dokument (të fuqisë Sonë) për të gjithë.
016_00	Dhe (kujtoje) Ibrahimin kur i pat thënë popullit të vet: “Adhuronie Perëndinë dhe druajuni Atij. Kjo është më së miri për ju, nëse e dini.
017_00	Ju, pos Perëndisë, me të vërtetë, po adhuroni idhuj dhe po shpifni gënjeshtra.
017_01	Me të vërtetë, ata që po i adhuroni ju pos Perëndisë, nuk kanë pushtet t’ju furnizojnë juve, andaj, te Perëndia kërkoni furnizimin dhe adhuronie Atë dhe falenderohuni Atij. Tek Ai do të ktheheni.
