001_00	Jâ Sîn.
002_00	Pasha Kur’anin plotë dijeni,
003_00	me të vërtetë, ti (o Muhammed!) je pejgamber,
004_00	në rrugën e drejtë,
005_00	me shpalljen e të Plotëfuqishmit, Mëshiruesit,
006_00	që ta paralajmërosh popullin – paraardhësit e të cilit nuk ishin të paralajmëruar, prandaj (ata) kanë qenë të pakujdesshëm!
007_00	Me të vërtetë, u realizua Fjala (e dënimit) ndaj shumicës së tyre – e ata nuk besojnë.
008_00	Ne u vumë pranga në qafë, e ato u arrijnë deri në nënmjekërr, - andaj ata janë me kokë përpjetë,
009_00	dhe Ne, vumë perde para tyre dhe perde pas tyre, e i mbuluam, e ata nuk shohin,
010_00	dhe për ata është njëlloj, i paralajmërove oe nuk i paralajmërove, ata nuk besojnë.
011_00	Me të vërtetë, paralajmërimi yt i sjell dobi vetëm atij që ndjek Këshillën (Kur’anin) dhe i druan Mëshiruesit dhe fshehtas (pa e parë); e sihariqoje atë duke ia falë mëkatet dhe duke i dhënë shpërblim të begatshëm!
012_00	Ne, me të vërtetë, i ringjallim të vdekurit, shënojmë veprat që i kanë paraqitur dhe gjurmët e tyre, e Ne i numërojmë të gjitha ato në Librin e qartë.
013_00	Përmendju atyre shembullin e banorëve të qytetit, kur u erdhën atyre pejgamberët;
014_00	Kur Ne u dërguam atyre dy, e ata i konsideronin gënjeshtarë, madje i përforcuam me të tretin, e thanë: “Ne, me të vërtetë, jemi dërguar te ju!”
015_00	Ata (banorët e qytetit), ju thanë: “Ju jeni vetëm njerëz si ne, e Bamirësi nuk ju ka zbritur asgjë; ju vetëm gënjeni”.
016_00	Thanë (pejgamberët): “Zoti ynë e di që ne, me të vërtetë, jemi dërguar pejgamberë te ju,
017_00	dhe se jemi të obliguar vetëm që të shpallim qartë”.
018_00	Thanë (banorët): “Ne parandjejmë fatkeqësi nga ju; e nëse nuk frenoheni, do t’ju gjuamë me gurë dhe me siguri do t’ju godas dënimi i dhembshëm prej nesh”.
019_00	Thanë (pejgamberët): “Fatkeqësia juaj është me ju. Vallë, a për atë që jeni këshilluar (e konsideroni fatkeqësi)? Jo, (por) ju jeni popull që kaloni kufirin në të këqia”.
020_00	E, erdhi një njeri nga periferia e qytetit – duke nxituar dhe tha: “O populli im, pasoni pejgamberët;
021_00	pasoni ata, që nuk kërkojnë prej jush kurrfarë shpërblimi, e ata janë në rrugën e drejtë!
