001_00	Tâ, Sín, Mîm.
002_00	Këto janë ajetet e Librit të qartë!
003_00	A mos vallë ti (o Muhammed) don ta shkatërrosh veten, ngase ata nuk duan të besojnë?
004_00	Sikur të donim Ne, do të zbritnim në ta – nga qielli – një mrekulli, para së cilës, ata do të përulnin kokat e tyre.
005_00	Dhe, atyre, nuk u ka ardhur kurrfarë këshille e re prej Mëshiruesit, e që të mos jenë shmangur nga ajo.
006_00	Ata, me të vërtetë, e kanë përgënjeshtruar (këtë këshillë), andaj, do t’i arrijë ata, me siguri përfundimi i asaj, me të cilën janë tallë.
007_00	Vallë, a nuk shohin ata që në Tokë, Ne kemi bërë të mbijnë sa e sa lloje çifte bimësh të mrekullueshme?
008_00	Me të vërtetë, në këtë ka argument, por shumica e tyre (njerëzve) nuk kanë besuar,
009_00	e Zoti yt, me të vërtetë, është i Plotëfuqishëm dhe mëshirues.
010_00	(Përkujtoju atyre, o Muhammed) kur Perëndia i thërriti Musait: “Shko te populli zullumqar,
011_00	populli i Faraonit; vallë, a nuk po i druajnë ata Perëndisë?”
012_00	(Musai) tha: “O Zoti im, unë kam frikë se do të më konsiderojnë gënjeshtar,
013_00	e zemra po më ngushtohet, dhe gjuha nuk po më zhvillohet, andaj, dërgoja pejgamberllëkun edhe Harunit!
014_00	Unë jam edhe përgjegjës ndaj tyre për një gabim (mbytjen e një Kopti), andaj kam frikë se do të më vrasin.
015_00	(Perëndia) tha: “Kurrsesi! (Nuk do të vrasin, por) shkoni që të dy me argumentet Tona. Me të vërtetë, Na jemi me ju dhe dëgjojmë.
016_00	Shkoni te Faraoni dhe i thoni: “Na jemi pejgamberët e Zotit të botërave,
017_00	lejoni bijtë e Israelit që të vijnë me ne!”
018_00	(Faraoni) tha: “Vallë, a nuk të kemi rritur ne – në mesin tonë si fëmijë? Dhe, ke qëndruar në mesin tonë shumë vjet të jetës tënde –
019_00	dhe, ke punuar atë veprën (e keqe) tënde, të cilën e ke punuar, e ti madje – je edhe jomirënjohës?”
020_00	(Musai) tha: “E kam punuar atë (vepër) kur nuk kam qenë i udhëzuar (para profetnisë),
021_00	e kam ikur prej jush, ngase jam frikësuar prej jush, e Zoti im më dhuroi mençurinë dhe më bëri pejgamber.
022_00	A është mirësi ajo që po më bëni vetëm mua, ndërsa Israelitët i bëre skllavë?”
023_00	Faraoni pyeti (Musain): “E ç’është Zoti i gjithë botërave?”
024_00	(Musai) u përgjegjë: “(Ai është Allahu) Zot’i qiejve dhe i Tokës, dhe çka gjendet në mes tyre, nëse besoni?”
