001_00	Të pyesin ty (o Muhammed), për plaçkën e luftës.
001_01	Thuaj: “(Dispozitat) mbi plaçkat e luftës i përkasin Perëndisë dhe Pejgamberit”. Pranaj, druajuni Perëndisë dhe rregulloni mërrëdhëniet në mes jush dhe bëhuni të dëgjueshëm ndaj Perëndisë dhe Pejgamberit të Tij, nëse jeni besimtarë të vërtetë”.
002_00	Besimtarë të vërtetë janë vetëm ata, zemrat e të cilëve, kur të përmendet Perëndia, vërgëllojnë (nga frika dhe përulja), e kur t’u lexohen argumentet e Tij, iu shtohet thellimi në besim dhe vetëm te Zoti i tyre mbështeten,
003_00	ata që kryejnë namazin dhe japin nga pjesa e asaj që u kemi dhënë Ne.
004_00	Ata, padyshim, janë besimtarë të vërtetë. Për ata ka pozita te Zoti i tyre, falje dhe dhunti fisnike.
005_00	(Këto dispozita) janë po ashtu si atëherë, kur të nxorri ty, Zoti yt, nga shhtëpia jote, në emër të së Vërtetës. Me të vërtetë, kjo një grupi prej besimtarëve nuk u pëlqeu.
006_00	Ata polemizojnë me ty për të Vërtetën, e cila madje u bë e qartë, sikur t’i shpie në vdekje, e ata vdekjen e shihnin haptazi.
007_00	(Kujtoje) kur Perëndia ju premtoi njërën prej dy grupeve, që me ët vërtetë, ajo të jetë e juaja.
007_01	E ju dëshiruat që ajo e paarmatosura të jetë e juaja; e Perëndia dëshiron ta forcojë të vërtetën me fjalë të Tij dhe mohuesve t’u zhdukë rrënjët,
008_00	për ta forcuar të Vërtetën (Islamizmin) dhe ta zhdukë gënjeshtrën, edhe sikur madje ta urrenin mëkatarët.
009_00	(Kujtoje) kur ju kërkuat ndihmë nga Zoti jua, e Ai ju përgjegj: “Unë do t’jundihmoj me njëmijë engjëj, të cilët do të vijnë njëri pas tjetrit”.
010_00	Perëndia e bëri këtë vetëm sihariq, që të qetësohen zemrat tuaja me të. E ndihma është vetëm nga Perëndia. Me të vërtetë, Perëndia është i Plotëfuqishëm dhe i Gjithëdijshëm.
011_00	(Kujtoje) kur (Zoti) bëri që ju të koteni në gjumë të lehtë për qetësimin tuaj nga ana e Tij, e lëshoi nga qielli –
011_01	shi, për t’ju pastruar me të dhe për t’ju larguar shqetësimin e djallit, për t’i bashkuar zemrat tuaja me besim dhe t’ua forcojë këmbët tuaja.
012_00	(Kujtoje) kur i urdhëroi Zoti yt engjëjt: “Unë jam me ju, andaj forconi ata që besojnë”.
012_01	Unë do t’u shtie frikë në zemra mohuesve, andaj rrihni ju ata në qafë dhe në të gjithë gishtërinjtë.
013_00	Kjo është për shkak se ata e kundërshtuan Perëndinë dhe Pejgamberin e Tij; e kush e kundërshton Perëndinë dhe Pejgamberin e Tij, Perëndia, me të vërtetë, është ndëshkues i ashpër.
014_00	Ky është ndëshkimi, shijonie ju (mohuesit) atë. Me siguri, për mohuesit ka dënim zjarri.
015_00	O besimtarë, kur të ndesheni me mohues, e duke qenë ata shumë, mos ua ktheni shpinën!
016_00	E kush ua kthen shpinën atë ditë, përveç atij që tërhiqet me qëllim që të sulmojë përsëri, ose për t’iu bashkangjitur një
016_01	grupi tjetër – ai kthehet me pezmin e Perëndisë dhe strehimi i tij është xhehennemi, e sa vend i shëmtuar është ai.
017_00	Ju nuk i keni mbytur ata, por i ka mbytur Perëndia!
017_01	E ti nuk ke hudhë kur ke hudhë, por Perëndia ka hudhë (ajo ishte hudhje e mrekullueshme) që nga Vetja besimtarëve, t’u dhurojë dhuratë të bukur. Perëndia, me të vërtetë, i dëgjon të gjitha dhe di çdo gjë.
018_00	Kështu është dhurata, se, Perëndia i bënë të dobëta dredhitë e mohuesve.
019_00	Nëse ju (mohuesit) kërkuat fitoren; e që pra, fitorja ju erdhi (kundër jush). Por nëse tërhiqeni (nga kundërshtimi), kjo do të jetë për ju shumë më e dobishme.
019_01	Nëse ktheheni (në luftë), edhe Na do të kthehemi (në ndihmë). Shoqëria juaj nuk do t’ju bëjë dobi asgjë, sikur madje të jetë e shumënumërt. Sepse, Perëndia, me të vërtetë, është me besimtarët.
020_00	O besimtarë! – bindjuni Perëndisë dhe Pejgamberit të Tij, mos u shmangëni nga Ai, se ju dëgjoni (Kur’anin),
021_00	e mos u bëni si ata që thonë: “E kemi dëgjuar!” – por ata, (në të vërtetë) nuk e kanë dëgjuar.
022_00	Krijesat më të këqia te Perëndia janë ato që janë shurdhë dhe memecë, të cilët nuk duan të kuptojnë.
023_00	Sikur Perëndia të dijë ndonjë të mirë të tyre, Ai do t’u jepte të dëgjuarit; por, edhe sikur ta kenë, ata do të shmangen dhe do të largohen nga besimi.
024_00	O besimtarë!
024_01	Përgjigjuni Perëndisë dhe Pejgmberit kur t’ju thërrasë, meqë ju ngjallë juve; dhe ta dini se Perëndia ndërhyn në mes njeriut dhe zemrës së tij, dhe se tek Ai do të ktheheni.
025_00	Ruajuni ngatërresave, të cilat nuk i godasin vetëm ata që bëjnë keq, dhe ta dini se Perëndia dënon ashpër!
026_00	Dhe kujtohuni kur ishit pak në numër, ju konsideronin të dobët e druajshit se njerëzit do t’ju përlajnë në Tokë;
026_01	e Ai me ndihmën e Tij ju strehoi dhe ju forcoi juve, e ju furnizoi me të mira, për t’iu falenderuar.
027_00	O besimtarë! Mos e tradhëtoni Perëndinë dhe Pejgamberin, se e keqpërdorni amanetin tuaj, e këtë ju e dini,
028_00	dinie se pasuria juaj dhe fëmijët tuaj janë vetëm sprovë, dhe se vetëm te Perëndia është shpërblimi i madh.
029_00	O besimtarë! Nëse i druani Perëndisë, Ai do t’ju japë aftësinë e të gjykuarit (të bëni dallimin në mes të vërtetës dhe të pavërtetës), do t’ju mbulon mëkatet tuaja dhe do t’ju falë. Perëndia është bamirës i madh.
030_00	(Kujtoje) kur bënë dredhi mohuesit kundër teje: për të të burgosur, mbytur ose dëbuar. Ata bënin ngatërresa, por Perëndia ua prapësonte dredhitë e tyre, se Perëndia, është shkatërruesi më i mirë i dinakërive.
031_00	Kur atyre u lexohen ajetet Tona, ata thonë: “Na, madje kemi dëgjuar; po të duam ne, edhe na do të thonim diçka të ngjashme. Këto nuk janë kurrgjë, përpos përralla të të parëve”.
032_00	(Kujtoje) kur, ata thanë: “Zoti ynë, nëse ky (Kur’ani) është e Vërtetë e zbritur prej Teje, lësho mbi ne gurë si shiu nga qielli, ose dërgona ndëshkimin e dhembshëm!”
033_00	Perëndia nuk i ndëshkon ata, derisa ti je në mesin e tyre; dhe Perëndia nuk i ndëshkon, nëse ata kërkojnë falje.
034_00	Ç’kanë ata, e (përse) të mos i dënojë Perëndia, sepse, ata e pengojnë vizitën në Mesxhidil-haram (Qabe), edhe pse ata nuk janë padronë (kujdestarë) të tij.
034_01	Padronë të tij duhet të bëhen vetëm ata që i druajnë Perëndisë, por shumica e tyre nuk e dinë.
035_00	Lutja e tyre në Qabe qëndron vetëm në fërshëllimë dhe duartrokitje. Andaj priteni ndëshkimin, pasi që jeni mohues!
036_00	Me të vërtetë, mohuesit e ndajnë (shpenzojnë) pasurinë e tyre, për t’i penguar njerëzit nga rruga e Perëndisë.
036_01	Ata do ta ndajnë atë (pasuri), e pastaj do ta ankojnë atë humbje, sepse, do të jenë të mundur. E, ata që nuk besojnë, do të tubohen në xhehennem,
037_00	që Perëndia të veçoj të keqin nga i miri; të këqinjt i palon njërin mbi tjetrin, e të gjithë i grumbullon e i hudhë në xhehennem. Këta, me të vërtetë, janë të humbur.
038_00	Thuaju mohuesve: nëse largohen (nga mohimi), do t’ju falet e kaluara, e nëse kthehen (në mohim), atëherë dihet se si ka qenë ligji i të parëve (se si janë ndëshkuar mohuesit dhe si janë ndihmuar besimtarët).
039_00	Dhe luftoni kundër tyre, derisa të zhduket idhujtaria dhe derisa të mbetet vetëm feja e Perëndisë. E, nëse frenohen prej mohimit, - Perëndia i sheh punët e tyre;
