001_00	Betohem në mëngjesin,
002_00	dhe natën kur terrohet e qetësohet –
003_00	Zoti yt, nuk të ka braktisur e as nuk të ka urrejtur!
004_00	Me të vërtetë, jeta e ardhshme për ty është më e mirë se kjo jetë,
005_00	e, me të vërtetë, Zoti yt do të japi ty, e ti do të jesh i kënaqur.
006_00	A nuk ishe ti bonja, e Ai të mori në strehim,
007_00	dhe të gjeti të humbur (të paudhëzuar), e të udhëzoi me Shpalljen e Kur’anit,
008_00	dhe ishe i varfër e të bëri të pasur?
009_00	Mos e nënçmo bonjakun
010_00	e lypsin mos e refuzo me ashpërsi,
011_00	dhe dhuntitë e Zotit tënd, shprehi!
