001_00	Elif, Lám, Mîm.
002_00	U mundën Bizantinët,
003_00	në afërsi të tokës (arabe), por ata pas thyerjes së tyre, me siguri do të fitojnë
004_00	brenda shtatë – nëntë (disa) vjetëve; me të vërtetë, vendimi i Perëndisë, është para (humbjes) dhe pas (fitorjes). Dhe, atë ditë, do të gëzohen besimtarët –
005_00	për ndihmën e Perëndisë, - Ai ndihmon kë të dojë dhe Ai është i Plotëfuqishëm dhe Mëshirues –
006_00	(ky është) premtimi i Perëndisë, e Perëndia nuk e then premtimin e vet, por shumica e njerëzve nuk e dinë.
007_00	Ata dinë vetëm anën sipërfaqësore të kësaj jete, ndërsa për jetën tjetër janë të pakujdesshëm (indiferent).
008_00	Vallë, a nuk mendojnë ata për vetveten?
008_01	Perëndia, ka krijuar qiejt dhe Tokën dhe ato që gjenden në mes tyre – vetëm me qëllim dhe afat të caktuar. E, me të vërtetë, shumica e njerëzve nuk besojnë në takimin me Zotin e tyre.
009_00	Vallë, a nuk kanë udhëtuar nëpër botë e të shohin se si kanë pëfunduar popujt e mëparshëm?
009_01	Ata, kanë qenë më të fortë se këta, dhe tokën e kanë shfrytëzuar dhe punuar më mirë se që e punojnë këta, e pejgamberët e tyre u kanë sjellë argumente të qarta.
009_02	Perëndia, nuk u ka bërë atyre zullum, por ata vetvetes i kanë bërë zullum.
010_00	Pastaj, përfundimi i atyre që punuan keq, qe e keqja e madhe, ngase i përgënjeshtronin ajetet e Perëndisë dhe talleshin me to.
011_00	Perëndia e fillon krijimin (prej asgjëje), e pastaj, e përsëritë (pas vdekjes), dhe pastaj tek Ai do të ktheheni.
012_00	E, atë ditë kur të arrijë Çasti (Dita e Kijametit), njerëzit e këqinj do të mbesin shpresëkëputur:
013_00	ata nuk do të kenë ndërmjetës nga idhujt e vet, dhe ata do t’i mohojnë idhujtë e tyre.
014_00	E, atë ditë kur të arrijë çasti i ringjalljes (Dita e Kijametit), atë ditë ata, - do të ndahen:
015_00	ata që anë besuar dhe që kanë punuar vepra të mira – në kopshtin e xhennetit do të jenë të gëzuar,
016_00	e ata që kanë mohuar dhe përgënjeshtruar ajetet Tona dhe takimin në Ditën e Kijametit, ata do të hudhen në zjarr.
017_00	Larësonie Perëndinë kur bie muzgu dhe kur gëdhinë drita.
018_00	Dhe, për Te është falenderimi në qiej dhe në Tokë – në mbrëmje dhe në mesditë –
019_00	Ai, krijon (nxjerrë) të gjallin prej të vdekurit, dhe krijon të vdekurin prej të gjallit dhe e gjallëron tokën pas vdekjes (shkretërimit) të saj; - poashtu edhe ju do të nxirreni (prej varreve – të ringjallur).
020_00	Dhe, prej argumenteve të Tij, është që ju u krijuat prej dheut, pastaj përnjëherë jeni bërë njerëz dhe jeni shpërndarë në të gjitha anët;
021_00	dhe njëri prej argumenteve të Tij, është që prej jush janë krijuar femrat, që të qetësoheni pranë tyre, dhe që në mes jush të lindë (vendoset) dashuria dhe mëshira.
021_01	Me të vërtetë, në këtë, ka argumente për njerëzit që mendojnë;
022_00	dhe njëri prej argumenteve të Tij, është krijimi i qiejve dhe i Tokës, dhe llojllojshmëria e gjuhëve tuaja dhe ngjyrave tuaja (racave). Me të vërtetë, në këtë, ka argumente për të diturit;
023_00	dhe njëri prej argumenteve të Tij, është gjumi juaj – natën dhe ditën, dhe kërkesa e juaj nga dhuntitë e Tij. Me të vërtetë, në këtë ka argumente për njerëzit që dëgjojnë;
024_00	dhe njëri prej argumenteve të Tij, është paraqitja e vetëtimës – frikë dhe shpresë, e që ua dërgon shiun prej qiellit, që me te, të gjallërohet toka pas shkretërimit të saj.
024_01	Me të vërtetë, në këtë ka argumente për njerëzit që mendojnë.
025_00	Dhe njëri prej argumenteve të Tij, është që qiejt dhe Toka qëndrojnë sipas urdhërit të Tij, pastaj kur t’ju thërret Ai me një të thirrur nga toka, ju atëherë – përnjëherë do të dilni (do të ringjalleni).
026_00	Dhe, Atij i përkasin çka ka në qiej dhe në Tokë. Të gjitha ipërulen Atij.
