001_00	Kâf. Pasha Kur’anin e madhërueshëm,
002_00	Po, ata janë çuditur që nga mesi i tyre u ka ardhur një paralajmërues, e mohuesit thonë: “Kjo gjë është e çuditshme”.
003_00	Vallë, a pasi të vdesin e të bëhemi dhé (do të ringjallemi)? Ai kthim është i largët!”
004_00	Na dimë çka do t’ua mungojë toka atyre (pasi të vdesin), te Ne është Libri që i ruan të gjitha.
005_00	Aq më tepër, ta e mohuan të Vërtetën kur u erdhi dhe ata janë në gjendje të luhatshme (në çështjen e profetnisë).
006_00	A, nuk e kanë shikuar ata qiellin që qëndron mbi ta, si e kemi ndërtuar dhe zbukuruar, e i cili nuk ka kurrfarë të mete (çrregullimi)!
007_00	E, Tokën e kemi shtruar dhe në të kemi shpërndarë male të palëvizshme dhe kemi bërë që nga ajo të mbijnë gjithfarë lloj bimësh të bukur,
008_00	për t’u menduar dhe këshilluar çdo rob që i drjtohet Zotit të vet.
009_00	Ne nga qielli lëshojmë ujin (shiun) e bekuar dhe bëjmë që me të, të ujiten kopshtijet dhe drithërat që korren.
010_00	Dhe palmet e hurmës së lartë me kalavesh njëri mbi tjetrin,
011_00	ushqim për robërit (njerëzit), dhe Ne me shi e ringjallim tokën (visin) e vdekur; e kështu do të jetë edhe dalja (prej tokës – ringjallja).
012_00	Pas tyre, kanë mohuar populli i Nuhut, edhe banorët e Ressit dhe Themudi,
013_00	dhe Adi dhe Faraoni, dhe vëllezërit (populli) e Lutit,
014_00	edhe banorët e Ejkës dhe populli i Tubbas; të gjithë ata i kanë përgënjeshtruar pejgamberët dhe ndaj tyre u sendërtua dënimi Im.
015_00	E, vallë, mos jemi lodhur Ne gjatë krijimit të parë? Jo, por ata dyshojnë në krijimin e sërishëm.
016_00	Na e kemi krijuar njeriun dhe Na dimë çka i pëshpërit shpirti atij, se Ne (me dijeninë Tonë) jemi më afër se damari i tij i qafës,
017_00	(dhe nga të dy engjëjt) të cilët i rrinë atij nga ana e djathtë dhe e majtë,
018_00	dhe ai nuk e thotë asnjë fjalë e që pranë tij të mos jetë ai që mbikëqyrë.
019_00	Mundimet e vdekjes do të arrijnë me siguri – kësaj nuk mund t’i ikësh
020_00	dhe do të fryhet në Sur – kjo është Dita e premtimit –
021_00	dhe çdonjëri do të vijë, e me të ka grahës dhe dëshmitar.
022_00	Ti, me të vërtetë, ke qenë i pakujdesshëm për këtë (momentin e vdekjes), andaj ta kemi ngritur perden (e syve), dhe shikimi yt sot është i prehtë.
023_00	E, shoku i tij do të thotë: “Ky pranë meje, është i gatshëm”
024_00	(u thuhet): “Hidheni në zjarr çdo mohues inatçi,
025_00	pengues i të mirave, që kalon (kufirin) dhe i cili dyshon (në fé),
026_00	i cili, pos Perëndisë, beson në zot tjetër – andaj hidhe atë në dënimin më të rëndë!”
027_00	E, shoku i tij do të thotë: “O Zoti ynë, unë nuk e kam mashtruar atë, por ai vet ka qenë në humbje të madhe”.
028_00	Atyre (Perëndia) do t’ju thotë: “Mos u grindni para Meje, Unë ju kam lajmëruar premtimin (dënimin),
029_00	Fjala Ime nuk ndryshohet dhe Unë nuk jam zullumqar i robërve të Mi”.
030_00	Në Ditën kur do ta pyesin xhehennemin: “A u mbushe?” e ai, përgjigjet: “A ka edhe më?”
031_00	E, xhenneti do t’u afrohet besimtarëve, jo larg.
032_00	Kjo ju është premtuar, çdokujt që është penduar dhe ruajtur (nga kalimi i kufirit),
033_00	i cili frikohet prej Perëndisë edhe atëhrë kur nuk e sheh kush dhe i cili vie me zemër të kthyer kah Perëndia”.
034_00	(U thuhet atyre): “Hyni në të (në xhennet), në qetësi (e mirësi), kjo është Dita e përhershme!”
035_00	Në të do të kenë çka të duan – e prej Nesh edhe më shumë.
036_00	E, sa gjenerata i kemi shkatërruar par tyre, duke qenë ata më të fortë (se Kurejshit) dhe ata bredhnin nëpër Tokë. – E, a kanë mund të gjejnë strehim?!
037_00	Me të vërtetë, për të gjitha këto ka këshillë për atë që ka mend ose që dëgjon, e që është i përqëndruar.
038_00	Ne, kemi krijuar qiejt dhe Tokën dhe çdo gjë që gjendet mes tyre për gjashtë ditë (periudha kohore), dhe nuk na përshkoi kurrëfarë lodhje.
039_00	Andaj, duroje atë që e thonë ata dhe madhëroje Zotin tënd, dhe falenderoje Atë para lindjes së diellit dhe para muzgut,
040_00	dhe madhëroje Atë në një pjesë të natës dhe pas kryerjes së namazit.
041_00	Dhe përgjoje ti! Ditën kur thërritësi (engjëlli) thërret prej vendit të afërt,
042_00	Ditën kur ata do ta dëgjojnë zërin e vërtetë, ajo do të jetë Dita e daljes (ringjalljes).
043_00	Na, me të vërtetë, japim gjallëri dhe japim vdekje dhe te Ne është kthimi!
044_00	E, në Ditën kur toka do të çahet e të dalin ata me nxitim; kjo është ringjallja, për Ne (kjo) është lehtë.
045_00	Na dimë mirë çka thonë ata; e ti nuk je ai që i shtrëngon ata (të besojnë), por këshilloje me Kur’an atë që i druan premtimit (dënimit) Tim!
