001_00	Ne, ta dhamë ty fitoren e qartë,
002_00	për t’i falur ty Perëndia gabimet e mëparshme dhe të ardhshme, për ta plotësuar dhuntinë e Vet ndaj teje dhe për të udhëzuar ty në rrugën e drejtë,
003_00	dhe që Perëndia të ndihmojë ty me ndihmë të madhe.
004_00	Ai është që sjell qetësi në zemrat e besimtarëve për t’ua forcuar (edhe më tepër) besimin, krahas besimit që
004_01	kanë – e, të Perëndisë janë ushtritë e qiejve dhe të Tokës; Perëndia është i Plotëdijshëm dhe i Gjithëdijshëm, -
005_00	për t’i shpie besimtarët dhe besimtaret në kopshtije nëpër të cilat rrjedhin lumenjtë, ku do të qëndrojnë
005_01	përherë, dhe që t’ju falë mëkatet e tyre – e kjo te Perëndia është fitore e madhe –
006_00	dhe që t’i ndëshkojë hipokritët dhe hipokritet, dhe idhujtarët e idhujtaret, që mendojnë keq për Perëndinë, - e vallja e fatkeqësisë le t’i godet ata!
006_01	Perëndia është pezmatuar në ta dhe i ka mallkuar ata dhe u ka përgatitur atyre, xhehennemin, e sa vend i shëmtuar që është ai!
007_00	Të perëndisë janë ushtritë e qiejve dhe të Tokës; Perëndia është i Plotëfuqishëm (për t’i dënuar) dhe i Gjithëdijshëm!
008_00	Ne, me të vërtetë, të kemi dërguar ty dëshmitar dhe sihariques e paralajmërues
009_00	për të besuar Perëndinë dhe Pejgamberin e Tij, dhe që të ndihmoni (dispozitat) e Tij, dhe ta madhëroni Ate dhe falenderoni Ate me namaz në mëngjes dhe mbrëmje.
010_00	Ata që të janë betuar ty në besim (pë të ndjekë rrugën tënde) – në të vërtetë, janë betuar në besim të Perëndisë – Dora (dhuntia) e Perëndisë është mbi duart e tyre!
010_01	Ai që e prishë betimin, e prishë në dëm të vetin, e nëse e plotëson betimin ndaj Perëndisë, Ai do t’i jep atij shpërblim të madh.
011_00	Do të të thonë ty arabët e shkretëtirës (beduinët), të cilët ngelën pas jush dhe nuk erdhën me ju: “Na angazhuan (preokupuan) neve pasuria jonë dhe familjet tona, e lutju (Perëndisë) të na falë neve!” Ata flasin me gjuhën e tyre, atë që nuk e kanë në zemrat e tyre.
011_01	Thuaju (atyre): “Kush mund ta pengojë Perëndinë ndaj jush, nëse Ai don t’ju godet juve me ndonjë dëm, ose nëse don t’ju bëjë ndonjë të mirë?!” Jo, Perëndia di atë që punoni ju.
012_00	Jo, por ju keni menduar se Pejgamberi dhe besimtarët nuk do të kthehen kurrë te familjet e tyre, kjo ju ka zbukuruar juve në zemrat tuaja dhe ju keni menduar në mënyrën më të shëmtuar, dhe jeni bërë popull që do të zhdukeni.
013_00	Kush nuk beson në Perëndinë dhe në Pejgambeirn e Tij, - Na kemi përgatitur për mohuesit zjarrin flakërues!
014_00	Të Perëndisë janë pushteti i qiejve dhe i Tokës. Ai falë kë të dojë; e dënon kë të dojë – Perëndia falë shumë dhe është mëshirues.
015_00	Do t’u thonë juve ata që ngelën pas jush (në luftë), kur të shkoni me marrë plaçkat e luftës: “Lejona edhe neve që t’ju pasojmë juve!” Ata do të donin ta ndërrojnë fjalën e Perëndisë (premtimin).
015_01	Thuaju: “Ju, kurrsesi nuk do të na pasoni, këtë e ka thënë Perëndia qysh më parë!” E ata do të thonë: “Nuk është ashtu, por, ju na keni zili neve”. Jo, nuk është as kjo, por ata pak kuptojnë.
016_00	Thuaju atyre beduinëve që ngelën pas jush (e nuk erdhën): “Do të thirreni ju në luftë kundër një populli luftarak, përderisa të mos përulet (ose të bëhet musliman).
016_01	E, nëse dëgjoni (thirrjen), Perëndia do t’u japë shpërblim të mirë, e nse shmangeni (refuzoni) ashtu siç jeni shmangur më parë, (Ai) do t’ju ndëshkojë me dënim të dhembshëm.
017_00	Nuk është mëkat për të verbëtin, as për të çalin as të sëmurin (që të mugnojë nga ekspedita luftarake), e kush i përulet Perëndisë
017_01	dhe Pejgamberit të Tij, Ai e shpie në xhenete, nëpër të cilat rrjedhin lumenjtë, e atë që shmanget, do ta ndëshkojë me dënim të dhembshëm.
