001_00	Me të vërtetë, shpëtuan besimtarët,
002_00	të cilët, në namazin e tyre janë të përulshëm,
003_00	dhe të cilët shmangen nga kotësitë,
004_00	dhe të cilët japin zeqatin,
005_00	dhe të cilët i ruajnë organet e veta gjenitale,
006_00	përpos (në martesë) me gratë e tyre ose me skllavëreshat e tyre, (për këto) ata nuk janë të qortuar.
007_00	E, kush kërkon (kënaqësi) përpos këtyre, të atillët – me të vërtetë, janë kundërvajtës.
008_00	(Të shpëtuar janë) edhe ata, që i ruajnë amanetet dhe obligimet (e marra përsipër),
009_00	dhe ata që e ruajnë namazin e tyre, (prej mungesave),
010_00	ata janë trashëgimtarë të denjë,
011_00	të cilët, do ta trashëgojnë (xhennetin) Firdeusin. Ata, do të banojnë përherë në të.
012_00	Me të vërtetë, Na e kemi krijuar njeriun praj baltës (thelbit të tokës),
013_00	e pastaj, si pikë – fare të vendosur në vend të sigurt
014_00	e mandej, pikën e farës e kemi bërë gjak (të droçkuar), e pastaj e kemi bërë copëz mishi; mandej, atë copëz mishi e kemi shndërruar në eshtra, e eshtrat i kemi veshur me mish dhe pastaj kemi krijuar krijesë tjetër.
014_01	Qoftë lartësuar Perëndia, krijuesi më i përsosur!
015_00	Mandej, pas kësaj ju do të vdisni,
016_00	pastaj, ju me të vërtetë, do të ringjalleni në Ditën e Kijametit.
017_00	Ne, kemi krijuar mbi ju shtatë qiej dhe Ne nuk jemi të pakujdesshëm, ndaj krijesave Tona;
018_00	Ne, lëshojmë shiun nga qielli me masë të caktuar. Pastaj, Ne e mbajmë në Tokë dhe Ne jemi të pushtetshëm ta ngrisim (ujin nga toka dhe ta shpërndajmë)
019_00	dhe me ndihmën e tij kemi bërë për ju kopshtije hurmesh dhe rrushi, në to ka shumë pemë për ju, që hani prej tyre –
020_00	(kemi krijuar) edhe drurin, që rritet në malin e Sinajit, i cili jep vaj dhe mëlmesë (erurinë), atyre që e hanë.
021_00	Dhe ju, në kafshët keni këshillë: Na ju japim të pini atë që gjendet në barqet e tyre, e për ju, në to, ka shumë dobi dhe nga ato ju hani,
022_00	dhe ju, me ato dhe me anije barteni.
023_00	Na e kemi dërguar Nuhun te populli i tij, dhe ai tha: “O populli im, adhuronie Perëndinë! Ju nuk keni zot tjetër përveç Tij, vallë, a nuk druani?”
024_00	Por, paria e popullit të tij, që nuk besonin, thanë: “Ky është vetëm njeri si ju e don vetëm të madhërohet mbi ju.
024_01	Sikur të kishte dashur Perëndia, do t’i dërgonte engjëjt; kështu diçka – nuk kemi dëgjuar nga të parët tanë të lashtë,
025_00	ai është njeri i marrë, e lëreni atë njëfarë kohe!”
026_00	(Nuhu) tha: “O Zoti im, më ndihmo, meqë ata më konsiderojnë për gënjeshtar!”
027_00	Dhe Ne, i shpallëm atij: “Ndërto anijen nën mbikëqyrjen dhe frymëzimin Tonë, e kur të vie urdhëri Ynë e vëlon furra (gufon uji), ngarko në anije prej çdo lloj gjallese – nga një palë
027_01	(një mashkull e një femër) dhe familjen tënde, përpos atyre që ka qenë fjala (për dënim), dhe mos M’u drejto, për ata që kanë bërë zullum, se ata, me të vërtetë, do të fundosen.
028_00	E, kur të vendosesh në barkë ti dhe ata që janë me ty, thuaj: “Falenderojmë Perëndinë, i cili na shpëtoi prej popullit zullumqarë”.
029_00	Dhe thuaj: “Zoti im, më lësho në vend të bekuar dhe Ti je më i miri, që jep vend (të bekuar).
030_00	Me të vërtetë, në këtë ka argumente dhe Ne, me të vërtetë, i vëmë në sprovë (njerëzit).
031_00	Na, pas tyre – krijuam gjeneratë tjetër,
