001_00	Tâ, Sín Mím.
002_00	Këto janë ajetet e Librit të qartë!
003_00	Na do të tregojmë ty disa lajme mbi Musain dhe Faraonin, ashtu siç ka qenë me të vërtetë, dhe këtë – për ata që besojnë.
004_00	Me të vërtetë, Faraoni është madhështuar në Tokë dhe banorët e tij i ka në grupacione (shtresa shoqërore); disa prej tyre i ka shtypur – ua mbyste fëmijët mashkuj, e femrat e tyre ua linte në jetë.
004_01	Ai, me të vërtetë, ka qenë ngatërrestar.
005_00	Na kemi dashur t’u bëjmë mirësi atyre që kanë qenë të shtypur në Tokë, e t’i bëjmë udhëheqës ata dhe t’i bëjmë trashëgimtar (të pushtetit të Faraonit),
006_00	dhe t’ua mundësojmë atyre vendosjen në Tokë dhe t’jua tregojmë Faraoit, Hamanit dhe ushtrisë së tyre mu atë prej së cilës frikësoheshin ata.
007_00	Dhe, Na, e kemi inspiruar nënën e Musait: “Jepi gji, e kur të frikësohesh (për jetën e tij) hudhe në det
007_01	(lumi Nil) dhe mos u frikëso (se do të mbytet), as mos u hidhëro; Na, me të vërtetë, do ta bëjmë Pejgamber”.
008_00	Dhe, familja e Faraonit, e përvetësoi ate, - e që një ditë – t’u bëhet armik dhe katastrofë e tyre. Me të vërtetë, Faraoni e Hamani dhe ushtria e tyre, kanë qenë mëkatarë.
009_00	Dhe gruaja e Faraonit tha: “Ky, do të jetë gëzimi im dhe i yti! Mos e mbytni, ndoshta do të na sjellë dobi, ose ta përvetësojmë për djalë”. E, ata, nuk e parandien përfundimin.
010_00	Dhe zemra e nënës së Musait mbeti e zbrazët (nga çdo gjë, pos kjtimit të djalit të saj). Dhe, gati që e zbuloi, sikur mos t’ia kishim forcuar Ne zemrën e saj, që të jetë njëra nga besimtaret (që beson, se premtimi i Perëndisë do të realizohet) –
011_00	Dhe, ajo i tha, motrës së atij: “Shko pas tij (fëmijës)!” dhe, ajo e vërejti anash (nga largësia), e ata nuk e hetonin.
012_00	E, Na ia kemi pasë ndaluar mëndeshat (gruaja që i jep gji fëmijës së huaj), Musait, e ajo (motra e Musait) tha: “A doni t’ju gjejë një familje, e cila do të kujdeset për të, duke ia dashur të mirën atij?”
013_00	Dhe, Na e kthyem atë – te nëna e vet, që të gëzohet e të mos pikëllohet, dhe që të dijë se premtimi i Perëndisë është i sigurtë, por, shumica e njerëzve nuk e dinë.
014_00	Dhe, kur ai – arriti moshën madhore dhe u zhvillua, Na i dhamë atij mençuri dhe dijeni. Kështu, Na i shpërblejmë bamirësit.
015_00	Dhe, Musai hyri në qytet, pa u hetuar nga banorët e tij – dhe në të, hasi dy njerëz që rriheshin.
015_01	Njëri ishte nga grupi i tij, e tjetri nga grupi i armikut.
015_02	E, i kërkoi ndihmë ai – i grupit të tij kundër atij të popullit armik. Dhe Musai i ra grusht atij dhe e mbyti (Musai) tha: “Kjo është punë e djallit! Ai, me të vërtetë, është armik – ngatërrestar i qartë!
016_00	(Musai) tha: “O Zoti im! Unë me të vërtetë, i kam bërë zullum vetvetes, andaj më fal!” – dhe Ai e fali. Me të vërtetë, Ai është falës e mëshirues.
017_00	(Musai) tha: “O Zoti im! Pasha të mirat që m’i ke dhuruar, unë nuk do të bëhem ndihmës i të këqinjëve!”
