001_00	Elif, Lám, Mîm.
002_00	Shpallja e këtij Libri, për të cilin s’ka dyshim – është nga Zoti i gjithësisë,
003_00	e ata thonë: “Ai (Muhammedi) e ka trilluar atë! Jo, ajo është e Vërteta nga Zoti yt – për ta paralajmëruar popullin, të cilit, para teje nuk i ka ardhur kurrfarë paralajmëruesi, që të shkojë në rrugë të drejtë.
004_00	Perëndia është Ai që ka krijuar qiejt dhe Tokën dhe çdo gjë që gjendet në mes tyre, për gjashtë ditë (periudha kohore), dhe e ka mbizotëruar Gjithësinë (Arshin).
004_01	Ju, nuk keni – pos Tij, ndihmës as ndërmjetësues; e vallë, a nuk po mendoni?
005_00	Ai i udhëheq të gjitha gjërat, prej qiellit deri në Tokë, e atëherë kthehen tek Ai në ditën, gjatësia e së cilës është një mijë vjet sipas llogaritjes suaj (në këtë Botë).
006_00	Ai është dijtës i gjërave të padukshme dhe të dukshme, i Plotëfuqishëm dhe Mëshirues,
007_00	i cili e ka bërë të mirë çdo gjë që ka krijuar dhe ka filluar krijimin e njeriut prej balte,
008_00	(e) pastaj, ka bërë që pasardhësit e tij të krijohen prej një rrjedhje të dobët të ujit (spermës),
009_00	pastaj, e ka krijuar atë (njeriun) dhe i ka dhënë gjallëri, me frymëzimin e Tij. Ai ju ka dhënë të dëgjuarit, të pamurit dhe të menduarit, - e sa pak prej jush që jeni mirënjohës.
010_00	Dhe ata thonë: “E, vallë, pasi të humbasim nën tokë, përsëri do të ngjallemi?” Dhe ata, nuk besojnë se do të takohen me Zotin e tyre.
011_00	Thuaju: “Do t’jua merr shpirtin engjëlli i vdekjes, i cili është caktuar për ju, e pastaj do të ktheheni te Zoti juaj”.
012_00	E, sikur t’i shohësh mëkatarët se si para Zotit të tyre kokëulur thonë: “O Zoti ynë, pamë dhe dëgjuam, andaj, kthena që të punojmë vepra të mira! Na, me të vërtetë, me ngulmëri besojmë!”
013_00	E, sikur Ne të donim, do t’ia jepnim çdo personi udhëzimin e tij, por kjo është fjala Ime e vërtetë: “Me të vërtetë, do ta mbush xhehennemin me xhindë dhe njerëz bashkërisht!”
014_00	E, shijoni (dënimin), ngase e keni harruar takimin e kësaj dite. Në të vërtetë, Ne ju kemi braktisur – dhe shijoni dënimin e përhershëm për atë që keni punuar.
015_00	Ajetet Tona i besojnë vetëm ata të cilët kur të këshillohen me to, bijnë në sexhde, dhe të cilët, e madhërojnë Zotin e tyre duke iu falenderuar Atij, dhe të cilët, nuk bëhen mendjemëdhenj.
016_00	Pjesët e trupit të tyre ngriten nga shtrati (për t’u falur); i luten Zotit të tyre duke druajtur dhe shpresuar, dhe japin (lëmoshë) nga ajo që u kemi dhënë Ne.
017_00	Askush nuk di se çfarë gëzime të fshehta janë për ta – shpërblimi për atë që kanë punuar.
018_00	Vallë! A është njësoj si besimtari si mëkatari? Jo, ata nuk janë të barabartë:
019_00	ata që kanë besuar dhe punuar vepra të mira, për ta janë kopshtet e xhennetit Meëva – të përgatitur për atë që kanë punuar;
020_00	e ata që kanë bërë keq, vendbanim i tyre është zjarri; sa herë që duan të dalin nga ai
020_01	(zjarri), do të kthehen në të dhe do t’u thuhet: “Shijoni dënimin e zjarrit, të cilin e keni përgënjeshtruar!”
021_00	Dhe Ne, do të bëjmë që të shijojnë dënimin e kësaj jete para (atij) dënimit të madh, për t’u penduar ata.
022_00	Kush është zullumqar më i madh se ai, që është këshilluar me argumentet e Zotit të tij, e shmanget prej tyre? Na, me të vërtetë, do t’i dënojmë mëkatarët!
023_00	Na, madje, ia kemi dhënë Librin Musait, dhe mos dysho në takimin me të, dhe e kemi bërë atë (Librin) udhërrëfyes për bijtë e Israelit.
024_00	Na, prej tyre – kemi bërë udhëheqës, të cilët udhëzonin me urdhërat Tona, meqë ishin të durueshëm dhe besonin bindshëm në argumentet Tona.
025_00	Me të vërtetë, Zoti yt, do t’i gjykojë në mes tyre Ditën e Kijametit, për atë që e kundërshtuan njëri-tjetrin.
026_00	(Vallë)! A nuk u është e qartë atyre se sa popuj i kemi shkatërruar Ne para tyre; nëpër shtëpiat e të cilëve ecin? Me të vërtetë, në këto ka argumente, e ata nuk po dëgjojnë (këshillat).
027_00	Vallë! A nuk shohin ata, që Ne, me të vërtetë e dërgojmë ujin në tokën e shkretëruar, e me të – nxjerrim të lashtat, me të cilat ushqehen shtazët e tyre dhe ata vetë, e ata madje nuk po shohin?!
028_00	Dhe, ata thonë: “E, kur më fitorja (Dita e Kijametit), nëse thoni të vërtetën?”
029_00	Thuaju (o Muhammed!): “Ditën e gjykimit, nuk do t’u bëjë dobi mohuesve besimi i tyre, e as që do t’u jepet afat”.
030_00	Andaj, ti shmangu nga ata dhe prit, edhe ata, me të vërtetë, po presin!
