001_00	Kâf, Hâ, Jâ, Ajín, Sád.
002_00	(Ky është) tregimi mbi mëshirën e Zotit tënd ndaj robit të Tij – Zekerijjas.
003_00	Kur ai e thirri (e luti) Zotin e vet me lutje të fshehtë
004_00	dhe tha: “O Zoti im, me të vërtetë, më janë dobësuar eshtrat, e koka më është zbardhur nga pleqëria. E, lutja ime Ty, nuk ka mbetë kurrë pa u pranuar.
005_00	I frikësohem të afërmve të mi – pas meje (ngase do të bëjnë keq), e bashkëshortja ime është sterile, andaj, më dhuro nga Ti – një të afërm (djalë),
006_00	që të më trashëgojë mua dhe familjen e Jakubit, dhe bënë Zoti im që të jesh i kënaqur me të!”
007_00	“O Zekerijja, Na, do të sihariqojmë ty me një djalë emri i të cilit është Jahja, të cilit, Ne më parë nuk i kemi bërë emnak”.
008_00	(Zekerijjai) tha: “O Zoti im, prej nga mua djali, kur bashkëshortja ime është sterile? Dhe, unë kam arritur pleqërinë e thellë?”
009_00	Tha: “Ashtu, ka thënë Zoti yt: “Kjo për Mua është lehtë. Unë të kam krijuar ty më parë, e ti nuk ke qenë fare”.
010_00	(Zekerijjai) tha: “O Zoti im, më jep ndonjë shenjë!” – (Perëndia) tha: “Shenjë do të jetë ajo që nuk do të mundesh të flasësh me njerëz tri netë (e tri ditë), duke qenë madje i shëndoshë”.
011_00	Dhe, ai doli nga faltorja në popullin e tij dhe u dha shenjë atyre: “Madhëronie (Perëndinë), në mëngjes dhe në mbrëmje!”
012_00	(Pasi që u lind Jahjai dhe u rrit, iu tha atij): “O Jahja, merre Librin me vendosmëri”. Dhe, Ne, ia kemi dhënë mençurinë (profetninë) duke qenë fëmijë,
013_00	dhe butësi prej Nesh dhe pastërti, dhe ishte besimtar,
014_00	dhe ishte bamirës ndaj prindërve të vet, e nuk ishte i ashpër dhe i padëgjueshëm.
015_00	Dhe, i qoftë selam (shpëtim) atij, në ditën që ka lindur, dhe në ditën që ka vdekur dhe në ditën që do të ringjallet.
