001_00	Hâ, Mîm.
002_00	Pasha Librin e qartë,
003_00	Na e kemi bërë (këtë libër) Kur’anin në gjuhën arabe, për ta kuptuar ju,
004_00	e ai (Kur’ani) është te Ne, në Librin kryesor (Levhi Mahfudh), i lartësuar dhe plotë dijeni.
005_00	Vallë, a të tërhiqemi Ne e të mos ju paralajmërojmë, ngase ju jeni popull ngatërrestar?
006_00	E, sa pejgamberë u dërguam Ne (popujve) të mëparshëm,
007_00	dhe nuk u ka ardhur atyre asnjë pejgamber e që të mos jenë tallur me te!
008_00	E, i kemi shkatërruar edhe ata që kanë qenë më të fuqishëm se këta (Mekkasit). Dhe më parë janë përmendur shembuj për popujt e lashtë.
009_00	Nëse ti i pyet ata: “Kush i ka krijuar qiejt dhe Tokën?” Ata me siguri do të thonë: “Ato i ka krijuar i Plotëfuqishmi dhe i Gjithëdijshmi,
010_00	Ai që iu ka bërë Tokën djep dhe u krijoi rrugë në të, për të arritur atje ku synoni.
011_00	Ai që prej qiellit lëshon ujë me masë, e që me të – Ne ngjallim tokën e vdekur. Kështu do të nxirreni edhe ju (prej varreve – të ringjallur);
012_00	Ai që krijoi çdo lloj krijese, dhe ka bërë anije e kafshë që t’i shaloni,
013_00	t’i shaloni ato, e pastaj t’i kujtoni dhuntitë e Zotit tuaj (kur të shaloni në to) dhe të thoni: “Qoftë lavdëruar Ai që i nënshtroi këto për ne, se, na këto, vetë nuk do të mund t’i arrinim –
014_00	dhe ne, me siguri, do të kthehemi te Zoti ynë!”
015_00	E, ata i kanë përshkruar Atij pjesë prej robërve të Tij. Me të vërtetë, njeriu është mohues i hapët.
016_00	Vallë, a ng ato që krijon Ai, të marrë për Vete vajza, e ju t’ju dhorojë djem?
017_00	E, kur dikush nga ata sihariqohet me atë që i përshkruan Mëshiruesit – si ai (fëmijë – vajzë), i nxihet fytyra dhe bëhet i dëshpëruar.
018_00	Vallë, (Perëndisë i përshkruajnë) atë që rritet në stoli (vajza), e të cilat janë të pafuqishme për polemika?
019_00	Ata, engjëjt – të cilët janë robërit e Zotit, i konsiderojnë për femra. A mos vallë ata kanë qenë prezent gjatë krijimit të tyre?! Dëshmia e tyre do të shënohet dhe ata do të përgjigjen (për këtë shpifje)!
020_00	Dhe, ata thonë: “Sikur të kishte dashur Mëshiruesi, na nuk do t’i kishim adhuruar ata. Ata nuk dinë asgjë për këtë (çka flasin), ata vetëm gënjejnë.
021_00	Vallë, a u kemi dhënë Ne atyre Libër para tij (Kur’anit), e ata i janë përmbajtur atij?!
022_00	Jo, por ata thonë: “Na, me të vërtetë, i kemi gjetur etërit tanë në një rrugë – dhe, ne sigurisht udhëzohemi edhe nga gjurmët e tyre”.
023_00	Po ashtu, Ne në asnjë vend nuk kemi dërguar asnjë paralajmërues, para teje – e që pasanikët e korruptuar të mos thonin: “Na i kemi gjetur, me të vërtetë, etërit tanë në një rrugë, dhe me siguri, po ndjekim edhe ne gjurmët e tyre”.
024_00	(Ai atyre) u tha: “Vallë, a nuk ju kam sjellë unë atë që më mirë e shënon rrugën e drejtë nga ajo që i keni gjetur te të parët tuaj (etërit)?” E, ata thanë: “Na, me të vërtetë, jemi mohues të asaj me të cilën jeni dërguar!”
025_00	Ne jemi hakmarrë (me dënim të merituar) ndaj atyre, e shiko pra, si ka qenë përfundimi i atyre që i konsideronin gënjeshtarë (pejgamberët).
026_00	(Kujtoje ti o Muhammed!) kur Ibrahimi i tha të atit dhe popullit të tij: “Unë jam larg atyre që i adhuroni ju,
027_00	pos Atij, që më ka krijuar (mua) – dhe, me të vërtetë, Ai më udhëzon në rrugën e drejtë”,
028_00	dhe ai (Ibrahimi), e bëri këtë fjalë të përhershme te pasardhësit e tij, për t’u kthyer ata vazhdimisht në të Vërtetën.
029_00	Por Unë këta dhe etërit e tyre, i kam lënë në kënaqësi, përderisa u erdhi e Vërteta (Kur’ani) dhe Pejgamberi i qartë (me argumente),
030_00	e, tani, kur ju erdhi e Vërteta (Kur’ani), thanë: “Kjo është magji dhe na këtë nuk e besojmë!”
031_00	Dhe thanë (edhe këtë): “Sikur t’i kishte zbritur ky Kur’an ndonjë njeriu autoritativ prej njërit nga këto dy qytete (Mekkës dhe Taifës).
032_00	Vallë, a mos e ndajnë ata mëshirën e Perëndisë (profetninë)?
032_01	Na, furnizimin e kësaj jete e kemi ndarë, në mes tyre dhe i ngritëm disa mbi të tjerët me shkallë (për nga pozita dhe malli), që disa t’u shërbejnë të tjerëve, e mëshira e Perëndisë është më e mirë nga ajo që grumbullojnë ata.
033_00	Dhe, sikur të mos bëheshin të gjithë njerëzit mohues, Ne do t’i bënim prej argjendtit kulmet e shtëpive të atyre që nuk besojnë në Mëshiruesin, e madje edhe shkallët nëpër të cilat ngjiten,
034_00	edhe dyert e shtëpive të tyre edhe kanapet (fotelet) në të cilat mbështeten,
035_00	dhe stoli të llojllojshme, se, të gjitha këto janë vetëm kënaqësi të kësaj jete, e jeta tjetër te Zoti yt është për ata që ruhen (kundërshtimit të Perëndisë).
036_00	Kush shmanget nga Këshilla (Kur’ani) e Mëshiruesit të Githëmbarshëm, Na do t’ia ngarkojmë djallin dhe ai do t’i bëhet shok atij.
037_00	Edhe, ata (djajtë), me të vërtetë, i shmangin ata nga rruga e drejtë, e ata (të mashtruarit) mendojnë se janë në rrugë të drejtë.
038_00	Dhe, kur të vijnë te Ne, do të thonë (të mashtruarit): “Ah! sikur të kishte qenë largësia në mes meje dhe teje (djallit) sa mes lindjes dhe perëndimit! Sa shok i keq ke qenë ti!”
039_00	Dhe, nuk do t’u bënë dobi juve sot (Ditën e Kijametit), meqë keni bërë zullum, me të vërtetë ju jeni shokë në dënim.
040_00	Vallë, a mos ti do të bësh të dëgjojnë të shurdhërit dhe t’i udhëzosh të verbërit dhe ata që janë në humbje të qartë?
041_00	Nëse të largojmë ty (para se ta shohësh dënimin e tyre), Na, me siguri do t’i dënojmë ata,
042_00	ose, nëse dëshirojmë të të tregojmë atë çka u premtojmë – atyre, po Ne, me të vërtetë, jemi të Plotëfuqishëm mbi ta.
043_00	Andaj, përmbaju asaj ë të është shpallë ty, sepse, ti, me të vërtetë, je në rrugën e drejtë.
044_00	Kur’ani me të vërtetë, është nderë për ty dhe popullin tënd; e ju do të pyeteni!
045_00	Pyeti pejgamberët Tanë, të cilët i kemi dërguar para teje, a mos kemi urdhëruar Ne që të adhurohen zotëra (tjerë), pos Mëshiruesit të Gjithmbarshëm?!
046_00	Na, me të vërtetë, ia kemi dërguar Musain me argumentet Tona – Faraonit dhe parisë së tij, dhe, ai (u) tha: “Unë jam, me të vërtetë, pejgamber i Zotit të gjithësisë!”
047_00	E, kur ai, u solli atyre argumentet Tona, ata filluan t’i përqeshin ato.
048_00	Dhe, Ne, nuk u kemi treguar atyre asnjë argument, e që ai të mos jetë më i madh se tjetri, dhe Ne i kemi dënuar ata me ndëshkim, për t’u kthyer (në të drejtë).
049_00	Ata i thanë (Musait): “O magjistar! Lutju Zotit tënd për ne, ashtu si të ka premtuar Ai ty; na, me siguri, do të shkojmë rrugës së drejtë (do të besojmë)!”
050_00	E, posa i liruam prej vuajtjeve, ata e shkelën premtimin.
051_00	Dhe, Faraoni nisi të thërrasë popullin e vet: “O populli im! Vallë, a nuk më përket mua sundimi i Misirit (Egjiptit) dhe këto degë të lumit që po rrjedhin pranë meje; a nuk shihni?
052_00	E, vallë, a nuk jam unë më i mirë se ky i mjerë (i gjorë) dhe i cili mezi mund të shprehet?
053_00	Sikur t’iu kishin vënë atij bylyzykët e florinjtë, ose sikur të kishin ardhur bashkë me të (pranë) engjëjt?”
054_00	Dhe, ai e mashtroi popullin e vet, e iu nënshtruan atij; ata, me të vërtetë, ishin popull ngatërrestar.
055_00	E kur Na zemruan, Na i dëbuam ata dhe i fundosëm të gjithë,
