001_00	Elif Lám Mim.
002_00	Perëndia është (një), s’ka zot tjetër përveç Tij, (i Cili) jeton përgjithmonë dhe zotëron (mbi të gjitha krijesat).
003_00	Ai ta ka shpallur Librin ty, të vërtetën e saktë duke vërtetuar ato të mëparshmet. Ai e ka zbritur Teuratin dhe Ungjillin. –
004_00	më parë udhërrëfyes për njerëzit, dhe ka zbritur Furkanin, që dallon të vërtetën nga e pavërteta. Ata që nuk besojnë versetet e Perëndisë, i pret dënimi i ashpër, se Perëndia është dënues i Plotëfuqishëm.
005_00	Pa dyshim, Perëndisë nuk i mbetet asgjë sekrete, as në Tokë as në qiell!
006_00	Ai ju formon juve në mitër ashtu si don Ai; s’ka zot tjetër përveç Tij, të Plotëfuqishëm dhe të Gjithëdijshëm!
007_00	Ai ta ka shpallur Librin ty (Kur’anin). Disa nga versetet janë të qarta, me kuptim konkret e të hapët sheshazi, ato janë themelet e Librit, e për disa të tjera nevojitet komepntimi (pasi që me pak fjalë shprehen shumë kuptime të thella).
007_01	Ata, që janë zemërkëqinj – priren kah shpjegimi i atyre që janë më pak të qarta, duke krijuar pështjellim dhe duke komentuar sipas dëshirës së vet. Por, komentimin e tyre e di vetëm Perëndia.
007_02	E, ata që janë thelluar në dijeni thonë: “Na i besojmë (Kur’anit). Të gjitha këto janë nga Zoti ynë!” Këtë e kuptojnë vetëm mendarët.
008_00	Zoti ynë! Mos na i shmang zemrat tona, pasi që na i ke udhëzuar në rrugën e drejtë, dhe epna nga mëshira Juaj; Ti, me të vërtetë je Ai që dhuron shumë!
009_00	Zoti ynë! Ti je tubues i njerëzve në ditën që nuk ka farë dyshimi. Me të vërtetë, Perëndia e realizon premtimin.
010_00	Me të vërtetë atyre që nuk besojnë, nuk do t’i shpëtojë asgjë nga dënimi i Perëndisë, - as pasuria as fëmijët e tyre. Ata do të jenë lëndë djegëse e zjarrit,
011_00	do të jenë ashtu siç ishin shoqëruesit (ithtarët) e Faraonit dhe ata që ishin para tyre. Ata i përgënjeshtruan versetet tona; prandaj, Perëndia i përlau ata për mëkatet që bënë. Se Perëndia është ndëshkues i rreptë.
012_00	Thuaj (o Muhammed!) atyre që mohuan: “Ju do të shtypeni dhe do të tuboheni në skëterrë. E, sa shtrat i keq është ai vend!
013_00	Ju keni shembullin në dy ushtritë që ishin në konflikt: njëra që luftoi në rrugën e Perëndisë, dhe tjetra – e mohuesve, së cilës i dukej se para vetes ka dy herë më shumë kundërshtarë.
013_01	Se Perëndia me ndihmën e vet e forcon kend të dojë. Kjo, me të vërtetë, është këshillë për largpamësit.
014_00	U hijeshua për njerëzit lakmia ndaj grave, fëmijëve, arit dhe argjendit të grumtulluar, kuajve të bukur, bagëtive dhe të lashtave.
014_01	Këto janë kënaqësitë e kësaj jete; por vendi më i bukur i kthimit është te Perëndia.
015_00	Thuaj (o Muhammed!): “A doni t’ju lajmëroj juve për gjëra më të mira se ato?
015_01	Ata që ruhen nga mëkatet, te Zoti i tyre do të kenë kopshte, nëpër të cilat rrjedhin lumenjt, në to do të banojnë përgjithmonë, e bashkëshorte të pastra dhe kënaqësi nga Perëndia”.
015_02	Se Perëndia i njeh mirë robërit e vet!
016_00	të cilët thonë: “Zoti ynë! Me të vërtetë na kemi besuar, andaj na fal mëkatet tona dhe na ruaj nga dënimi i zjarrit!”
017_00	ata janë durimtarët, dashamirë të së vërtetës, përulësit e Perëndisë, ata që japin lëmoshë dhe që kërkojnë faljen e mëkateve para agimit.
