001_00	塔辛，米目，
002_00	这些是明白的经典中的节文。
003_00	因为他们不信道，你或许气得的要死。
004_00	如果我意欲，我将从天上降示他们一个迹象，他们就为它而俯首贴耳。
005_00	每逢有新的记念从至仁主降示他们，他们都背弃它。
006_00	他们确已否认真理，他们所嘲笑的事的结局，将降临他们。
007_00	难道他们没有观察大地吗？我使各种优良的植物在大地上繁衍。
008_00	此中确有一种迹象，但他们大半是不信道的。
009_00	你的主确是万能的，确是至慈的。
010_00	当日，你的主召唤穆萨（说）：你去教化那不义的民众。
011_00	即法老的民众。他们怎么不敬畏真主呢？
012_00	他说：我的主啊！我的确怕他们否认我，
013_00	以至我烦闷口吃，所以求你派遣哈伦（一道去）。
014_00	他们曾加罪于我，我怕他们杀害我。
015_00	主说：绝不如此，你俩带着我的迹象去吧！我确是与你们在一起倾听（你们辩论）的。
016_00	你俩到法老那里去说：'我们确是全世界的主的使者，
017_00	请你释放色列的后裔，让我俩带他们去。'
018_00	法老说：难道我们没有在我们的家中把你自幼抚养成人，而且你在我们家中逗留过许多年吗？
019_00	你曾干了你所干的那件事，你是忘恩的。
020_00	他说：当日，我不懂事地干了那件事。
021_00	我就畏惧你们，而逃避你们，随后，我的主把智慧赏赐我，并且派我为使者，
022_00	你责备我忘恩，你所谓的恩是你曾奴役以色列的后裔。
023_00	法老说：全世界的主是什么？
024_00	他说：他是天地万物的主，如果你们是确信者。
025_00	法老对他左右的人说：你们怎么不倾听呢？
026_00	他说：（他是）你们的主，也是你们祖先的主。
027_00	法老说：奉命来教化你们的这位使者，确是一个疯子。
028_00	他说：（他是）东方和西方，以及介乎东西方之间的主，如果你们能了解。
029_00	法老说：如果你舍我而敬事别的神灵，我誓必使你变成一个囚犯。
030_00	他说：要是我昭示你一个明证呢？
031_00	法老说：如果你是说实话的，你就昭示一个明证吧！
032_00	他就扔下他的手杖，那条手杖忽然变成一条蟒；
033_00	他把他的手抽出来，那只手在观众的眼前忽然显得白亮亮的。
034_00	法老对他左右的贵族们说：这确是一个高明的术士，
035_00	他想凭他的魔术，把你们逐出国境，你们有什么建议呢？
036_00	他们说：请你宽限他和他哥哥，并派征募员到各城市去，
037_00	他们会把所有高明的术士都召到你这里来。
038_00	一般术士们在指定的日期，依指定的时间被集合起来。
039_00	有人对民众说：你们集合起来了吗？
040_00	如果术士们得胜，我们或许顺从他们。
041_00	术士们到来的时候，他们对法老说：如果我们得胜，我们必受报酬吗？
042_00	他说：是的，在那时，你们必蒙宠幸。
043_00	穆萨对他们说：你们可以抛下你们所要抛的东西。
044_00	他们就抛下了他们的绳和杖，他们说：指法老的权力发誓，我们必然得胜。
045_00	穆萨就扔下他的手杖，那条手杖忽然吞下了他们所幻化的（大蛇）。
046_00	术士们就拜倒下去。
047_00	他们说：我们已信仰全世界的主--
048_00	穆萨和哈伦的主。
049_00	法老说：我还没有允许你们，你们就信仰他们了吗？他必是你们的头目，他传授你们的
049_01	魔术，你们不久就知道，我必交互着砍你们的手和脚，我必将你们全体钉在十字架上。
050_00	他们说：那也没什么，我们将归于我们的主。
051_00	我们的确渴望我们的主赦宥我们的过失，因为我们是首先归信的。
052_00	我曾启示穆萨（说）：你在夜间率领我的众仆而旅行，你们确是被追赶的。
053_00	法老派遣征募者到各城市去。
054_00	他说：这些人确是一小撮人。
055_00	他们确是激怒了我，
056_00	我们确是谨慎的团体。
057_00	我就使他们离开许多园圃和源泉，
058_00	财宝和高贵的住所。
059_00	（事情）是象那样的。我使以色列的后裔继承它。
060_00	敌人在日出时赶上他们。
061_00	当两军相望的时候，穆萨的同伙们说：我们势必要被敌人追上。
062_00	他说：决不会的！我的主同我在一起，他将引导我。
063_00	我启示穆萨说：你应当用你的手杖击海。海就裂开，每一部分，象一座大山。
064_00	在那里，我让那些人逼近（他们）。
065_00	我拯救穆萨和他的全体伙伴。
066_00	然后，淹死了其余的人。
067_00	此中确有一种迹象，但他们大半不是信道者。
068_00	你的主确是万能的，确是至慈的。
069_00	你应当对他们宣读易卜拉欣的故事。
070_00	当日，他对他的父亲和宗族说：你们崇拜什么？
071_00	他们说：我们崇拜偶像，我们一直是虔诚的。
072_00	他说：你们祈祷的时候，他们能听见吗？
073_00	他们能降福于你们或降祸于你们吗？
074_00	他们说：不然，我们曾发现我们的祖先是那样做的。
075_00	他说：你们告诉我吧！你们所崇拜的是什么？
076_00	你们最古的祖先崇拜的是什么？
077_00	他们确是我的仇敌，惟全世界的主则不然。
078_00	他是创造我，然后引导我的。
