001_00	Demi langit yang mempunyai tempat-tempat peredaran bintang-bintang;
002_00	Dan hari (pembalasan) yang dijanjikan;
003_00	Dan makhluk-makhluk yang hadir menyaksikan hari itu, serta segala keadaan yang disaksikan; -
004_00	Celakalah kaum yang menggali parit,
005_00	(Parit) api yang penuh dengan bahan bakaran,
006_00	(Mereka dilaknat) ketika mereka duduk di kelilingnya,
007_00	Sambil mereka melihat apa yang mereka lakukan kepada orang-orang yang beriman.
008_00	Dan mereka tidak marah dan menyeksakan orang-orang yang beriman itu melainkan kerana orang-orang itu beriman kepada Allah Yang Maha Kuasa, lagi Maha Terpuji!
009_00	Tuhan yang menguasai segala alam langit dan bumi. Dan (ingatlah), Allah sentiasa menyaksikan tiap-tiap sesuatu.
010_00	Sesungguhnya orang-orang yang menimpakan bencana untuk memesongkan orang-orang lelaki yang beriman dan orang-orang perempuan yang beriman, kemudian mereka tidak bertaubat, maka mereka akan beroleh azab neraka Jahannam (kerana perbuatan buruk itu), dan mereka akan beroleh lagi azab api yang kuat membakar (kerana mereka tidak bertaubat).
011_00	Sesungguhnya orang-orang yang beriman dan beramal soleh, mereka akan beroleh Syurga yang mengalir di bawahnya beberapa sungai; yang demikian itu ialah kemenangan yang besar.
012_00	Sesungguhnya azab Tuhanmu (terhadap orang-orang yang kufur ingkar) amatlah berat.
013_00	Sesungguhnya Dia lah yang menciptakan (sekalian makhluk) pada mulanya, dan yang mengembalikannya (hidup semula sesudah mati).
014_00	Dan Dia lah yang Maha Pengampun, lagi Maha Pengasih.
015_00	Tuhan yang mempunyai Arasy yang tinggi kemuliaannya,
016_00	Yang berkuasa melakukan segala yang dikehendakinya.
017_00	Sudahkah sampai kepadamu (wahai Muhammad) perihal (kebinasaan yang telah menimpa) kaum-kaum yang menentang (Rasul-rasul yang diutuskan kepada mereka)?
018_00	(Mereka itu ialah kaum) Firaun, dan Thamud (kaum Nabi Soleh).
019_00	(Kaummu wahai Muhammad, bukan sahaja menolak ajaranmu), bahkan orang-orang yang kafir itu terus tenggelam dalam keadaan mendustakan kebenaran;
020_00	Sedang Allah, dari belakang mereka, melingkungi mereka (dengan kekuasaanNya)!
021_00	(Sebenarnya apa yang engkau sampaikan kepada mereka bukanlah syair atau sihir), bahkan ialah Al-Quran yang tertinggi kemuliaannya;
022_00	(Lagi yang terpelihara dengan sebaik-baiknya) pada Lauh Mahfuz.
