001_00	Wahai orang yang berselimut!
002_00	Bangunlah serta berilah peringatan dan amaran (kepada umat manusia).
003_00	Dan Tuhanmu, maka ucaplah dan ingatlah kebesaranNya!
004_00	Dan pakaianmu, maka hendaklah engkau bersihkan.
005_00	Dan segala kejahatan, maka hendaklah engkau jauhi.
006_00	Dan janganlah engkau memberi (sesuatu, dengan tujuan hendak) mendapat lebih banyak daripadanya.
007_00	Dan bagi (menjalankan perintah) Tuhanmu, maka hendaklah engkau bersabar (terhadap tentangan musuh)!
008_00	Kerana apabila telah ditiup sangkakala,
009_00	Maka saat yang demikian adalah saat (berlakunya) hari yang sukar -
010_00	Kepada orang-orang kafir, lagi tidak mudah (mengelak azabnya).
011_00	(Jangan engkau bimbang wahai Muhammad) biarkanlah Aku sahaja membalas orang (yang menentangmu) yang Aku ciptakan dia (dalam keadaan) seorang diri (tidak berharta dan anak pinak),
012_00	Dan Aku jadikan baginya harta kekayaan yang banyak,
013_00	Serta anak pinak (yang ramai), yang sentiasa ada di sisinya.
014_00	Dan Aku mudahkan baginya (mendapat kekayaan dan kekuasaan) dengan semudah-mudahnya.
015_00	Kemudian ia ingin sangat, supaya Aku tambahi lagi;
016_00	Tidak sekali-kali (akan ditambahi) ! Kerana sesungguhnya dia menentang dengan degilnya akan ayat-ayat Kami (Al-Quran, yang disampaikan oleh Rasul Kami).
017_00	Aku akan menyeksanya (dengan azab) yang memuncak beratnya.
018_00	Kerana sesungguhnya ia telah memikirkan dan mereka-reka berbagai tuduhan terhadap Al-Quran) -
019_00	Maka binasalah dia hendaknya! Bagaimanakah dia berani mereka-reka (yang demikian)?
020_00	Sekali lagi: binasalah dia hendaknya! Bagaimana ia berani mereka-reka (tuduhan-tuduhan itu)?
021_00	Kemudian ia merenung dan memikirkan (berkali-kali: jalan-jalan mencaci Al-Quran, tetapi ia gagal);
022_00	Setelah itu ia memasamkan mukanya serta ia bertambah masam berkerut;
023_00	Kemudian ia berpaling (dari kebenaran) dan berlaku sombong angkuh,
024_00	Serta ia berkata: " (Al-Quran) ini tidak lain hanyalah sihir yang dituntut serta dipelajari (dari ahli-ahlinya);
025_00	"Ini tidak lain hanyalah kata-kata (rekaan) manusia!"
026_00	(Disebabkan kekufurannya itu) Aku akan masukkan dia ke dalam neraka Saqar.
027_00	Dan apa jalannya engkau dapat mengetahui kedahsyatan neraka Saqar itu?
028_00	Ia membakar mangsanya dengan tidak meninggalkan sisa, dan tidak membiarkannya (binasa terus)
029_00	Ia terus-menerus membakar kulit manusia!
030_00	Pengawal dan penjaganya adalah sembilan belas (malaikat).
031_00	Dan (ketahuilah bahawa hikmat) Kami tidak menjadikan pengawal-pengawal neraka itu melainkan (dari kalangan) malaikat, (kerana merekalah sekuat-kuat dan sebenar-benar makhluk yang menjalankan perintah Kami); dan (hikmat) Kami tidak menerangkan bilangan mereka melainkan dengan satu bilangan yang menyebabkan kesesatan
031_01	dan kesengsaraan orang-orang kafir itu, supaya orang-orang yang diberi Kitab (Yahudi dan Nasrani) boleh percaya dengan yakin (akan kebenaran Al-Quran), dan supaya orang-orang yang beriman bertambah imannya; dan juga supaya orang-orang yang diberi Kitab dan orang-orang yang beriman
031_02	itu tidak ragu-ragu (tentang kebenaran keterangan itu); dan (sebaliknya) supaya orang-orang (munafik) yang ada penyakit (ragu-ragu) dalam hatinya dan orang-orang kafir berkata: "Apakah yang di maksudkan oleh Allah dengan menyebutkan bilangan ganjil ini?" Demikianlah Allah menyesatkan sesiapa yang
031_03	dikehendakiNya (menurut undang-undang peraturanNya), dan memberi hidayah petunjuk kepada sesiapa yang dikehendakiNya (menurut undang-undang peraturanNya); dan tiada yang mengetahui tentera Tuhanmu melainkan Dia lah sahaja. Dan (ingatlah, segala yang diterangkan berkenaan dengan) neraka itu tidak lain hanyalah menjadi peringatan bagi manusia.
032_00	Sebenarnya! Demi bulan,
033_00	Dan malam apabila ia balik melenyapkan diri,
034_00	Dan waktu subuh apabila ia terang-benderang,
035_00	Sesungguhnya neraka Saqar itu adalah salah satu (malapetaka) yang amat besar,
036_00	Yang menjadi amaran bagi umat manusia,
037_00	(Iaitu) bagi sesiapa di antara kamu yang mahu maju (dalam mengerjakan kebaikan) atau yang mahu mundur (daripada mengerjakannya).
038_00	Tiap-tiap diri terikat, tidak terlepas daripada (balasan buruk bagi amal jahat) yang dikerjakannya,
039_00	Kecuali puak Kanan,
040_00	(Mereka ditempatkan) di dalam Syurga (yang penuh nikmat), mereka bertanya-tanya,
041_00	Tentang (tempat tinggal) orang-orang yang bersalah,
042_00	(Setelah melihat orang-orang yang bersalah itu, mereka berkata): "Apakah yang menyebabkan kamu masuk ke dalam (neraka) Saqar?"
043_00	Orang-orang yang bersalah itu menjawab: "Kami tidak termasuk dalam kumpulan orang-orang yang mengerjakan sembahyang;
044_00	"Dan kami tidak pernah memberi makan orang-orang miskin;
045_00	"Dan kami dahulu selalu mengambil bahagian memperkatakan perkara yang salah, bersama-sama orang-orang yang memperkatakannya;
046_00	"Dan kami sentiasa mendustakan hari pembalasan,
047_00	"Sehinggalah kami didatangi oleh perkara yang tetap diyakini".
048_00	Maka tidak akan berguna kepada mereka sebarang syafaat pertolongan (kalaulah ditakdirkan ada) sesiapa yang boleh memberikan syafaat itu.
049_00	(Kalau demikianlah halnya orang-orang yang bersalah), maka mengapa mereka berpaling lari dari peringatan (Al-Quran) ?
050_00	Seolah-olah mereka sekawan keldai liar yang lari,
051_00	Melarikan diri (ketakutan) dari singa!
052_00	(Mereka tidak merasa cukup dengan peringatan itu) bahkan tiap-tiap seorang di antaranya mahu supaya diberi kepadanya lembaran surat yang terbuka (yang diturunkan dari langit untuk dibaca oleh mereka sendiri).
053_00	Sebenarnya! (Bukan kerana kemahuan mereka tidak berhasil), bahkan mereka (tidak percaya dan) tidak takut akan hari akhirat.
054_00	Ketahuilah! Sesungguhnya Al-Quran itu adalah satu peringatan (yang sangat besar pengajarannya);
055_00	Oleh itu sesiapa yang mahu (beringat) dapatlah ia mengambil peringatan daripadanya.
056_00	Dan (dalam pada itu) tiadalah mereka dapat beringat melainkan jika dikehendaki Allah; Dia lah Tuhan yang berhak dipatuhi perintahNya, dan Dia lah jua yang berhak memberi keampunan (kepada orang-orang yang beriman dan taat).
