001_00	Demi (hamba-hambaKu) yang berbaris dengan berderet-deret -
002_00	(Hamba-hambaKu) yang melarang (dari kejahatan) dengan sesungguh-sungguhnya -
003_00	(Hamba-hambaKu) yang membaca kandungan Kitab Suci;
004_00	(Sumpah demi sumpah) sesungguhnya Tuhan kamu hanyalah Satu -
005_00	Tuhan (yang mencipta serta mentadbirkan) langit dan bumi dan segala yang ada di antara keduanya, dan Tuhan (yang mengatur) tempat-tempat terbit matahari.
006_00	Sesungguhnya Kami telah menghiasi langit yang dekat (pada penglihatan penduduk bumi) dengan hiasan bintang-bintang.
007_00	Dan (Kami pelihara urusan langit itu) dengan serapi-rapi kawalan dari (masuk campur) tiap-tiap Syaitan yang derhaka;
008_00	(Dengan itu) mereka tidak dapat memasang telinga mendengar (percakapan malaikat) penduduk langit, dan mereka pula direjam (dengan api) dari segala arah dan penjuru,
009_00	Untuk mengusir mereka; dan mereka pula beroleh azab seksa yang tidak putus-putus.
010_00	Kecuali sesiapa di antara Syaitan-syaitan itu yang curi mendengar mana-mana percakapan (malaikat), maka ia diburu dan diikuti (dengan rejaman) api yang menjulang lagi menembusi.
011_00	(Setelah nyata kekuasaan Kami) maka bertanyalah (wahai Muhammad) kepada mereka (yang ingkarkan hidupnya semula orang-orang mati): Adakah diri mereka lebih sukar hendak diciptakan, atau makhluk-makhluk lain yang Kami telah ciptakan? Sesungguhnya Kami telah mencipta mereka dari tanah liat (yang senang diubah dan diciptakan semula).
012_00	(Pertanyaan itu tidak juga berfaedah kepada mereka) bahkan engkau merasa hairan (terhadap keingkaran mereka), dan sebaliknya mereka mengejek-ejek (peneranganmu).
013_00	Dan apabila diperingatkan, mereka tetap tidak mahu menerima peringatan itu.
014_00	Dan apabila mereka melihat sesuatu tanda (yang membuktikan kekuasaan Kami dan kebenaranmu), mereka mencari-cari jalan memperolok-olokkannya, -
015_00	Serta mereka berkata: "Ini tidak lain hanyalah sihir yang nyata.
016_00	"Adakah sesudah kita mati serta menjadi tanah dan tulang, adakah kita akan dibangkitkan hidup semula?
017_00	"Dan adakah juga datuk nenek kita yang telah lalu (akan dibangkitkan hidup semula)?"
018_00	Jawablah (wahai Muhammad): "Ya, benar !(Kamu semua akan dibangkitkan) dengan keadaan hina-dina ".
019_00	(Kebangkitan ini mudah) kerana sesungguhnya ia boleh berlaku hanyalah dengan suara sahaja, maka dengan serta mereka semuanya (bangkit) melihat (apa yang akan jadi).
020_00	Dan (pada saat itu) mereka berkata:" Wahai celakanya kami, ini ialah hari balasan!"
021_00	(Lalu malaikat berkata kepada mereka): " Ini ialah hari memutuskan hukum untuk memberi balasan yang dahulu kamu mendustakannya ".
022_00	(Allah berfirman kepada malaikat):" Himpunkanlah orang-orang yang zalim itu, dan orang-orang yang berkeadaan seperti mereka, serta benda-benda yang mereka sembah -
023_00	"Yang lain dari Allah serta hadapkanlah mereka ke jalan yang membawa ke neraka.
024_00	"Dan hentikanlah mereka (menunggu), kerana sesungguhnya mereka akan disoal:
025_00	"Mengapa kamu tidak bertolong-tolongan (sebagaimana yang kamu dakwakan dahulu?"
026_00	(Mereka pada ketika itu tidak dapat berbuat apa-apa) bahkan mereka pada hari itu menyerah diri dengan hina (untuk diadili);
027_00	Dan masing-masing pun mengadap satu sama lain, sambil kata mengata dan cela mencela.
028_00	Pengikut-pengikut berkata (kepada ketuanya):" Sesungguhnya kamu dahulu selalu datang menyekat kami (daripada beriman) dengan menggunakan kuasa kamu".
029_00	Ketua-ketuanya menjawab: " (Tidak!) Bahkan kamulah sendiri tidak mahu menjadi orang-orang yang beriman!
030_00	"Dan kami (selain daripada mengajak kamu (tidak mempunyai sebarang kuasa memerintah kamu, bahkan kamu sememangnya kaum yang melampaui batas.
031_00	(Dengan keadaan diri kita yang sedemikian) maka tetaplah di atas kita janji seksa (yang dijanjikan) oleh Tuhan kita, bahawa kita semua tentu akan merasai (azab itu).
032_00	"(Dengan sebab ketentuan yang tersebut) maka kami pun mengajak kamu menjadi sesat, kerana sebenarnya kami adalah orang-orang sesat"
033_00	Maka sesungguhnya mereka semua pada hari itu, menderita azab bersama.
034_00	Sesungguhnya demikianlah Kami melakukan kepada orang-orang yang berdosa.
035_00	Sebenarnya mereka dahulu apabila dikatakan kepadanya;" (ketahuilah, bahawa) tiada Tuhan yang sebenar-benarnya melainkan Allah" - mereka bersikap takbur mengingkarinya, -
036_00	Serta mereka berkata: " Patutkah kami mesti meninggalkan tuhan-tuhan yang kami sembah, kerana mendengar ajakan seorang penyair gila?"
037_00	(Tidak! Nabi Muhammad bukan penyair dan bukan pula seorang gila) bahkan ia telah membawa kebenaran (tauhid), dan mengesahkan kebenaran (tauhid) yang dibawa oleh Rasul-rasul (yang terdahulu daripadanya).
038_00	Sesungguhnya kamu (wahai orang-orang musyrik) akan merasai azab seksa yang tidak terperi sakitnya.
039_00	Dan kamu tidak dibalas melainkan (dengan balasan yang sepadan) dengan apa yang kamu telah kerjakan;
040_00	Kecuali hamba-hamba Allah yang dibersihkan dari sebarang syirik,
041_00	Mereka itu beroleh limpah kurnia yang termaklum,
042_00	Iaitu buah-buahan (yang lazat), serta mereka mendapat penghormatan,
043_00	Di dalam syurga-syurga yang penuh melimpah dengan berjenis-jenis nikmat.
044_00	Mereka duduk berhadap-hadapan di atas pelamin-pelamin kebesaran;
045_00	Diedarkan kepada mereka piala yang berisi arak (yang diambil) dari sungainya yang mengalir,
046_00	Minuman itu putih bersih, lagi lazat rasanya, bagi orang-orang yang meminumnya,
047_00	Ia tidak mengandungi sesuatu yang membahayakan, dan tidak pula mereka mabuk kerana menikmatinya.
048_00	Sedang di sisi mereka ada pula bidadari-bidadari yang tidak menumpukan pandangannya melainkan kepada mereka, lagi yang amat indah luas matanya;
049_00	(Putih kekuning-kuningan) seolah-olah mereka telur (burung kasuari) yang tersimpan dengan sebaik-baiknya.
050_00	(Tinggalah penduduk Syurga itu menikmati kesenangan), lalu setengahnya mengadap yang lain, sambil berbincang dan bertanya-tanyaan.
051_00	Seorang di antaranya berkata: " Sesungguhnya aku (di dunia) dahulu, ada seorang rakan (yang menempelak daku).
052_00	"katanya: Adakah engkau juga salah seorang dari golongan yang mengakui benarnya (kebangkitan orang-orang mati pada hari akhirat)?
053_00	"Adakah sesudah kita mati dan menjadi tanah dan tulang, adakah kita akan (dihidupkan semula serta) dibalas apa yang telah kita lakukan? " '
054_00	(Setelah menceritakan perihal rakannya itu) ia berkata lagi: " Adakah kamu hendak melihat (keadaan rakanku yang ingkar itu)?"
055_00	Maka ia pun memandang (ke arah neraka), lalu dilihatnya rakannya itu berada ditengah-tengah neraka yang menjulang-julang.
056_00	Ia pun (menempelaknya dengan) berkata:" Demi Allah! Nyaris-nyaris engkau menceburkan daku dalam kebinasaan.
057_00	"Dan kalaulah tidak disebabkan nikmat pemberian Tuhanku (dengan hidayah petunjuk), nescaya akan menjadilah daku dari orang-orang yang dibawa hadir (untuk menerima balasan azab) ".
058_00	(Kemudian ia berkata kepada rakan-rakanya yang sedang menikmati kesenangan di Syurga bersama): " Bukankah kita (setelah mendapat nikmat-nikmat ini) tidak akan mati lagi, -
059_00	"Selain dari kematian kita yang dahulu, dan kita juga tidak akan terkena seksa?"
060_00	Sesungguhnya (nikmat-nikmat kesenangan Syurga) yang demikian, ialah sebenar-benar pendapatan dan kemenangan yang besar.
061_00	Untuk memperoleh (kejayaan) yang seperti inilah hendaknya orang-orang yang beramal melakukan amal usahanya dengan bersungguh-sungguh (di dunia).
062_00	Manakah yang lebih baik, limpah kurniaan yang termaklum itu atau pokok zaqqum?
063_00	Sesungguhnya Kami jadikan pokok zaqqum itu satu ujian bagi orang-orang yang zalim (di dunia dan azab seksa bagi mereka di akhirat).
064_00	Sebenarnya ia sebatang pohon yang tumbuh di dasar neraka yang marak menjulang;
065_00	Buahnya seolah-olah kepala Syaitan-syaitan;
066_00	Maka sudah tentu mereka akan makan dari buahnya (sekalipun pahit dan busuk), sehingga mereka memenuhi perut darinya.
067_00	Kemudian, sesungguhnya mereka akan beroleh lagi - selain itu- satu minuman campuran dari air panas yang menggelegak.
068_00	Setelah (mereka dibawa minum) maka tempat kembali mereka tetaplah ke dalam neraka yang menjulang-julang.
069_00	Sebenarnya mereka telah mendapati datuk nenek mereka berada dalam kesesatan;
070_00	Lalu mereka terburu-buru menurut jejak langkah datuk neneknya.
071_00	Dan demi sesungguhnya, telah sesat juga - sebelum kaummu (wahai Muhammad) - kebanyakan kaum-kaum yang telah lalu.
072_00	Pada hal, demi sesungguhnya, Kami telahpun mengutus dalam kalangan kaum-kaum itu, Rasul-rasul pemberi amaran.
073_00	Maka lihatlah bagaimana kesudahan orang-orang (yang mendustakan Rasul-rasul Kami) setelah diberi amaran, -
074_00	Kecuali hamba-hamba Allah yang dibersihkan dari sebarang syirik (maka mereka akan terselamat dan mendapat sebaik-baik balasan).
075_00	Dan demi sesungguhnya, Nabi Nuh telah berdoa merayu kepada Kami (memohon pertolongan), maka Kami adalah sebaik-baik yang kabulkan doa permohonan.
076_00	Dan Kami telah selamatkan dia bersama-sama dengan keluarga dan pengikut-pengikutnya, dari kesusahan yang besar.
077_00	Dan Kami jadikan zuriat keturunannya sahaja orang-orang yang tinggal hidup (setelah Kami binasakan kaumnya yang ingkar).
078_00	Dan Kami kekalkan baginya (nama yang harum) dalam kalangan orang-orang yang datang kemudian:
079_00	"Salam sejahtera kepada Nabi Nuh dalam kalangan penduduk seluruh alam ! "
080_00	Demikianlah sebenarnya Kami membalas orang-orang yang berusaha mengerjakan amal-amal yang baik.
081_00	Sesungguhnya Nabi Nuh itu dari hamba-hamba Kami yang beriman.
082_00	Kemudian Kami tenggelamkan golongan yang lain (yang mendustakannya).
083_00	Dan sesungguhnya di antara orang-orang yang menegakkan (ajaran yang dibawa oleh) Nabi Nuh ialah Nabi Ibrahim.
084_00	Ketika ia mematuhi perintah tuhannya dengan hati yang suci murni.
085_00	Ketika ia berkata kepada bapanya dan kaumnya: " Apa yang kamu sembah?
086_00	"Patutkah kamu menyembah tuhan-tuhan yang lain dari Allah, kerana kamu memutar belitkan kebenaran semata-mata (bukan kerana benarnya)?
087_00	"Maka bagaimana fikiran kamu pula terhadap Allah Tuhan sekalian alam?"
088_00	Kemudian ia memandang dengan satu renungan kepada bintang-bintang (yang bertaburan di langit),
089_00	Lalu berkata: "Sesungguhnya aku merasa sakit (tak dapat turut berhari raya sama)".
090_00	Setelah (mendengar kata-katanya) itu, mereka berpaling meninggalkan dia.
091_00	Lalu ia pergi kepada berhala-berhala mereka secara bersembunyi, serta ia bertanya (kepada berhala-berhala itu, secara mengejek-ejek): "Mengapa kamu tidak makan?
092_00	"Mengapa kamu tidak menjawab?"
093_00	Lalu ia memukul berhala-berhala itu dengan tangan kanannya (sehingga pecah berketul-ketul).
094_00	(Setelah kaumnya mengetahui hal itu) maka datanglah mereka beramai-ramai kepadanya.
095_00	(Bagi menjawab bantahan mereka), ia berkata: "Patutkah kamu menyembah benda-benda yang kamu pahat?
096_00	"Padahal Allah yang mencipta kamu dan benda-benda yang kamu buat itu!"
097_00	(Setelah tak dapat berhujah lagi, ketua-ketua) mereka berkata: "Binalah untuk Ibrahim sebuah tempat (untuk membakarnya), kemudian campakkan dia ke dalam api yang menjulang-julang itu".
098_00	Maka mereka (dengan perbuatan membakar Nabi Ibrahim itu) hendak melakukan angkara yang menyakitinya, lalu Kami jadikan mereka orang-orang yang terkebawah (yang tidak berjaya maksudnya).
099_00	Dan Nabi Ibrahim pula berkata: "Aku hendak (meninggalkan kamu) pergi kepada Tuhanku, Ia akan memimpinku (ke jalan yang benar).
100_00	" Wahai Tuhanku! Kurniakanlah kepadaku anak yang terhitung dari orang-orang yang soleh!"
101_00	Lalu Kami berikan kepadanya berita yang mengembirakan, bahawa ia akan beroleh seorang anak yang penyabar.
102_00	Maka ketika anaknya itu sampai (ke peringkat umur yang membolehkan dia) berusaha bersama-sama dengannya, Nabi Ibrahim berkata: "Wahai anak kesayanganku!
102_01	Sesungguhnya aku melihat dalam mimpi bahawa aku akan menyembelihmu; maka fikirkanlah apa pendapatmu?". Anaknya menjawab: "Wahai ayah, jalankanlah apa yang diperintahkan kepadamu; Insya Allah, ayah akan mendapati daku dari orang-orang yang sabar".
103_00	Setelah keduanya berserah bulat-bulat (menjunjung perintah Allah itu), dan Nabi Ibrahim merebahkan anaknya dengan meletakkan iringan mukanya di atas tompok tanah, (Kami sifatkan Ibrahim - dengan kesungguhan azamnya itu telah menjalankan perintah Kami),
104_00	Serta Kami menyerunya: "Wahai Ibrahim!
105_00	"Engkau telah menyempurnakan maksud mimpi yang engkau lihat itu". Demikianlah sebenarnya Kami membalas orang-orang yang berusaha mengerjakan kebaikan.
106_00	Sesungguhnya perintah ini adalah satu ujian yang nyata;
107_00	Dan Kami tebus anaknya itu dengan seekor binatang sembelihan yang besar;
108_00	Dan Kami kekalkan baginya (nama yang harum) dalam kalangan orang-orang yang datang kemudian:
109_00	"Salam sejahtera kepada Nabi Ibrahim!".
110_00	Demikianlah Kami membalas orang-orang yang berusaha mengerjakan kebaikan.
111_00	Sesungguhnya Nabi Ibrahim itu dari hamba-hamba Kami yang beriman.
112_00	Dan Kami pula berikan kepadanya berita yang mengembirakan, bahawa ia akan beroleh (seorang anak): Ishak, yang akan menjadi Nabi, yang terhitung dari orang-orang yang soleh.
113_00	Dan Kami limpahi berkat kepadanya dan kepada (anaknya): Ishak; dan di antara zuriat keturunan keduanya ada yang mengerjakan kebaikan, dan ada pula yang berlaku zalim dengan nyata, terhadap dirinya sendiri.
114_00	Dan demi sesungguhnya! kami telah melimpahkan nikmat pemberian kepada Nabi Musa dan Nabi Harun.
115_00	Dan Kami selamatkan keduanya dan kaumnya dari kesusahan yang besar;
116_00	Dan Kami menolong mereka sehingga menjadilah mereka orang-orang yang berjaya mengalahkan (lawannya);
117_00	Dan Kami berikan kepada keduanya Kitab Suci yang amat jelas keterangannya;
118_00	Dan Kami berikan hidayah petunjuk kepada keduanya ke jalan yang lurus.
119_00	Dan Kami kekalkan bagi keduanya (nama yang harum) dalam kalangan orang-orang yang datang kemudian:
120_00	"Salam sejahtera kepada Nabi Musa dan Nabi Harun!"
121_00	Demikianlah sebenarnya Kami membalas orang-orang yang berusaha mengerjakan kebaikan.
122_00	Sesungguhnya mereka berdua adalah dari hamba-hamba Kami yang beriman.
123_00	Dan sesungguhnya Nabi Ilyas adalah dari Rasul-rasul (Kami) yang diutus.
124_00	(Ingatkanlah peristiwa) ketika ia berkata kepada kaumnya: "Hendaklah kamu mematuhi suruhan Allah dan menjauhi laranganNya.
125_00	"Patutkah kamu menyembah berhala Ba'la, dan kamu meninggalkan (ibadat kepada) sebijak-bijak pencipta?
126_00	"Iaitu Allah Tuhan kamu, dan Tuhan datuk nenek kamu yang telah lalu!"
127_00	Maka mereka mendustakannya; akibatnya mereka tetap akan dibawa hadir (untuk diseksa),
128_00	Kecuali hamba-hamba Allah yang dibersihkan dari sebarang syirik (maka mereka akan terselamat, dan mendapat sebaik-baik balasan).
129_00	Dan Kami kekalkan bagi Nabi Ilyas (nama yang harum) dalam kalangan orang-orang yang datang kemudian:
130_00	"Salam sejahtera kepada Nabi Ilyas!"
131_00	Demikianlah sebenarnya Kami membalas orang-orang yang berusaha mengerjakan kebaikan.
132_00	Sesungguhnya Nabi Ilyas itu dari hamba-hamba Kami yang beriman.
133_00	Dan sesungguhnya Nabi Lut adalah dari Rasul-rasul (Kami) yang diutus.
134_00	(ingatkanlah peristiwa) ketika kami selamatkan dia dan keluarga serta pengikut-pengikutnya semuanya,
135_00	Kecuali seorang perempuan tua tertinggal dalam golongan yang dibinasakan.
136_00	Kemudian Kami hancurkan yang lain (dari pengikut-pengikut Nabi Lut).
137_00	Dan sesungguhnya kamu (yang menentang Nabi Muhammad): berulang-alik (melalui bekas-bekas tempat tinggal) mereka, semasa kamu berada pada waktu pagi.
138_00	Dan juga pada waktu malam; maka mengapa kamu tidak mahu memikirkannya?.
139_00	Dan sesungguhnya Nabi Yunus adalah dari Rasul-rasul (Kami) yang diutus.
140_00	(Ingatkanlah peristiwa) ketika ia melarikan diri ke kapal yang penuh sarat.
