001_00	(Tuhan) Yang Maha Pemurah serta melimpah-limpah rahmatNya.
002_00	Dia lah yang telah mengajarkan Al-Quran.
003_00	Dia lah yang telah menciptakan manusia; -
004_00	Dia lah yang telah membolehkan manusia (bertutur) memberi dan menerima kenyataan.
005_00	Matahari dan bulan beredar dengan peraturan dan hitungan yang tertentu;
006_00	Dan tumbuh-tumbuhan yang melata serta pohon-pohon kayu-kayan, masing-masing tunduk menurut peraturanNya.
007_00	Dan langit dijadikannya (bumbung) tinggi, serta Ia mengadakan undang-undang dan peraturan neraca keadilan,
008_00	Supaya kamu tidak melampaui batas dalam menjalankan keadilan;
009_00	Dan betulkanlah cara menimbang itu dengan adil, serta janganlah kamu mengurangi barang yang ditimbang.
010_00	Dan bumi pula dijadikannya rata untuk kegunaan manusia dan makhluk-makhlukNya yang lain:
011_00	Terdapat padanya berbagai jenis buah-buahan dan pohon-pohon kurma yang ada kelopak-kelopak mayang;
012_00	Demikian juga terdapat biji-bijian yang ada jerami serta daun, dan terdapat lagi bunga-bungaan yang harum;
013_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan (wahai umat manusia dan jin)?
014_00	Ia menciptakan manusia (lembaga Adam) dari tanah liat kering seperti tembikar,
015_00	Dan Ia telah menciptakan jin dari lidah api yang menjulang-julang;
016_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
017_00	(Dia lah) Tuhan yang mentadbirkan dua timur, dan Tuhan yang mentadbirkan dua barat.
018_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
019_00	Ia biarkan air dua laut (yang masin dan yang tawar) mengalir, sedang keduanya pula bertemu;
020_00	Di antara keduanya ada penyekat yang memisahkannya, masing-masing tidak melampaui sempadannya;
021_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
022_00	Dari kedua laut itu, keluar mutiara dan marjan;
023_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
024_00	Dan Dia lah yang menguasai kapal-kapal yang belayar di laut, yang kembang tinggi layarnya seperti gunung-ganang;
