001_00	Ḥ. M̃.
002_00	Ina rantsuwa da Littãfi Mabayyani.
003_00	Lalle Mũ, Mun sanya shi abin karãtu na Lãrabci, tsammãninku, kunã hankalta.
004_00	Kuma lalle, shĩ, a cikin uwar littãfi a wurin Mu, haƙĩƙa, maɗaukaki ne, bayyananne.
005_00	Shin, zã Mu kau da kai daga saukar da hukunci daga gare ku ne dõmin kun kasance mutane mãsu ɓarna?
006_00	Alhãli kuwa sau nawa Muka aika wani Annabi a cikin mutãnen fãrko!
007_00	Kuma wani Annabi bai je musu ba fãce sun kasance, game da shi, sunã mãsu yin izgili.
008_00	Sai Muka halakar da waɗanda suke sũ ne mafiya ƙarfin damƙa daga gare su. Kuma abin misãlin mutãnen farkon ya shũɗe.
009_00	Kuma lalle ne, idan ka tambaye su, "Wãne ne ya halitta sammai da ƙasa?" Lalle zã su ce, "Mabuwãyi Mai ilmi ne Ya halitta su."
010_00	Wanda Ya sanya muku ƙasa shimfiɗa kuma Ya sanya muku hanyõyi a cikinta, tsammãninku za ku nẽmi shiryuwa.'
011_00	Kuma Wanda Ya saukar da ruwa daga sama, a kan wani gwargwado, sai Muka rãyar da gari matacce game da shi. Kamar haka nan ake fitar da ku (daga kabari).
012_00	Kuma Wanda Ya halitta ma'aura dukansu, kuma Ya sanya muku, daga jirgi da dabbõbin ni'ima, abin da kuke hawa.
013_00	Domin ku daidaitu a kan bãyansa, sa'an nan ku tuna ni'imar Ubangijinku a lõkacin da kuka daidaita a kansa kuma ku ce, "Tsarki ya tabbata ga Wanda Ya hõre mana wannan alhãli kuwa ba mu kasance mãsu iya rinjãya gare Shi ba.
014_00	"Kuma lalle mũ haƙĩƙa mãsu jũyãwa muke, zuwa ga Ubangijinmu."
015_00	Kuma suka sanya Masa juz'i daga bãyinsa. Lalle ne mutum, haƙĩƙa, mai yawan kãfirci ne, mai bayyanãwar kãfircin.
016_00	Kõ zã Ya ɗauki 'ya'ya mãtã daga abin da Yake halittawa ne, kuma Ya zãɓe ku da ɗiya maza?
017_00	Alhãli kuwa idan an bãyar da bushãra ga ɗayansu da abin da ya buga misãli da shi ga Mai rahama, sai fuskarsa ta yini tanã wadda aka baƙanta launinta, kuma yanã cike da baƙin ciki.
018_00	Ashe, kuma (Allah zai zãɓi) wanda ake rẽno a cikin ƙawa alhãli kuwa gã shi a husũma bã mai iya bayyanawar magana ba?
019_00	Kuma suka mayar da malã'iku ('yã'ya) mãtã, alhãli kuwa sũ, waɗanda suke bãyin (Allah) Mai rahama ne! Shin, sun halarci halittarsu ne? zã a rubũta shaidarsu kuma a tambaye su.
020_00	Kuma suka ce: "Dã Mai rahama ya so, dã ba mu bauta musu ba." Bã su da wani ilmi game da wancan! Bãbu abin da suke yi fãce yanki-faɗi.
021_00	Kõ Mun bã su wani littãfi ne a gabãninsa (Alƙur'ãni) sabõda haka da shĩ suke riƙe?
