001_00	K̃.H. Y.I. Ṣ̃.
002_00	Ambaton rahamar Ubangijinka ne ga BawanSa Zakariyya.
003_00	A lõkacin da ya kirãyi Ubangijinsa, kira ɓõyayye.
004_00	Ya ce: "Yã Ubangijina! Lalle ne nĩ, ƙashi na daga gare ni ya yi rauni, kuma kaina ya kunnu da furfura, kuma ban kasance marashin arziki ba game da kiranKa, yã Ubangiji!"
005_00	"Kuma lalle nĩ, na ji tsõron dangi a bãyãna, kuma mãtãta ta kasance bakarãriya! Sai ka bã ni wani mataimaki daga wajenKa."
006_00	"Ya gãjẽ ni, kuma ya yi gãdo daga gidan Yãƙũba. Kuma Ka sanya shi yardajje, yã Ubangiji!"
007_00	(Allah Ya karɓa) "Yã zakariyya! Lalle ne Mũ, Munã yi maka bushãra da wani yãro, sunansa Yahaya. Ba Mu sanya masa wani takwara ba a gabãni."
008_00	Ya ce: "Yã Ubangijĩna! Yãya wani yãro zai kasance a gare ni, alhãli kuwa mãtãta ta kasance bakarãriya, kuma gã shi nã kai ga matuƙa ta tsũfa?"
009_00	Ya ce: "Kamar wancan Ubangijinka Ya ce. Shĩ, a gare Ni mai sauƙi ne, kuma haƙĩƙa Na halitta ka a gabãnin haka, alhãli ba ka kasance kõme ba."
010_00	Ya ce: "Yã Ubangijina! Ka sanya mini alãma." Ya ce: "Alamarka ita ce ka kãsa yi wa mutãne magana a darũruwa uku daidai."
011_00	Sai ya fita a kan mutãnensa daga masallãci, sa'an nan ya yi ishãra zuwa gare su da cẽwa, "Ku yi tasbĩhi sãfe da yamma."
012_00	Yã Yahaya! Ka kãma littãfi da ƙarfi. Kuma Muka bã shi hukunci yanã yãro.
013_00	Kuma (Muka sanya shi) abin girmamãwa daga gunMu, kuma mai albarka, kuma ya kasance mai ɗã'ã da taƙawa.
014_00	Kuma mai biyayya ga mahaifansa biyu, kuma bai kasance mai girman kai mai sãɓo ba.
015_00	Kuma aminci ya tabbata a gare shi a rãnar da aka haife shi da rãnar da yake mutuwa da rãnar da ake tãyar da shi yanã mai rai.
016_00	Kuma ka ambaci Maryamu a cikin Littãfi, a lõkacin da ta tsallake daga mutãnenta a wani wuri, a gẽfen gabas.
017_00	Sa'an nan ta riƙi wani shãmaki daga barinsu. Sai Muka aika rũhinMu zuwa gare ta. Sai ya bayyana a gare ta da siffar mutum madaidaci.
018_00	Ta ce: "Lalle nĩ inã nẽman tsari ga Mai, rahama daga gare ka, idan ka kasance mai tsaron addini!"
019_00	Ya ce: "Abin sani kawai, ni Manzon Ubangijinki ne dõmin in bãyar da wani yãro tsarkakke gare ki."
020_00	Ta ce: "A inã yãro zai kasance a gare ni alhãli kuwa wani mutum bai shãfe ni ba, kuma ban kasance kãruwa ba?"
021_00	Ya ce: "Kamar wancan Ubangijinki Ya ce. Shĩ, a gare Ni mai sauƙi ne. Kuma dõmin Mu sanya shi wata alãma ga mutãne, kuma wata rahama ce daga gare Mu.' Kuma abin yã kasance wani al'amari hukuntacce."
022_00	Sai ta yi cikinsa, sai ta tsallake da shi ga wani wuri mai nĩsa.
023_00	Sai nãƙuda ta kai ta zuwa ga wani kututturen dabĩniya, ta ce "Kaitona, dã dai na mutu a gabãnin wannan kuma na kasance wani abu wulakantacce wanda aka manta!"
024_00	Sai (yãron da ta haifa) ya kira ta daga ƙarƙashinta, "Kada ki yi baƙin ciki! Haƙĩƙa Ubangijinki Ya sanya wani marmaro a ƙarƙashinki.
025_00	"Kuma ki girgiza zuwa gare ki game da kututturen dabĩnon ya zuba a kanki yanã 'ya'yan dabĩno, ruɗabi nunannu."
026_00	"Sai ki ci kuma ki sha kuma ki ji sanyi ga idãnunki. To, idan kin ga wani aya daga mutãne, sai ki ce, 'Lalle nĩ, na yi alwãshin azumi dõmin Mai rahama sabõda haka bã zan yi wa wani mutum magana ba."
027_00	Sai ta je wa mutãnenta tanã auke da shi. Suka ce: "Yã Maryamu! Lalle ne, haƙĩƙa kin zo da wani abu mai girma!
028_00	"Yã 'yar'uwar Hãrũna! Ubanki bai kasance mutumin alfãsha ba, kuma uwarki ba ta kasance kãruwa ba."
