001_00	Lalle Mũ, Mun yi maka rinjãye (a kan maƙiyanka), rinjaye bayyananne.
002_00	Dõmin Allah Ya shãfe abin da ya gabãta na laifinka da abin da ya jinkirta, kuma Ya cika ni'imarSa a kanka, kuma Ya shiryar da kai ga hanya madaidaiciya.
003_00	Kuma Allah Ya taimake ka, taimako mabuwãyi.
004_00	Shĩ ne wanda Ya saukar da natsuwa a cikin zukãtan mũminai dõmin su ƙãra wani ĩmãni tãre da
004_01	imãninsu, alhãli kuwa rundunõnin sammai da ƙasa, na Allah kawai ne, kuma Allah Ya kasance Masani, Mai hikima.
005_00	Dõmin Ya shigar da mũminai maza da mũminai mãtã gidãjen Aljanna, kõgunan ruwa na gudãna daga ƙarƙashin gidãjen, sunã madawwama a cikinsu kuma Ya kankare musu mũnãnan ayyukansu.
005_01	wannan abu ya kasance a wurin Allah babban rabo, mai gimia.
006_00	Kuma Ya yi azãba ga munãfikai maza da munãfikai mãtã da mushirikai maza da musbirikai mãtã, mãsu zaton mugun zato game da Allah, mugunyar masĩfa mai kẽwayẽwa ta
006_01	tabbata a kansu, kuma Allah Ya yi hushi da su, kuma Ya la'ane su, kuma Ya yi musu tattlain Jahannama kuma ta mũnana ta zama makõma (gare su).
007_00	Rundunõnin sammai da ƙasã na Allah kawai ne, kuma Allah Ya kasance Mabuwãyi, Mai hikima.
008_00	Lalle Mũ Mun aike ka, kanã mai shaida, kuma mai bãyar da bushãra kuma mai gargaɗi.
009_00	Dõmin ku yi ĩmani da Allah da ManzonSa, kuma ku ƙarfafa shi, kuma ku girmama Shi, kuma ku tsarkake Shi (Allah) sãfiya da maraice.
010_00	Lalle waɗanda ke yi maka mubãya'a, Allah kawai ne suke yi wa mubãya'a, Hannun Allah nã bisa hannayensu, sabõda haka wanda ya warware, to, yanã warwarẽwa
010_01	ne a kan kansa kawai, kuma wanda ya cika ga alkawarin da ya yi wa Allah a kansa, to, (Allah) zai kãwo masa ijãra mai girma.
011_00	Waɗanda aka bari daga ƙauyãwa zã su ce maka, "Dũkiyõyinmu da iyãlanmu sun shagaltar da mu, sai ka nẽma mana gãfara." Sunã faɗã, da harsunansu, abin da bã shĩ ne a cikin zukãtansu ba.
011_01	Kace: "To, wãne ne ke mallakar wani abu daga Allah sabõda kũ, idan Yã yi nufin wata cũta agare ku kõ kuma (idan) Ya yi nufin wani amfãni a gare ku? Ã'a, Allah Ya kasance Mai labartawa ne ga abin da kuke aikatãwa."
012_00	Ã'a kun yi zaton Annabi da mũminai, bã za su kõmo zuwa ga iyãlansu ba, har abada. Kuma an ƙawãta wannan (tunãni) a cikin zukãtanku, kuma kun yi zato, zaton mugunta, kuma kun kasance mutãne halakakku.
013_00	Kuma wanda bai yi ĩmãni da Allah da kuma Manzonsa ba, to, lalle Mũ, Mun yi tattalin wutã mai tsananin ƙũna, dõmin kafirai.
014_00	Mulkin sammai da ƙasã na Allah kawai ne, Yanã gãfartawa ga wanda Yake so, kuma Yanã azabta wanda Yake so alhãli kuwa Allah Ya kasance Mai gãfara ne, Mai jin ƙai.
015_00	Waɗanda aka bari zã su ce idan kun tafi zuwa ga waɗansu ganĩmõmi dõmin ku karɓo su, "Ku bar mu, mu bĩ ku." Sunã son su musanya maganar Allah ne.
015_01	Ka ce: "Bã zã ku bĩ mu ba. Kamar wannan ne Allah Ya ce, a gabãnin haka." Sa'an nan zã su ce: "Ã'a, kunã dai hãssadar mu ne." Ã'a, sun kasance bã su fahimtar (abũbuwa) sai kaɗan.
016_00	Ka ce wa waɗanda aka bari daga ƙauyãwa: "Za a kira ku zuwa ga waɗansu mutãne mãsu tsananin yãƙi (dõmin) ku yãƙe su kõ kuwa su musulunta.
016_01	To, idan kun yi ɗã'a, Allah zai kãwo muku wata ijãra mai kyau, kuma idan kuka jũya bãya kamar yadda kuka jũya a gabãnin wancan, zai azãbtã ku, azãba mai raɗadi."
017_00	Bãbu laifi a kan makãho, kuma bãbu laifi a kan gurgu, kuma bãbu laifi a kan majiyyaci.
017_01	Kuma wanda ya yi ɗã'a ga Allah da ManzonSa, (Allah) zai shigar da shi a gidãjen Aljanna, kõguna na gudãna daga ƙarƙashinsu. Kuma wanda ya jũya bãya, (Allah) zai azabtãshi, azãba mai raɗãɗi.
018_00	Lalle ne haƙĩƙa, Allah Ya yarda da muminai a lõkacin da suke yi maka mubãya, a a ƙarƙashin itãciyar nan dõmin Yã san abin da ke cikin zukãtansu sai Yã saukar da natsuwa a kansu, kuma Ya sãka musu da wani cin nasara makusanci.
019_00	Da waɗansu ganĩmõmi mãsu yawa da zã su karɓo su. Kuma Allah Yã kasance Mabuwayi, Mai hikima.
020_00	Kuma Allah Yã yi muku wa'adin waɗansu ganĩmõmi mãsu yawa, waɗanda zã ku karɓo su, kuma Ya gaggauta muku wannan.
020_01	Kuma Ya kange hannãyen mutãne daga gare ku, kuma dõmin ta kasance wata ãyã ce ga mũminai, kuma Yã shiryar da ku ga hanya madaidaiciya.
