001_00	A. L̃.R. Waɗancan ãyõyin littãfi ne kyautatacce.
002_00	Shin, yã zama abin mãmaki ga mutãne dõmin Mun yi wahayi zuwa ga wani namiji daga gare su cẽwa, "Ka yi gargaɗi ga mutãne kuma ka yi
002_01	bushãra ga waɗanda suka yi ĩmãni da cẽwa: Lalle ne sunã da abin gabãtarwar gaskiya a wurin Ubangijinsu."Kãfirai suka ce: "Lalle ne wannan, haƙĩƙa, masihirci ne bayyananne."
003_00	Lalle Allah ne Ubangijinku wanda Ya halicci sammai da ƙasa a cikin kwãna shida, sa'an nan kuma Ya daidaita a kan Al'arshi Yanã gudãnar da al'amari. Bãbu wani macẽci fãce a bayan izninSa.
003_01	Wannan ne Allah, Ubangijinku, sai ku bauta Masa. Shin fa, ba ku tunãni?
004_00	zuwa gare Shi makõmarku take gabã ɗaya, wa'adin Allah gaskiya ne.
004_01	Haƙĩƙa, Shi ne Yake fara halitta, sa'an nan kuma Ya mayar da ita dõmin Ya sãka wa waɗanda suka yi ĩmãni kuma suka aikata ayyukan ƙwarai da ãdalci, kuma waɗanda suka kãfirta sunã da abin sha daga ruwan zãfi, da azãba mai raɗaɗi, sabõda abin da suka kasance sunã yi na kãfirci.
005_00	Shĩ ne wanda Ya sanya muku rãnã, babban haske, da watã mai haske, kuma Ya ƙaddara shi ga Manzilõli, dõmin ku san ƙidãyar shẽkaru da lissãfi.
005_01	Allah bai halitta wannan ba, fãce da gaskiya, Yanã bayyana ãyõyi daki-daki dõmin mutãne waɗanda suke sani.
006_00	Lalle ne a cikin sãɓãwar dare da yini, da abin da Allah Ya halitta a cikin sammai da ƙasa, haƙĩƙaakwai ãyõyi ga mutãne waɗanda suke yin taƙawa.
007_00	Lalle ne waɗanda ba su ƙaunar gamuwa da Mũ, kuma suka yarda da rãyuwar dũniya kuma suka natsu da ita, da waɗanda suke gafalallu ne daga ãyõyinMu,
008_00	Waɗannan matattãrarsu Jahannama ce sabõda abin da suka kasance sunã tsirfãtawa.
009_00	Lalle ne waɗanda suka yi ĩmãni kuma suka aikata ayyukan ƙwarai, Ubangijinsu Yanã shiryar da su sabõda ĩmãninsu, ƙõramu sunã gudãna daga ƙarƙashinsu, a cikin gidãjen Aljannar ni'ima.
010_00	Kiransu a cikinta, "TsarkinKa yã Allah!" Kuma gaisuwarsu a cikinta,"Salãmun", kuma ƙarshen kiransu, cẽwa, "Gõdiya ta tabbata ga Allah Ubangijin halittu."
011_00	Kuma dã Allah Yana gaggãwa ga mutãne da sharri kamar yadda Yake gaggauta musu da alhẽri, haƙĩƙa dã an hukunta ajalinsu zuwa gare su.
011_01	Sabõda haka Munã barin waɗanda ba su ƙaunar gamuwa da Mu, a cikin kangararsu sunã ta ɗimuwa.
012_00	Kuma idan cũta ta shãfi mutum, sai ya kirãye Mu, yanã (kwance) ga sãshensa kõ kuwa zaune, kõ kuwa a tsaye.
012_01	To, a lõkacin, da Muka kuranye cũtar daga gare shi, sai ya shũɗe kamar ɗai bai kirãye Mu ba zuwa ga wata cũta wadda ta shãfe shi. Kamar wannan ne aka ƙawãta ga maɓannata, abin da suka kasance sunã aikatãwa.
013_00	Kuma, haƙĩƙa, Mun halakar da al'ummomi daga gabãninku, a lõkacin da suka yi zãlunci, kuma manzanninsu suka jẽ musu da hujjõji bayyanannu, amma ba su kasance sunã ĩmãni ba.
013_01	Kamar wannan ne, Muke sãkãwa ga mutãne mãsu laifi.
014_00	Sa'an nan kuma Muka sanya ku mãsu mayẽwa a cikin ƙasa daga bãyansu, dõmin Mu ga yãya kuke aikatãwa.
015_00	Kuma idan anã karatun ãyõyĩnMu bayyanannu a kansu, sai waɗanda bã su ƙaunar gawuwa da Mu, su ce: "Ka zo da wani Alƙur'ãni, wanin wannan, ko kuwa ka musunyã shi." Ka ce: "Bã ya kasancẽwa a gare ni in musanyã shi da kaina.
015_01	Bã ni biyar kõme fãce abin da aka yiwo wahayi zuwa gare ni. Kuma, haƙĩƙa ni inã tsõro idan na sãɓã wa Ubangijina, ga azãbar wani yini mai girma."
016_00	Ka ce: "Dã Allah Ya so dã ban karanta shi ba a kanku, kuma dã ban sanar da kũ ba gameda shi, dõmin lalle ne nã zauna a cikinku a zãmani mai tsawo daga gabãnin (fãra saukar) sa. Shin fa, bã ku hankalta?"
