001_00	A. L̃. M̃.
002_00	Saukar da Littafin bãbu shakka a gare shi, daga Ubangijin tãlikai yake.
003_00	Kõ sunã cẽwa (Muhammadu ne) ya ƙirƙira shi? Ã'a, shĩ ne gaskiya daga Ubangijinka, dõmin ka yi gargaɗi ga mutãne waɗanda wani mai gargaɗi bai je musu ba a gabãninka, fãtan zã su shiryu.
004_00	Allah ne wanda Ya halitta sammai da ƙasa da abin da yake a tsakãninsu a cikin kwãnuka shida, sa'an nan Ya daidaita a kan Al'arshi.
004_01	Bã ku da, baicin Shi, wani majiɓinci kuma babu wani maceci. Shin, bã zã ku yi tunãni ba?
005_00	Yanã shirya al'amari daga sama zuwa ga ƙasã, sa'an nan ya tãka zuwa gare Shi a cikin yini, wanda gwargwadonsa shẽkaru dubu ne ga abin da kuke lissafãwa.
006_00	Wannan shĩ ne Masanin fake da bayyane, Mabuwãyi, Mai jinƙai.
007_00	Wanda Ya kyautata kõme, Wanda Ya halitta shi. Shi ne kuma Ya fãra halittar mutum daga lãka.
008_00	Sa'an nan Ya sanya ɗiyansa daga wani asali na wani ruwa wulãkantacce.
009_00	Sa'an nan Ya daidaita shi, kuma Ya hũra a cikinsa, daga ruhinSa kuma Ya sanya muku ji, da ganunuwa da zukãta. Gõdiyarku kaɗan ce ƙwarai.
010_00	Kuma suka ce: "Shin, idan mun ɓace a cikin ƙasã, shin, lalle mu, tabbas ne munã zama a cikin wata halitta sãbuwa?" Ã'a, su game da gamuwa da Ubangijinsu kãfirai
011_00	Ka ce: "Mala, ikin mutuwa ne. wanda aka wakkala a gare ku, shĩ ne ke karɓar rãyukanku. Sa'an nan zuwa ga Ubangijinku ake mayar da ku."
012_00	Kuma da kã gani a lõkacin da mãsu laifi suke mãsu sunkuyar da kawunansu a wurin Ubangijinsu, "Ya Ubangijinmu! Mun gani, kuma mun ji, to, Ka mayar da mu mu aikata aiki na ƙwarai. Lalle mũ mãsu yaƙĩni ne."
013_00	Kuma dã Mun so dã Mun bai wa kõwane rai shiriyarsa to, amma magana ta tabbata daga gare Ni! Lalle ne Inã cika Jahannama daga aljannu da mutãne gabã ɗaya.
014_00	To, ku ɗanɗana sabõda abin da kuka manta na haɗuwa da ranarku wannan. Lalle Mũ mã Mun manta da ku, kuma ku dãnɗani azãbar dawwama sabõda abin da kuka kasance kunã aikatãwa.
015_00	Waɗanda ke ĩmãni da ãyõyinMu kawai, sũ ne waɗanda idan aka karanta musu ãyõyinMu sai su fãɗi sunã mãsu sujada kuma su yi tasbĩhi game da gõde wa Ubangijinsu, alhãli kuwa su bã su yin girman kai.
016_00	Sãsanninsu nã nĩsanta daga wurãren kwanciya, sunã kiran Ubangijinsu bisa ga tsõro da ɗammãni, kuma sunã ciryawa daga abin da Muka azurta su.
017_00	Sabõda haka wani rai bai san abin da aka ɓõye musu ba, na sanyin idãnu, dõmin sakamako ga abin da suka kasance sunã aikatãwa.
018_00	Shin, wanda ya zama mũmini yanã kamar wanda ya zama fãsiƙi? Bã zã su yi daidai ba.
019_00	Amma waɗanda suka yi ĩmãni, kuma suka aikata ayyukan ƙwafai, to, sunã da gidãjen Aljannar makõma, a kan liyãfa sabõda abin da suka kasance sunã aikatãwa.
020_00	Kuma waɗanda suka yi fãsiƙanci to makõmarsu ita ce wuta, kõ da yaushe suka yi nufin su fita daga gare ta, sai
020_01	a mayar da su a cikinta, kuma a ce musu: "Ku ɗanɗana azãbai wutã, wadda kuka kasance kunã ƙaryatãwa game da ita."
021_00	Kuma lalle Munã ɗanɗana musu daga azãba, mafi ƙasƙanci, kãfin a kai ga azãba mafi girma, dõmin fãtan za su kõmo.
022_00	Kuma wãne ne ya fi zãlunci bisa ga wanda aka tunãtar da ãyõyin Ubangijinsa, sa'an na ya bijire daga barinsu? Lalle Mũ, Mãsu yin azãbar rãmuwa ne ga mãsu laifi.
023_00	Kuma lalle haƙĩƙa, Mun bai wa Mũsã Littafi, sabõda haka kada ka kasance a cikin shakka daga haɗuwa da shi. Kuma Mun sanya shi ya zama shiriya ga Banĩ Isrã'ĩla.
024_00	Kuma Mun sanya shugabanni daga cikinsu, sunã shiryarwa da umurninMu, a lõkacin da suka yi haƙuri, kuma sun kasance sunã yin yaƙĩni da ãyõyinMu.
025_00	Lalle Ubangijinka shĩ ne zai rarrabe a tsakãninsu a Rãnar ¡iyãma a cikin abin da suka kasance sunã sãɓa wa jũna a cikinsa.
026_00	Shin, ba ya shiryar da su cẽwa da yawa Muka halakara gabãninsu, daga al'ummõmi sunã tafiya a cikin masaukansu? Lalle a cikin wancan akwai ãyõyi. Shin, ba su jĩ ne?
027_00	Shin, kuma ba su gani ba cẽwa lalle Mũ, Munã kõra ruwa zuwa ga ƙasã ƙeƙasasshiya, sa'an nan Mu fitar, game da shi, wata shũka wadda dabbõbinsu, da su kansu ke ci daga gare ta? Ashe fa ba su gani ba?
028_00	Kuma sunã cẽwa, "Yaushe wannan hukunci yake, aukuwa idan kun kasance mãsu gaskiya?"
029_00	Ka ce: "Ranar hukuncin nan, ĩmãnin waɗanda suka kãfirta bã zai amfãne su ba (a cikinta) kuma bã zã a yi musu jinkiri ba."
030_00	Sabõda haka ka kau da kai daga barinsu, kuma, ka yi jira lalle, sũ ma mãsu jira ne.
