001_00	A. L̃. M̃.
002_00	Ashe, mutãne sun yi zaton a bar su su ce: "Mun yi ĩmãni," alhãli kuwa bã zã a fitine su ba?"
003_00	Kuma lalle Mun fitini waɗanda ke a gabãninsu, dõmin lalle Allah Ya san waɗanda suka yi gaskiya, kuma lalle Ya san maƙaryata.
004_00	Kõ waɗanda ke aikata miyãgun ayyuka sun yi zaton su tsẽre Mana? Abin da suke hukuntãwa ya mũnana.
005_00	Wanda ya kasance yanã fãtan gamuwa da Al1ah to lalle ajalin Allah mai zuwa ne, kuma (Allah) Shĩ ne Mai ji, Masani.
006_00	Kuma wanda ya yi jihãdi, to, yanã yin jihãdin ne dõmin kansa. lalle Allah haƙĩƙa waɗatacce ne daga barin tãlikai.
007_00	Kuma waɗanda suka yi ĩmãni, kuma suka aikata ayyukan ƙwarai, lalle Munã kankare musu miyãgun ayyukansu, kuma lalle Munã sãka musu da mafi kyaun abin da suka kasance sunã aikatãwa.
008_00	Kuma Mun yi wa mutum wasiyyar kyautatãwa ga uwayensa, kuma idan sun tsananta maka dõmin ka yi shirki da Ni game da abin da bã ka da ilmi gare shi, to, kada ka yi musu ɗã'ã.
008_01	Zuwa gare Ni makõmarku take sa'an nan In bã ku lãbari ga abin da kuka kasance kunã aikatãwa.
009_00	Kuma waɗanda suka yi ĩmãni, kuma suka aikata ayyukan ƙwarai, lalle Munã shigar da su a cikin mutãnen kirki.
010_00	Kuma daga cikin mutãne akwai mai cẽwa, 'Mun yi ĩmãni da Allah" sa'an nan idan aka cũce shi wajen aikin Allah, sai ya sanya fitinar mutãne kamar azãbar Allah kuma lalle
010_01	idan taimakon Ubangijinka ya zo, haƙĩƙa, ya kan ce: "Lalle mũ mun kasance tãre da ku." shin, Allah bai zama Mafi sani ba ga abin da ke a cikin ƙirãzan halittunSa?
011_00	Kuma lalle Allah na sanin waɗanda suka yi ĩmãni kuma lalle Yanã sanin munfukai.
012_00	Kuma waɗanda suka kãfirta suka ce wa waɗanda suka yi ĩmãni, "Ku bi hanyarmu, kuma Mu ɗauki laifuffukanku," alhãli kõwa ba su zamo mãsu ɗauka da a kõme ba daga laifuffukansu. Lalle sũ maƙaryata ne.
013_00	Kuma lalle sunã ɗaukar kãyan nauyinsu da waɗansu nauyãyan kãya tãre da kãyan nauyinsu, kuma lalle zã a tambaye su a Rãnar ¡iyama game da abin da suka kasance sunã ƙirƙirãwa na ƙarya.
014_00	Kuma lalle Mun aika Nũhu zuwa ga mutãnensa, sai ya zauna a cikinsu shẽkara dubu fãce shẽkara hamsin, sa'an nan cikowar (¦ũfãna) ta kãmã su, alhãli kuwa sũ ne mãsu zãlunci.
015_00	Sa'an nan Muka tsĩrar da shi da mutãnen jirgin, kuma Muka sanya jirgin ya zama wata ãyã ga tãlikai.
016_00	Da Ibrãhĩm a lõkacin da ya ce wa mutãnensa, "Ku bautã wa Allah ku bĩ Shi da taƙawa. Wannan Shĩ ne alhẽri a gare ku idan kun kasance kunã sani.
017_00	"Abin da dai kuke bautãwa, baiein Allah, gumaka ne, kuma kun ƙirƙira ƙarya. Lalle waɗannan da kuke bauta wa baicin Allah, bã su mallakã muku arziki.
017_01	Sabõda haka ku nẽmi arziki a wurin Allah kawai, kuma ku bauta Masa, kuma ku yi gõdiya zuwa gare Shi. Zuwa gare Shi ake mayar da ku.
018_00	"Kuma idan kun ƙaryata, to, lalle waɗansu al'ummõmi a gabãninku sun ƙaryata, kuma bãbu abin da ke kan Manzo, fãce iyar da manzanci, iyarwa bayyananna."
019_00	Shin, ba su ga yadda Allah ke fãra yin halitta ba, sa'an nan kuma Ya mayar da ita? Lalle wannan abu ne mai sauƙi ga Allah.
020_00	Ka ce: "Ku yi tafiya cikin ƙasa, sa'an nan ku dũba yadda (Allah) Ya fãra yin halitta, sa'an nan kuma Allah Yanã ƙãga wata halittar mayarwa. Lalle Allah Mai ikon yi ne a kan kõme.
021_00	"Yanã azabta wanda Ya so, kuma Yanã jin ƙan wanda Ya so. Kuma zuwa gare shi ake jũyaku."
