001_00	Inã rantsuwa da hantsi.
002_00	Da dare a lõkacin da ya rufe (da duhunsa).
003_00	Ubangijinka bai yi maka bankwana ba, kuma bai ƙĩ kaba.
004_00	Kuma lalle ta ƙarshe ce mafi alheri a gare ka daga ta farko.
005_00	Kuma lalle ne, Ubangijinka zai yi ta bã ka kyauta sai ka yarda.
006_00	Ashe, bai sãme ka marãya ba, sa'an nan Ya yi maka makõma?
007_00	Kuma Ya sãme ka bã ka da shari'ã, sai Ya shiryar da kai?
008_00	Kuma Ya sãme ka matalauci, sai Ya wadãtã ka?
009_00	Sabõda haka, amma marãya, to, kada ka rinjãye shi.
010_00	Kuma amma mai tambaya, kada ka yi masa tsãwa.
011_00	Kuma amma ni'imar Ubangijinka, sai ka faɗa (dõmin gõdiya).
