001_00	Abin da ke cikin sammai da ƙasa yã yi tasbĩhi ga Allah. Kuma Shĩ ne Mabuwãyi, Mai hikima.
002_00	Shĩ ne da mulkin sammai da ƙasa: Yanã rãyarwa kuma Yanã kashẽwa, kuma Shĩ Mai ikon yi ne a kan kõme.
003_00	Shĩ ne Na farko, Na ƙarshe, Bayyananne, Bõyayye, kuma Shĩ Masani ne ga dukkan kõme.
004_00	Shĩ ne wanda Ya halitta sammai da ƙasa a cikin wasu kwãnuka shida, sa'an nan Ya daidaitu a kan Al'arshi, Yanã sanin
004_01	abin da ke shiga cikin ƙasa da abin da ke fita daga gare ta, da abin da ke sauka daga sama da
004_02	abin da ke hawa cikinta, kuma Shĩ yanã tareda ku duk inda kuka kasance. Kuma Allah Mai gani ne ga abin da kuke aikatãwa.
005_00	Shĩ ne da mulkin sammai da ƙasa, kuma zuwa gare Shĩ (Allah) kawai ake mayar da al'amura.
006_00	Yanã shigar da dare a cikin yini, kuma Yanã shigar da yini a cikin dare, kuma Shi Masani ne ga abin da yake a cikin ƙirãza.
007_00	Ku yi ĩmãni da Allah da ManzonSa, kuma ku ciyar daga abin da Allah Ya wakilta ku a cikinsa (na dũkiya). To, waɗannan da suka yi ĩmãni daga cikinku, kuma suka ciyar, sunã da wani sakamako mai girma.
008_00	kuma me ya same ku, bã zã ku yi ĩmãni ba da Allah, alhãli kuwa manzonSa na kiran ku dõmin ku yi ĩmãni da Ubangijinku, kuma lalle Allah Ya karɓi alkawarinku (cẽwa zã ku bauta Masa)? (Ku bauta Masa) idan kun kasance mãsu ĩmãni.
009_00	Shĩ ne wanda ke sassaukar da ãyõyi bayyanannu ga BãwanSa, dõmin Ya fitar da ku daga duffai zuwa ga haske, kuma lalle Allah haƙĩƙa Mai tausayi ne gare ku, Mai jin ƙai.
010_00	Kuma me ya sãme ku, bã zã ku ciyar ba dõmin ɗaukaka kalmar Allah, alhãli kuwa gãdon sammai da ƙasã na Allah ne? Wanda ya ciyar a gabãnin cin nasara, kuma ya yi yãƙi daga cikinku, bã ya zama daidai (da wanda bai yi haka ba).
010_01	waɗancan ne mafĩfĩta girman daraja bisa ga waɗanda suka ciyar daga bãya kuma suka yi yãƙi. Kuma dukansu Allah Ya yi musu wa'adi da (sakamako) mai kyau, kuma Allah Masani ne ga abin da kuke aikatãwa.
011_00	Wãne ne wanda zai ranta wa Allah rance mai kyau dõmin Allah Ya ninka masa shi (a dũniya) kuma Yanã da wani sakamako na karimci (a Lãhira)?
012_00	Rãnar da zã ka ga mũminai maza da mũminai mãtã haskensu nã tafiya a gaba gare su, da kuma dãma gare su.
012_01	(Anã ce musu) "Bushãrarku a yau, ita ce gidajen Aljanna." Ruwa na gudãna daga ƙarƙashinsu sunã mãsu dawwama a cikinsu. Wannan, shĩ ne babban rabo mai girma.
013_00	Rãnar da munafikai maza da munãfikai mãtã ke cẽwa waɗanda suka yi ĩmãni: "Ku dũbẽ mu, mu yi makãmashi daga haskenku!" A ce (musu): "Ku kõma a bãyanku,
013_01	dõmin ku nẽmo wani haske." Sai a danne a tsakãninsu da wani gãru yanã da wani ƙyaure, a cikinsa nan rahama take, kuma a bãyansa daga wajensa azaba take.
014_00	Sunã kiran su, "Ashe, bã tãre muke da ku ba?" Su ce: "Ĩ, amma kũ, kun fitini kanku, kuma kun yi jiran wata
014_01	masĩfa, kuma kunyi shakka, kuma waɗansu gũrace-gũrace sun rũɗe ku, har umurnin Allah ya jẽ muku, kumamarũɗi ya rũɗe ku game da Allah."
015_00	"To, a yau bã zã a karɓi fansa daga gare ku ba. Kuma bã zã a karɓa daga waɗanda suka kãfirta ba. Makõmarku wutã ce, ita ce mai dacẽwa da ku, kuma makõmarku ɗin nan tã mũnana."
016_00	Shin, lõkaci bai yi ba ga wa ɗanda suka yi ĩmãnĩ zukãtansu su yi tawãlu'i ga ambaton Allah da abin da ya sauka daga gaskiya?
016_01	Kada su kasance kamar waɗanda aka bai wa littãfi a gabãnin haka, sai zãmani ya yi tsawo a kansu, sabõda haka zukãtansu suka ƙẽƙashe, kuma masu yawa daga cikinsu fãsiƙai ne.
017_00	Ku sani cẽwa Allah Yanã rãyar da ƙasã a bãyan mutuwarta. Lalle Mun bayyanamuku ãyõyi da fatan zã ku yi hankali.
018_00	Lalle mãsu gaskatãwa maza da mãsu gaskatãwa mãtã, kuma suka ranta wa Allah rance mai kyau, anã riɓanya musu, kuma suna da wani sakamako na karimci.
019_00	Kuma waɗanda suka yi ĩmãni da Allah da MazanninSa waɗannan sũ ne kamãlar gaskatãwa kuma su ne mãsu shahãda awurin Ubangjinsu.
019_01	sunã da sakamakonsu da haskensu. waɗanda suka kafirta kuma suka ƙaryata game da ãyõyinMu, waɗannan su ne'yan Jahĩm.
020_00	Ku sani cẽwa rãyuwar dũniya wãsã ɗai ce da shagala da ƙawa da alafahri a tsakãninku da gãsar wadãta ta dũkiya da ɗiya, kamar misãlin shũka wadda yabanyarta ta bãyar da sha'awa ga manõma, sa'an nan ta ƙẽƙashe, har ka ganta tã zama rawaya sa'an nan ta kõma rauno.
020_01	Kuma, alãmra akwai azãba mai tsanani da gãfara daga Allah da yarda.
020_02	Kuma rãyuwar dũniya ba ta zama ba fãce ɗan jin dãɗin rũɗi kawai.
021_00	Ku yi tsẽre zuwa ga (nẽman) gãfara daga Ubangjinku, da Aljanna fãɗinta kamar fãɗin samã da ƙasã ne, an yi tattalinta dõmin waɗanda suka yi ĩmãni da Allah da ManzanninSa.
021_01	Wannan falalar Allah ce, Yanã bãyar da ita ga wanda Ya so. Kuma Allah Mai falala ne Mai girma.
022_00	Wata masifa bã zã ta auku ba a cikin ƙasã kõ a cikin rayukanku fãce tanã a cikin littãfi a gabãnin Mu halitta ta. Lalle wannan, ga Allah, mai sauƙi ne.
023_00	Dõmin kada ku yi baƙin ciki a kan abin da ya kuɓuce muku, kuma kada ku yi mumar alfahari da abin da Ya bã ku. Kuma Allah bã Ya son dukkan mai tãƙama, mai alfahari.
024_00	Watau, waɗanda ke yin rõwa, kuma sunã umumin mutãne da yin rõwa. Kuma wanda ya jũya bãya, to, lalle Allah, Shĩ ne kaɗai Mawadãci, Gõdadde.
025_00	Haƙĩƙa, lalle Mun aiko ManzanninMu da hujjõji bayyanannu, kuma Muka saukar da Littãfi da sikẽli tãre da su dõmin mutãne su tsayu da ãdalci, kuma Mun saukar da baƙin ƙarfe, a cikinsa akwai cutarwa mai tsanani da amfãni ga mutãne, kuma dõmin Allah Ya san mai taimakonSa da ManzanninSa a fake.
025_01	Lalle ne Allah Mai ƙarfi ne, Mabuwãyi.
026_00	Kuma haƙĩƙa, lalle, Mun aiki Nũhu da Ibrahĩm, kuma Muka sanya Annabci da Littĩfi a cikin zuriyarsu; daga cikinsu akwai mai nẽman shiryuwa, kuma mãsu yawa daga cikinsu fasiƙai ne.
