001_00	¦. S̃. Waɗancan ãyõyinAlƙur'ãni ne da Littãfi mai bayyanawa.
002_00	Shiriya ce da bushãra ga mũminai.
003_00	Waɗanda suke tsayar da salla kuma su bãyar da zakka, alhãli kuwa sũ, game da Lãhira, to, sũ, sunã yin yaƙĩni.
004_00	Lalle ne waɗanda suke bã su yin ĩmãni da Lãhira, Mun ƙawãta musu ayyukansu, sabõda haka sunã ɗimuwa.
005_00	Waɗannan ne waɗanda suke sunã da mugunyar azãba (a dũniya), kuma sũ, a Lãhira, sũ ne mafiya hasãra.
006_00	Kuma lalle ne haƙĩƙa, anã haɗa ka da Alƙur'ãni daga gun Mai hikima, Masani.
007_00	A lõkacin da Mũsã ya ce wa iyãlinsa "Lalle ni, na tsinkãyi wata wuta, ni mai zo muku daga gare ta ne, da wani lãbari, ko kuwa mai zo muku ne da Yũla, makãmashi, tsammãninku, ku ji ɗimi."
008_00	To, a lõkacin da ya jẽ mata, sai aka kira shi cẽwa, "An tsarkake wanda yake cikin (wurin) wutar da yanda yake a gẽfenta kuma tsarki ya tabbata ga Allah Ubangijin halittu."
009_00	"Yã Mũsã lalle ne shi, Nĩ ne Allah, Mabuwãyi, Mai hikima."
010_00	"Kuma ka jẽfa sandarka." To, a lõkacin da ya gan ta tanã girgiza kamar dai ita ƙaramin macĩji ne, sai ya jũya yanã mai bãyar da bãya, kuma bai kõma ba, "Yã Musã! Kada ka ji tsõro lalle Ni, Manzanni bã sujin tsõro a wuriNa."
011_00	"Sai wanda ya yi zãlunci, sa'an nan ya musanya kyau a bãyan cũta, to, lalle Nĩ, Mai gãfara ne, Mai jin ƙai."
012_00	"Kuma ka shigar da hannunka a cikin wuyan rĩgarka, ya fita fari, bãbu wata cũta, a cikinwasu ãyõyi tara zuwa ga Fir'auna da mutãnensa. Lalle ne sũ, sun kasance mutãne ne fãsiƙai."
013_00	To, a lõkacin da ãyõyinMu suka jẽ musu, sunã mãsu wãyar da kai suka ce wannan sihiri ne bayyananne.
014_00	Kuma suka yi musunsu, alhãli zukãtansu sun natsu da su dõmin zãlunci da girman kai. To, ka dũbi yadda ãƙibar maɓarnata ta kasance.
015_00	Kuma lalle ne, haƙĩƙa, Mun bai wa Dãwũda da Sulaimãn ilmi kuma suka ce: "Gõdiya ta tabbata ga Allah, Wanda Ya fĩfĩta mu a kan mãsu yawa daga bãyinSa mũminai."
016_00	Kuma sulaimãn ya gãji Dãwũda ya ce: "Yã ku mutãne! An sanar da mu maganar tsuntsãye, kuma an bã mu daga kõwane abu. Lalle ne wannan haƙĩƙa shi ne falalar (Allah) bayyananna."
017_00	Kuma aka tattara, dõmin Sulaimãn, rundunõninsa, daga aljannu da mutãne da tsuntsãye, to, sũ anã kange su (ga tafiya).
018_00	Har a lõkacin da suka je a kan rãfin turũruwa wata turũruwa ta ce, "Yã kũ jama'ar turũruwa! Ku shiga gidãjenku, kada Sulaimãn da rundunõninsa su kakkarya ku, alhãli kuwa sũ, ba su sani ba."
019_00	Sai ya yi murmushi yanã mai dãriya daga maganarta, kuma ya ce, "Yã Ubangijĩna!
019_01	Ka cũsa mini in gõde wa ni'imarKa wadda Ka ni'imta ta a gare ni da kuma ga mahaifãna biyu, kuma in aikata aiki na ƙwarai, wanda Kake yarda da shi, kuma Ka shigar da ni, sabõda rahamarKa, a cikin bãyinKa sãlihai."
020_00	Kuma ya binciki tsuntsãye, sai ya ce: "Me ya kãre ni bã ni ganin hudhudu, kõ ya kasance daga mãsu fakuwa ne?"
021_00	"Lalle ne zã ni azabta shi azãba mai tsanani kõ kuwa lalle in yanka shi, kõ kuwa lalle ya zo mini da dalĩli bayyananne."
022_00	Sai ya zauna bã nẽsa ba, sa'an nan ya ce: "Nã san abin da ba ka sani ba, kuma na zo maka daga Saba da wani lãbari tabbatacce."
023_00	"Lalle ni nã sãmi wata mace wadda tanã mulkinsu kuma an bã ta daga dukkan kõme, kuma tanã da gadon sarauta mai girma.
024_00	"Na sãme ta ita da mutãnenta, sunã yin sujada ga rãnã, baicin Allah, kuma Shaiɗan ya ƙawãce musu ayyukansu, sabõda haka ya karkatar da su daga hanya, sa'an nan sũ, ba su shiryuwa."
025_00	"Ga su yi sujada ga Allah Wanda Yake fitar da abin da yake a ɓõye, a cikin sammai da ƙasa, kuma Yã san abin da kuke ɓõyẽwada abin da kuke bayyanãwa."
026_00	"Allah bãbu abin bautãwa fãce shĩ Ubangijin Al'arshi, mai girma."
027_00	Ya ce: "Za mu dũba shin kã yi gaskiya ne, kõ kuwa kã kasance daga maƙaryata?"
028_00	"Ka tafi da takardata wannan, sa'an nan ka jẽfa ta zuwa gare su, sa'an nan kuma ka jũya daga barinsu, sa'an nan ka ga mẽne ne suke mayarwa."
029_00	Ta ce: "Yã kũ mashawarta! Lalle ne, an jẽfo, zuwa gareni, wata takarda mai girma."
030_00	"Lalle ita daga Sulaiman take, kuma lalle ita da sũnan Allah, Mai rahama, Mai jin ƙai ne."
031_00	"Kada ku yi girman kai a gare ni, kuma ku zo mini kunã mãsu sallamãwa."
032_00	Ta ce: "Yã ku mashawarta! Ku yi Mini fatawa ga al'amarĩna, ban kasance mai yanke wani al'amari ba, sai kun halarta."
033_00	Suka ce: "Mũ ma'abũta ƙarfi ne, kuma ma'abbũta yãƙi mai tsanani ne, kuma al'amari yã kõma zuwa gare ki, sabõda haka ki dũbamẽne ne zã ki yi umurui (da shi)?"
034_00	Ta ce: "Lalle sarakuna idan sun shiga wata alƙarya, sai su ɓãta ta, kuma su sanya mãsu darajar mutãnenta ƙasƙantattu. Kuma kamar wancan ne suke likatãwa."
035_00	"Kuma lalle nĩ mai aikãwa ce zuwa gare su da kyauta, sa'an nan mai dũbawa ce: Da me manzannin zã su kõmo."
036_00	To, a lõkacin da ya jẽ wa Sulaiman ya ce: "Shin, za ku ƙãra ni da dũkiya ne? To, abin daAllah Ya bã ni, shi ne mafi alhẽridaga abin da Ya bã ku. A'a, kũ nekuke yin farin ciki da kyautarku."
