001_00	Lalle ne, Mũminai sun sãmi babban rabõ.
002_00	Waɗanda suke a cikin sallarsu mãsu tawãli'u ne.
003_00	Kuma waɗanda suke, sũdaga barin yasassar magana, mãsu kau da kai ne.
004_00	Kuma waɗanda suke ga zakka mãsu aikatãwa ne.
005_00	Kuma waɗanda suke ga farjõjinsu mãsu tsarẽwa ne.
006_00	Fãce a kan mãtan aurensu, kõ kuwa abin da hannayen dãmansu suka mallaka to lalle sũ bã waɗanda ake zargi, ba, ne.
007_00	Sabõda haka wanda ya nẽmi abin da ke bãyan wancan, to, waɗancan sũ ne mãsu ƙẽtarẽwar haddi.
008_00	Kuma waɗanda suke, sũga amãnõninsu da alkawarinsu mãsu tsarẽwa ne.
009_00	Kuma da waɗanda suke, sũ a kan sallõlinsu sunã tsarẽwa.
010_00	Waɗannan, sũ ne magãda.
011_00	Waɗanda suke gãdõn (Aljannar) Firdausi, su a cikinta madawwama ne.
012_00	Kuma lalle ne, haƙĩƙa, Mun halitta mutum daga wani tsantsa daga lãka.
013_00	Sa'an nan kuma Muka sanya shi, ɗigon maniyyi a cikin matabbata natsattsiya.
014_00	Sa'an nan kuma Muka halitta shi gudan jini, sa'an nan Muka halitta gudan jinin tsõka, sa'an nan Muka halitta tsõkar ta zama ƙasũsuwa, sa'an nan Muka tufãtar da ƙasũsuwan da wani nãma sa'an nan kuma Muka ƙãga shi wata halitta dabam.
014_01	Sabõda haka albarkun Allah sun bayyana, Shi ne Mafi kyaun mãsu halittawa.
015_00	Sa'an nan kuma ku, bãyan wannan, lalle ne masu mutuwa ne.
016_00	Sa'an nan kuma lalle ne kũ a Rãnar ¡iyãma, za a iãyar da ku,
017_00	Kuma lalle ne haƙĩƙa Mun halitta, a samanku, hanyõyi bakwai, kuma ba Mu kasance, daga barin halittar, Mãsu shagala ba.
018_00	Muka saukar da ruwa daga sama bisa gwargwado, sa'an nan Muka zaunar da shi a cikin ƙasa alhãli, lalle ne Mũ, a kan tafiyar da shi, Mãsu iyãwa ne.
