001_00	A. L̃. M̃.
002_00	Waɗancan ãyõyin Littãfin ne mai hikima.
003_00	Shiriya da rahama ne ga mãsu kyautatawa.
004_00	Waɗanda ke tsai da salla kuma sunã ɓãyar da zakka kuma sũ, sunã yin ĩmãnin yaƙĩni, ga lãhira.
005_00	Waɗannan sunã a kan shiriya ta daga Ubangijinsu kuma waɗannan sũ ne mãsu babban rabo.
006_00	Kuma akwai daga cikin mutãne wanda ke sayen tãtsuniyõyi dõmin ya ɓatar da mutãne daga hanyar Allah, bã da wani ilmi ba, kuma ya riƙe ta abin izgili! Waɗancan sunã da wata azãba mai wulãkantãwa.
007_00	Kuma idan an karanta ãyõyinMu a gare shi, sai ya jũya bãya, yanã mai girman kai, kamar dai bai saurãre su ba kamar dai akwai wanĩ danni a kan kunnuwansa! To, ka yi masa bushãra da azãba mai raɗaɗi.
008_00	Lalle, waɗanda suka yi ĩmãni, kuma suka aikata ayyukan ƙwarai, sunã da gidãjen Aljannar ni'ima.
009_00	Sunã dawwama a cikinsu Allah Yã yi alkawarin, Ya tabbatar da shi. Kuma shĩ ne Mabuwãyi, Mai hikima.
010_00	(Allah) Ya halitta sammai, bã da ginshiƙi wanda kuke gani ba, kuma Yã jẽfa duwatsu mãsu kafuwa a cikin ƙasã, dõmin kada ta karkata da ku kuma Ya wãtsa
010_01	daga kowanc irin dabba a cikinta, kuma Mun saukar da ruwa daga sama, sa'an nan Muka tsirar a cikinta, daga kõwane nau'i biyu (nami; i da mace) mai ban sha'awa.
011_00	Wannan shĩ ne halittar Allah. To ku nũna mini, "Mẽne ne waɗanan da ba Shi ba suka halitta? Ã'a, azzalumai sunã a cikin ɓata bayyananna."
012_00	Kuma lalle haƙĩƙa Mun bai wa Luƙmãn hikima. (Muka ce masa) Ka gõde wa Allah, kuma wanda ya gõde, to yanã gõdẽwa ne dõmin kansa kawai kuma wanda ya kãfirta, to, lalle, Allah Mawadãci ne, Gõdadde.
