001_00	Inã rantsuwa da alfijiri.
002_00	Da darũruwa gõma.
003_00	Da (adadi na) cikã da (na) mãrã.
004_00	Da dare idan yana shũɗewa.
005_00	Ko a cikin waɗannan akwai abin rantsuwa ga mai hankali (da yake kange shi daga zunubi)?
006_00	Ba ka ga yadda Ubangijinka Ya aikata da Ãdãwa ba?
007_00	Iramawa mãsu sakon ƙĩrar jiki.
008_00	Waɗanda ba a halitta kwatankwacinsu ba a cikin garũruwa (na dũniya).
009_00	Da samũdãwa waɗanda suka fasa duwãtsu a cikin Wadi suka yi gidãje)?
010_00	Da Fir'auna mai turãku.
011_00	Waɗanda suka ƙẽtare iyãkarsu, a cikin garũruwa?
012_00	Sabõda haka, suka yawaita yin ɓarna a cikinsu.
013_00	Sabõda haka Ubangijinka Ya zuba musu bũlãlar azãba.
014_00	Lalle ne, Ubangijinka Yana nan a mafaka.
015_00	To, amma fa mutum idan Ubangijibsa Ya jarraba shi, wãto Yã girmama shi kuma Ya yi masa ni'ima, sai ya ce: "Ubangijina Ya girmama ni."
016_00	Kuma idan Ya jarraba shi, wãto Ya ƙuntata masa abincinsa, sai ya ce: "Ubangijina Ya walãkanta ni."
017_00	A'aha! Bari wannan, ai bã ku girmama marãya!
018_00	Bã ku kwaɗaitã wa jũnanku ga (tattalin) abincin matalauci!
019_00	Kuma kuna cin dũkiyar gãdo, ci na tãrãwa.
020_00	Kuma kuna son dũkiya, so mai yawa.
021_00	A'aha! Idan aka niƙa ƙasa niƙewa sosai.
022_00	Kuma Ubangijinka Ya zo, alhãli malã'iku na jẽre, safũ- safu.
023_00	Kuma a ranar nan aka zo da Jahannama. A ranar nan mutum zai yi tunãni. To, inã fa tunãni yake a gare shi!
024_00	Yana dinga cẽwa, "Kaitona, dã na gabatar (da aikin ƙwarai) domin rãyuwata!"
025_00	To, a rãnar nan bãbu wani mai yin azãba irin azãbar Allah.
026_00	Kuma bãbu wani mai ɗauri irin ɗaurinSa.
027_00	Yã kai rai mai natsuwa!
028_00	Ka koma zuwa ga Ubangijinka, alhãli kana mai yarda (da abin da Ya ƙaddara maka a dũniya) abar yardarwa (da sakamakon da zã a ba ka a Lãhira).
029_00	Sabõbda haka, ka shiga cikin bãyiNa (mãsu bin umurui a dũniya).
030_00	Kuma ka shiga AljannaTa (a Lãhira).
