001_00	Demi (angin) yang menerbangkan debu dengan kuat.
002_00	dan awan yang mengandung hujan,
003_00	dan kapal-kapal yang berlayar dengan mudah.
004_00	dan (malaikat-malaikat) yang membagi-bagi urusan,
005_00	sesungguhnya apa yang dijanjikan kepadamu pasti benar.
006_00	dan sesungguhnya (hari) pembalasan pasti terjadi.
007_00	Demi langit yang mempunyai jalan-jalan,
008_00	sesungguhnya kamu benar-benar dalam keadaan berbeda pendapat,
009_00	dipalingkan daripadanya (Rasul dan Al-Quran) orang yang dipalingkan.
010_00	Terkutuklah orang-orang yang banyak berdusta,
011_00	(yaitu) orang-orang yang terbenam dalam kebodohan yang lalai,
012_00	mereka bertanya: "Bilakah hari pembalasan itu?"
013_00	(Hari pembalasan itu) ialah pada hari ketika mereka diazab di atas api neraka.
014_00	(Dikatakan kepada mereka): "Rasakanlah azabmu itu. Inilah azab yang dulu kamu minta untuk disegerakan".
015_00	Sesungguhnya orang-orang yang bertakwa itu berada dalam taman-taman (surga) dan mata air-mata air,
016_00	sambil menerima segala pemberian Rabb mereka. Sesungguhnya mereka sebelum itu di dunia adalah orang-orang yang berbuat kebaikan.
017_00	Di dunia mereka sedikit sekali tidur diwaktu malam.
018_00	Dan selalu memohonkan ampunan diwaktu pagi sebelum fajar.
019_00	Dan pada harta-harta mereka ada hak untuk orang miskin yang meminta dan orang miskin yang tidak mendapat bagian.
020_00	Dan di bumi itu terdapat tanda-tanda (kekuasaan Allah) bagi orang-orang yang yakin.
021_00	dan (juga) pada dirimu sendiri. Maka apakah kamu tidak memperhatikan?
022_00	Dan di langit terdapat (sebab-sebab) rezekimu dan terdapat (pula) apa yang dijanjikan kepadamu.
023_00	Maka demi Tuhan langit dan bumi, sesungguhnya yang dijanjikan itu adalah benar-benar (akan terjadi) seperti perkataan yang kamu ucapkan.
024_00	Sudahkah sampai kepadamu (Muhammad) cerita tentang tamu Ibrahim (yaitu malaikat-malaikat) yang dimuliakan?
025_00	(Ingatlah) ketika mereka masuk ke tempatnya lalu mengucapkan: "Salaamun". Ibrahim menjawab: "Salaamun (kamu) adalah orang-orang yang tidak dikenal".
026_00	Maka dia pergi dengan diam-diam menemui keluarganya, kemudian dibawanya daging anak sapi gemuk.
027_00	Lalu dihidangkannya kepada mereka. Ibrahim lalu berkata: "Silahkan anda makan".
028_00	(Tetapi mereka tidak mau makan), karena itu Ibrahim merasa takut terhadap mereka. Mereka berkata: "Janganlah kamu takut", dan mereka memberi kabar gembira kepadanya dengan (kelahiran) seorang anak yang alim (Ishak).
029_00	Kemudian isterinya datang memekik lalu menepuk mukanya sendiri seraya berkata: "(Aku adalah) seorang perempuan tua yang mandul".
030_00	Mereka berkata: "Demikianlah Tuhanmu memfirmankan" Sesungguhnya Dialah yang Maha Bijaksana lagi Maha Mengetahui.
031_00	Ibrahim bertanya: "Apakah urusanmu hai para utusan?"
032_00	Mereka menjawab: "Sesungguhnya kami diutus kepada kaum yang berdosa (kaum Luth),
033_00	agar kami timpakan kepada mereka batu-batu dari tanah,
034_00	yang ditandai di sisi Tuhanmu untuk membinasakan orang-orang yang melampaui batas".
035_00	Lalu Kami keluarkan orang-orang yang beriman yang berada di negeri kaum Luth itu.
036_00	Dan Kami tidak mendapati negeri itu, kecuali sebuah rumah dari orang yang berserah diri.
037_00	Dan Kami tinggalkan pada negeri itu suatu tanda bagi orang-orang yang takut kepada siksa yang pedih.
038_00	Dan juga pada Musa (terdapat tanda-tanda kekuasaan Allah) ketika Kami mengutusnya kepada Fir'aun dengan membawa mukjizat yang nyata.
