001_00	Haa Miim.
002_00	Demi Kitab (Al Quran) yang menerangkan.
003_00	Sesungguhnya Kami menjadikan Al Quran dalam bahasa Arab supaya kamu memahami(nya).
004_00	Dan sesungguhnya Al Quran itu dalam induk Al Kitab (Lauh Mahfuzh) di sisi Kami, adalah benar-benar tinggi (nilainya) dan amat banyak mengandung hikmah.
005_00	Maka apakah Kami akan berhenti menurunkan Al Quran kepadamu, karena kamu adalah kaum yang melampaui batas?
006_00	Berapa banyaknya nabi-nabi yang telah Kami utus kepada umat-umat yang terdahulu.
007_00	Dan tiada seorang nabipun datang kepada mereka melainkan mereka selalu memperolok-olokkannya.
008_00	Maka telah Kami binasakan orang-orang yang lebih besar kekuatannya dari mereka itu (musyrikin Mekah) dan telah terdahulu (tersebut dalam Al Quran) perumpamaan umat-umat masa dahulu.
009_00	Dan sungguh jika kamu tanyakan kepada mereka: "Siapakah yang menciptakan langit dan bumi?", niscaya mereka akan menjawab: "Semuanya diciptakan oleh Yang Maha Perkasa lagi Maha Mengetahui".
010_00	Yang menjadikan bumi untuk kamu sebagai tempat menetap dan Dia membuat jalan-jalan di atas bumi untuk kamu supaya kamu mendapat petunjuk.
011_00	Dan Yang menurunkan air dari langit menurut kadar (yang diperlukan) lalu Kami hidupkan dengan air itu negeri yang mati, seperti itulah kamu akan dikeluarkan (dari dalam kubur).
012_00	Dan Yang menciptakan semua yang berpasang-pasangan dan menjadikan untukmu kapal dan binatang ternak yang kamu tunggangi.
013_00	Supaya kamu duduk di atas punggungnya kemudian kamu ingat nikmat Tuhanmu apabila kamu telah duduk di atasnya; dan supaya kamu mengucapkan: "Maha Suci Tuhan yang telah menundukkan semua ini bagi kami padahal kami sebelumnya tidak mampu menguasainya,
014_00	dan sesungguhnya kami akan kembali kepada Tuhan kami".
015_00	Dan mereka menjadikan sebahagian dari hamba-hamba-Nya sebagai bahagian daripada-Nya. Sesungguhnya manusia itu benar-benar pengingkar yang nyata (terhadap rahmat Allah).
016_00	Patutkah Dia mengambil anak perempuan dari yang diciptakan-Nya dan Dia mengkhususkan buat kamu anak laki-laki.
017_00	Padahal apabila salah seorang di antara mereka diberi kabar gembira dengan apa yang dijadikan sebagai misal bagi Allah Yang Maha Pemurah; jadilah mukanya hitam pekat sedang dia amat menahan sedih.
018_00	Dan apakah patut (menjadi anak Allah) orang yang dibesarkan dalam keadaan berperhiasan sedang dia tidak dapat memberi alasan yang terang dalam pertengkaran.
