001_00	Apabila langit terbelah,
002_00	dan apabila bintang-bintang jatuh berserakan,
003_00	dan apabila lautan menjadikan meluap,
004_00	dan apabila kuburan-kuburan dibongkar,
005_00	maka tiap-tiap jiwa akan mengetahui apa yang telah dikerjakan dan yang dilalaikannya.
006_00	Hai manusia, apakah yang telah memperdayakan kamu (berbuat durhaka) terhadap Tuhanmu Yang Maha Pemurah.
007_00	Yang telah menciptakan kamu lalu menyempurnakan kejadianmu dan menjadikan (susunan tubuh)mu seimbang,
008_00	dalam bentuk apa saja yang Dia kehendaki, Dia menyusun tubuhmu.
009_00	Bukan hanya durhaka saja, bahkan kamu mendustakan hari pembalasan.
010_00	Padahal sesungguhnya bagi kamu ada (malaikat-malaikat) yang mengawasi (pekerjaanmu),
011_00	yang mulia (di sisi Allah) dan mencatat (pekerjaan-pekerjaanmu itu),
012_00	mereka mengetahui apa yang kamu kerjakan.
013_00	Sesungguhnya orang-orang yang banyak berbakti benar-benar berada dalam surga yang penuh kenikmatan,
014_00	dan sesungguhnya orang-orang yang durhaka benar-benar berada dalam neraka.
015_00	Mereka masuk ke dalamnya pada hari pembalasan.
016_00	Dan mereka sekali-kali tidak dapat keluar dari neraka itu.
017_00	Tahukah kamu apakah hari pembalasan itu?
018_00	Sekali lagi, tahukah kamu apakah hari pembalasan itu?
019_00	(Yaitu) hari (ketika) seseorang tidak berdaya sedikitpun untuk menolong orang lain. Dan segala urusan pada hari itu dalam kekuasaan Allah.
