001_00	Apabila terjadi hari kiamat,
002_00	tidak seorangpun dapat berdusta tentang kejadiannya.
003_00	(Kejadian itu) merendahkan (satu golongan) dan meninggikan (golongan yang lain),
004_00	apabila bumi digoncangkan sedahsyat-dahsyatnya,
005_00	dan gunung-gunung dihancur luluhkan seluluh-luluhnya,
006_00	maka jadilah ia debu yang beterbangan,
007_00	dan kamu menjadi tiga golongan.
008_00	Yaitu golongan kanan. Alangkah mulianya golongan kanan itu.
009_00	Dan golongan kiri. Alangkah sengsaranya golongan kiri itu.
010_00	Dan orang-orang yang beriman paling dahulu,
011_00	Mereka itulah yang didekatkan kepada Allah.
012_00	Berada dalam jannah kenikmatan.
013_00	Segolongan besar dari orang-orang yang terdahulu,
014_00	dan segolongan kecil dari orang-orang yang kemudian
015_00	Mereka berada di atas dipan yang bertahta emas dan permata,
016_00	seraya bertelekan di atasnya berhadap-hadapan.
017_00	Mereka dikelilingi oleh anak-anak muda yang tetap muda,
018_00	dengan membawa gelas, cerek dan minuman yang diambil dari air yang mengalir,
019_00	mereka tidak pening karenanya dan tidak pula mabuk,
020_00	dan buah-buahan dari apa yang mereka pilih,
021_00	dan daging burung dari apa yang mereka inginkan.
022_00	Dan ada bidadari-bidadari bermata jeli,
023_00	laksana mutiara yang tersimpan baik.
024_00	Sebagai balasan bagi apa yang telah mereka kerjakan.
025_00	Mereka tidak mendengar di dalamnya perkataan yang sia-sia dan tidak pula perkataan yang menimbulkan dosa,
026_00	akan tetapi mereka mendengar ucapan salam.
027_00	Dan golongan kanan, alangkah bahagianya golongan kanan itu.
028_00	Berada di antara pohon bidara yang tak berduri,
029_00	dan pohon pisang yang bersusun-susun (buahnya),
030_00	dan naungan yang terbentang luas,
031_00	dan air yang tercurah,
032_00	dan buah-buahan yang banyak,
033_00	yang tidak berhenti (berbuah) dan tidak terlarang mengambilnya.
034_00	dan kasur-kasur yang tebal lagi empuk.
035_00	Sesungguhnya Kami menciptakan mereka (bidadari-bidadari) dengan langsung
036_00	dan Kami jadikan mereka gadis-gadis perawan.
037_00	penuh cinta lagi sebaya umurnya.
038_00	(Kami ciptakan mereka) untuk golongan kanan,
039_00	(yaitu) segolongan besar dari orang-orang yang terdahulu.
040_00	dan segolongan besar pula dari orang-orang yang kemudian.
041_00	Dan golongan kiri, siapakah golongan kiri itu?
042_00	Dalam (siksaan) angin yang amat panas, dan air panas yang mendidih,
043_00	dan dalam naungan asap yang hitam.
044_00	Tidak sejuk dan tidak menyenangkan.
045_00	Sesungguhnya mereka sebelum itu hidup bermewahan.
046_00	Dan mereka terus-menerus mengerjakan dosa besar.
047_00	Dan mereka selalu mengatakan: "Apakah bila kami mati dan menjadi tanah dan tulang belulang, apakah sesungguhnya kami akan benar-benar dibangkitkan kembali?
048_00	apakah bapak-bapak kami yang terdahulu (juga)?"
049_00	Katakanlah: "Sesungguhnya orang-orang yang terdahulu dan orang-orang yang terkemudian,
050_00	benar-benar akan dikumpulkan di waktu tertentu pada hari yang dikenal.
051_00	Kemudian sesungguhnya kamu hai orang-orang yang sesat lagi mendustakan,
052_00	benar-benar akan memakan pohon zaqqum,
053_00	dan akan memenuhi perutmu dengannya.
054_00	Sesudah itu kamu akan meminum air yang sangat panas.
055_00	Maka kamu minum seperti unta yang sangat haus minum.
056_00	Itulah hidangan untuk mereka pada hari Pembalasan".
