001_00	Неминуемое (День воскресения)!
002_00	Что такое Неминуемое (День воскресения)?
003_00	Откуда ты мог знать, что такое Неминуемое (День воскресения)?
004_00	Самудяне и адиты отрицали Великое бедствие (День воскресения).
005_00	Самудяне были истреблены неистовым воплем.
006_00	Адиты же были истреблены ветром морозным (или завывающим), лютым.
007_00	Он заставил его бушевать над ними в течение семи ночей и восьми дней без перерыва, и ты мог бы увидеть людей, которые были повержены, словно рухнувшие сгнившие пальмовые стволы.
008_00	Видишь ли ты что-либо оставшееся от них?
009_00	Фараон, его предшественники и опрокинутые селения (селения народа Лута) совершали грехи.
010_00	Они ослушались посланника своего Господа, и Он схватил их Хваткой превосходящей.
011_00	Когда вода стала разливаться, Мы повезли вас в плавучем ковчеге,
012_00	чтобы он стал для вас напоминанием и чтобы запоминающее ухо запомнило это.
013_00	Когда же подуют в Рог всего один раз,
014_00	когда земля и горы будут подняты и разобьются, превратившись в песок за один раз,
015_00	в тот день наступит Событие (День воскресения).
016_00	Небо разверзнется, ибо оно в тот день будет слабым.
017_00	Ангелы будут находиться по его краю, и восьмеро понесут над собой Трон твоего Господа.
018_00	В тот день вы предстанете, и ни одна ваша тайна не останется сокрытой.
019_00	Тот, кому его книга будет дана в правую руку, скажет: «Вот! Прочтите мою книгу!
020_00	Я верил в то, что мне предъявят счет».
021_00	Для него будет отрадная жизнь
022_00	в вышнем саду,
023_00	где плоды склоняются низко.
024_00	Ешьте и пейте во здравие за то, что вы совершили в минувшие дни!
025_00	Тот же, кому его книга будет дана в левую руку, скажет: «Лучше бы мне не вручали моей книги!
026_00	Не знать бы мне, каков мой счет!
027_00	Лучше бы она была концом всего!
028_00	Не помогло мне мое богатство!
029_00	Лишился я своей власти!».
030_00	Схватите его и закуйте,
031_00	потом бросьте его в Ад
032_00	и нанизьте его на цепь длиной в семьдесят локтей!
033_00	Он не веровал в Великого Аллаха
034_00	и не призывал кормить бедняка.
035_00	Сегодня здесь у него нет любящего родственника,
036_00	и нет пищи, кроме кровавого гноя.
037_00	Едят его только грешники.
038_00	О да! Клянусь тем, что вы видите,
039_00	и тем, чего вы не видите!
040_00	Это - слова благородного посланца (Мухаммада или Джибрила).
041_00	Это - не слова поэта. Мало же вы веруете!
042_00	Это - не слова прорицателя. Мало же вы поминаете назидания!
043_00	Это - Ниспослание от Господа миров.
044_00	Если бы он приписал Нам некоторые слова,
045_00	то Мы схватили бы его за правую руку (или схватили бы его крепко),
046_00	а потом перерезали бы ему аорту,
047_00	и никто из вас не избавил бы его.
048_00	Воистину, это - Назидание для богобоязненных.
049_00	Нам известно, что среди вас есть считающие его ложью.
050_00	Воистину, это - горе для неверующих.
051_00	Воистину, это - убедительная истина.
052_00	Прославляй же имя Господа твоего Великого!
