001_00	Когда небо разверзнется
002_00	и внемлет своему Господу, как ему надлежит,
003_00	когда земля будет распростерта,
004_00	извергнет то, что в ней, и опустеет,
005_00	и внемлет своему Господу, как ей надлежит...
006_00	О человек! Ты стремишься к своему Господу и встретишься с Ним.
007_00	Тот, кому его книга будет вручена в правую руку,
008_00	получит легкий расчет
009_00	и вернется к своей семье радостным.
010_00	А тот, кому его книга будет вручена из-за спины,
011_00	станет призывать погибель
012_00	и войдет в Пламень.
013_00	Он радовался, находясь в кругу своей семьи,
014_00	и полагал, что не вернется обратно.
015_00	Но нет! Господь его видел его.
016_00	Но нет! Клянусь вечерней зарею!
017_00	Клянусь ночью и тем, что она собирает!
018_00	Клянусь луной в полнолуние!
019_00	Вы переходите из одного состояния в другое.
020_00	Почему же они не веруют
021_00	и не падают ниц, когда им читают Коран?
022_00	Но неверующие считают это ложью,
023_00	Аллаху же лучше знать, что они хранят (какие добрые и злые деяния они совершают).
024_00	Обрадуй же их мучительными страданиями,
025_00	кроме тех, которые уверовали и совершали праведные деяния. Им уготована награда неиссякаемая.
