001_00	Алиф. Лам. Мим.
002_00	Повержены римляне
003_00	в самой низкой (или ближайшей) земле. Но после своего поражения они одержат верх
004_00	через несколько (от трех до десяти) лет. Аллах принимал решения до этого и будет принимать их после этого. В тот день верующие возрадуются
005_00	помощи Аллаха. Он помогает, кому пожелает. Он - Могущественный, Милосердный.
006_00	Таково обещание Аллаха, и Аллах не нарушает Своего обещания, однако большинство людей не знают этого.
007_00	Они знают о мирской жизни только явное, и они беспечны к Последней жизни.
008_00	Неужели они не размышляли о самих себе? Аллах создал небеса, землю и то, что между ними, только ради истины и только на определенный срок.
008_01	Но многие люди не веруют во встречу со своим Господом.
009_00	Неужели они не странствовали по земле и не видели, каким был конец тех, кто был до них?
009_01	Они превосходили их силой, возделывали землю и отстраивали ее лучше, чем это делают они (мекканские язычники).
009_02	Их посланники приносили им ясные знамения. Аллах не был несправедлив к ним - они сами поступили несправедливо по отношению к себе.
010_00	Концом тех, кто творил зло, стало зло, потому что они сочли ложью знамения Аллаха и насмехались над ними.
011_00	Аллах создает творение в первый раз, а затем воссоздает его. А после этого вы будете возвращены к Нему.
012_00	В тот день, когда наступит Час, грешники придут в отчаяние.
013_00	Никто из их сотоварищей не заступится за них, и они отвергнут своих сотоварищей.
014_00	В тот день, когда наступит Час, они (творения) разделятся.
015_00	Те, которые уверовали и совершали праведные деяния, будут радоваться (или слушать пение) в Райском саду.
016_00	А те, которые не уверовали и сочли ложью Наши знамения и встречу в Последней жизни, будут испытывать мучения.
017_00	Славьте же Аллаха, когда для вас наступает вечер и когда наступает утро!
018_00	Ему надлежит хвала на небесах и на земле. Славьте Его после полудня и в полдень!
019_00	Он выводит живое из мертвого и выводит мертвое из живого. Он оживляет землю после ее смерти, и таким же образом вы будете выведены из могил.
020_00	Среди Его знамений - то, что Он сотворил вас из земли. После этого вы стали родом человеческим и расселяетесь.
021_00	Среди Его знамений - то, что Он сотворил из вас самих жен для вас, чтобы вы находили в них успокоение, и установил между вами любовь и милосердие.
021_01	Воистину, в этом - знамения для людей размышляющих.
022_00	Среди Его знамений - сотворение небес и земли и различие ваших языков и цветов. Воистину, в этом - знамения для обладающих знанием.
023_00	Среди Его знамений - ваш ночной и дневной сон и ваши поиски Его милости. Воистину, в этом - знамения для людей слышащих.
024_00	Среди Его знамений - то, что Он показывает вам молнию, чтобы вызвать у вас страх и надежду, а также ниспосылает с неба воду и оживляет ею землю после ее смерти.
024_01	Воистину, в этом - знамения для людей разумеющих.
025_00	Среди Его знамений - то, что небо и земля держатся по Его воле. Потом Он позовет вас всего один раз, и вы выйдете из могил.
026_00	Ему принадлежат те, кто на небесах и на земле. Все они покорны Ему.
027_00	Он - Тот, Кто создает творения в первый раз, а затем воссоздает их, и сделать это для Него еще легче. Ему принадлежат наивысшие качества на небесах и на земле. Он - Могущественный, Мудрый.
028_00	Он привел вам притчу о вас самих.
028_01	Есть ли среди невольников, которыми овладели ваши десницы, совладельцы того, чем Мы наделили вас, которые имеют с вами одинаковые права на это и которых вы опасаетесь так, как опасаетесь друг друга?
028_02	Так Мы разъясняем знамения для людей разумеющих.
