001_00	Горе обвешивающим,
002_00	которые требуют дать им сполна, когда люди отмеривают им,
003_00	а когда сами мерят или взвешивают для других, то наносят им урон.
004_00	Разве не думают они, что будут воскрешены
005_00	в Великий день -
006_00	в тот день, когда люди предстанут перед Господом миров?
007_00	Но нет! Книга грешников находится в Сиджжине.
008_00	Откуда ты мог знать, что такое Сиджжин?
009_00	Это - книга начертанная, в которой записаны все злодеяния дьяволов, неверующих и грешников (или скала под седьмой землей, под которой находится начертанная книга с деяниями грешников).
010_00	Горе в тот день тем, кто считает истину ложью,
011_00	кто считает ложью День воздаяния!
012_00	Его считает ложью только преступник и грешник.
013_00	Когда ему читают Наши аяты, он говорит: «Это - легенды древних народов!».
014_00	Но нет! Напротив, их сердца окутаны тем, что они приобрели.
015_00	Но нет! В тот день они будут отделены от своего Господа завесой (не увидят Аллаха),
016_00	а потом они попадут в Ад,
017_00	после чего им скажут: «Вот то, что вы считали ложью».
018_00	Но нет! Книга благочестивых окажется в Иллийюне.
019_00	Откуда ты мог знать, что такое Иллийюн?
020_00	Это - книга начертанная, в которой записаны все добрые деяния праведников (или верховья Рая, где находится начертанная книга с деяниями праведников).
021_00	Ее видят (или о ней будут свидетельствовать) приближенные.
022_00	Воистину, благочестивые окажутся в блаженстве
023_00	и будут на ложах созерцать райские блага.
024_00	На их лицах ты увидишь блеск благоденствия.
025_00	Их будут поить выдержанным запечатанным вином,
026_00	а печатью его будет мускус (оно запечатано мускусом или же последний глоток его будет иметь привкус мускуса). Пусть же ради этого состязаются состязающиеся!
027_00	Оно смешано с напитком из Таснима -
028_00	источника, из которого пьют приближенные.
029_00	Грешники смеялись над теми, которые уверовали.
030_00	Проходя мимо них, они подмигивали друг другу,
031_00	возвращаясь к своим семьям, они возвращались радостными (или),
032_00	а при виде их они говорили: «Воистину, эти впали в заблуждение».
033_00	А ведь они не были посланы к ним хранителями.
034_00	В тот день верующие будут смеяться над неверующими
035_00	и на ложах созерцать райские блага и то ужасное положение, в котором окажутся грешники.
036_00	Разве неверующие не получат воздаяние за то, что они совершали?
