001_00	Та. Син. Это - аяты Корана и ясного Писания,
002_00	верное руководство и благая весть для верующих,
003_00	которые совершают намаз, выплачивают закят и убеждены в Последней жизни.
004_00	Воистину, тем, которые не веруют в Последнюю жизнь, Мы представили их деяния прекрасными, и они блуждают в растерянности.
005_00	Они - те, которым уготованы злые мучения, а в Последней жизни они понесут наибольший убыток.
006_00	Воистину, ты получаешь Коран от Мудрого, Знающего.
007_00	Вот Муса (Моисей) сказал своей семье: «Воистину, я вижу огонь. Я принесу вам оттуда известие или горящую головню, чтобы вы могли согреться».
008_00	Когда он подошел туда, раздался глас: «Благословен тот, кто в огне, и тот, кто вокруг него. Пречист Аллах, Господь миров!
009_00	О Муса (Моисей)! Воистину, Я - Аллах, Могущественный, Мудрый.
010_00	Брось свой посох!». Когда он увидел, как тот извивается, словно змея, то бросился бежать назад и не вернулся (или не обернулся). Аллах сказал: «О Муса (Моисей)! Не бойся, ибо посланникам нечего бояться, когда они находятся предо Мною.
011_00	А если кто совершил несправедливость, а затем заменил зло добром, то ведь Я - Прощающий, Милосердный.
012_00	Сунь свою руку за пазуху, и она выйдет белой (цвета молока, светящейся), без следов болезни. Вот некоторые из девяти знамений для Фараона и его народа. Воистину, они являются людьми нечестивыми».
013_00	Когда Наши знамения были наглядно показаны им, они сказали: «Это - очевидное колдовство».
014_00	Они отвергли их несправедливо и надменно, хотя в душе они были убеждены в их правдивости. Посмотри же, каким был конец распространявших нечестие!
015_00	Мы даровали знание Давуду (Давиду) и Сулейману (Соломону), и они сказали: «Хвала Аллаху, который предпочел нас многим из Своих верующих рабов».
016_00	Сулейман (Соломон) наследовал Давуду (Давиду) и сказал: «О люди! Мы обучены языку птиц, и нам даровано от всего сущего. Это и есть явное превосходство (или явная милость)».
017_00	И собраны были к Сулейману (Соломону) его воины из числа джиннов, людей и птиц. Они были разделены на боевые порядки.
018_00	Когда они прибыли в долину муравьев, муравьиха сказала: «О муравьи! Войдите в свои жилища, чтобы Сулейман (Соломон) и его воины не погубили вас, даже не почувствовав этого».
019_00	Он улыбнулся, рассмеявшись от ее слов. Он сказал: «Господи! Внуши мне быть благодарным за Твою милость, которую Ты оказал мне и моим родителям,
019_01	и совершать праведные деяния, которыми Ты будешь доволен. Введи меня по Своей милости в число Своих праведных рабов».
020_00	Осматривая птиц, он сказал: «Что со мной? Почему я не вижу удода? Или же он оказался в числе отсутствующих?
021_00	Я подвергну его суровым мучениям или же зарежу его, если он не приведет ясного довода».
022_00	Он оставался там недолго и сказал: «Я узнал о том, чего ты не знаешь. Я прибыл к тебе из Сабы (Савы) с достоверным известием.
023_00	Я обнаружил там женщину, которая царствует над ними. Ей даровано все, и у нее есть великий трон.
024_00	Я увидел, что она вместе со своим народом поклоняется солнцу вместо Аллаха. Дьявол представил им их деяния прекрасными и сбил их с пути, и они не следуют прямым путем.
025_00	Это было сделано для того, чтобы они не поклонялись Аллаху, Который выявляет все сокрытое на небесах и на земле и знает то, что вы скрываете, и то, что вы обнаруживаете.
026_00	Нет иного божества, кроме Аллаха, Господа великого Трона».
027_00	Он сказал: «Посмотрим, сказал ли ты правду или же являешься одним из лжецов.
028_00	Отправляйся с этим посланием от меня и брось его им. Затем встань поодаль и погляди, что они ответят».
029_00	Она сказала: «О знать! Мне было брошено благородное письмо.
030_00	Оно - от Сулеймана (Соломона), и в нем сказано: «Во имя Аллаха, Милостивого, Милосердного!
031_00	Не превозноситесь предо мною и явитесь ко мне покорными»».
032_00	Она сказала: «О знать! Посоветуйте, как мне поступить. Я никогда не принимала решений самостоятельно, пока вы находились рядом со мной».
033_00	Они сказали: «Мы обладаем силой и великой мощью, но решение остается за тобой. Подумай, что ты прикажешь делать».
034_00	Она сказала: «Когда цари вторгаются в селение, они разрушают его и превращают его самых славных жителей в самых униженных. Вот так они поступают.
035_00	Я пошлю им дары и посмотрю, с чем вернутся послы».
036_00	Когда они прибыли к Сулейману (Соломону), он сказал: «Неужели вы можете помочь мне богатством? То, что даровал мне Аллах, лучше того, что Он даровал вам. Нет, это вы радуетесь преподнесенным вам дарам.
037_00	Возвращайся к ним, а мы обязательно прибудем с войском, перед которым они не устоят, и изгоним их оттуда униженными и ничтожными».
038_00	Он сказал: «О знать! Кто из вас принесет мне ее трон до того, как они предстанут предо мною покорными?».
039_00	Силач из числа джиннов сказал: «Я принесу его тебе прежде, чем ты встанешь со своего места (до окончания собрания). Я достаточно силен и заслуживаю доверия для этого».
040_00	А тот, который обладал знанием из Писания, сказал: «Я принесу его тебе в мгновение ока».
040_01	Увидев установленный перед ним трон, он сказал: «Мой Господь оказал мне эту милость для того, чтобы испытать меня, буду ли я благодарен или же буду непризнателен.
040_02	Кто благодарен, тот благодарен во благо себе. А если кто непризнателен, то ведь мой Господь - Богатый, Великодушный».
041_00	Он сказал: «Переделайте ее трон так, чтобы она не узнала его, и мы посмотрим, следует она прямым путем или же является одной из тех, кто не следует прямым путем».
042_00	Когда она прибыла, ей сказали: «Таков ли твой трон?». Она сказала: «Будто это он и есть». Сулейман (Соломон) сказал: «Знание было даровано нам раньше, чем ей, и мы являемся мусульманами».
043_00	Ей мешало то, чему она поклонялась вместо Аллаха, ведь она принадлежала к неверующему народу.
044_00	Ей сказали: «Войди во дворец». Увидев его, она приняла его за водную пучину и обнажила свои голени.
044_01	Он сказал: «Это - отшлифованный дворец из хрусталя». Она сказала: «Господи! Я была несправедлива к самой себе. Я покоряюсь вместе с Сулейманом (Соломоном) Аллаху, Господу миров».
045_00	Мы послали к самудянам их брата Салиха, чтобы они поклонялись Аллаху, но они стали двумя препирающимися группами.
046_00	Он сказал: «О мой народ! Почему вы торопите зло прежде добра? Почему вы не просите у Аллаха прощения? Быть может, вы будете помилованы».
047_00	Они сказали: «Мы видим дурное предзнаменование в тебе и тех, кто с тобой». Он сказал: «Ваше дурное предзнаменование - у Аллаха, но вы являетесь народом, который подвергают искушению».
048_00	В городе было девять человек, которые распространяли на земле нечестие и ничего не улучшали.
049_00	Они сказали: «Поклянитесь друг другу Аллахом, что ночью мы обязательно нападем на Салиха и его семью, а потом скажем его близкому родственнику, что мы не присутствовали при убийстве его семьи и что мы говорим правду».
050_00	Они замыслили хитрость, и Мы замыслили хитрость, но они не ощущали этого.
051_00	Посмотри же, каким был конец их хитрости! Мы уничтожили их вместе со всем их народом.
052_00	Вот их дома, разрушенные за то, что они поступали несправедливо. Воистину, в этом - знамения для людей знающих.
053_00	А тех, которые уверовали и были богобоязненны, Мы спасли.
054_00	Вот Лут (Лот) сказал своему народу: «Неужели вы будете совершать мерзость, видя это?
055_00	Неужели вы будете приходить с вожделением к мужчинам вместо женщин? О нет! Вы - невежественный народ!».
056_00	В ответ его народ смог лишь сказать: «Прогоните семью Лута (Лота) из вашего селения. Воистину, эти люди хотят очиститься».
057_00	Мы спасли его вместе с его семьей, кроме его жены. Мы предопределили ей оказаться в числе оставшихся позади.
058_00	Мы пролили на них дождь. Как же пагубен дождь тех, кого предостерегали!
059_00	Скажи: «Хвала Аллаху, и мир Его избранным рабам! Аллах лучше или те, кого вы приобщаете в сотоварищи?».
060_00	Кто создал небеса и землю и ниспослал вам с неба воду? Посредством нее Мы взрастили прекрасные сады.
060_01	Вы не смогли бы взрастить деревья в них. Так есть ли бог, кроме Аллаха? Нет, но они являются людьми, которые уклоняются от истины (или равняют с Аллахом вымышленных богов).
061_00	Кто сделал землю жилищем, проложил по ее расщелинам реки, воздвиг на ней незыблемые горы и установил преграду между морями? Есть ли бог, кроме Аллаха?
061_01	Нет, но большинство их не знает этого.
062_00	Кто отвечает на мольбу нуждающегося, когда он взывает к Нему, устраняет зло и делает вас наследниками земли? Есть ли бог, кроме Аллаха? Мало же вы поминаете назидания!
063_00	Кто ведет вас прямым путем во мраках суши и моря и посылает ветры с доброй вестью о Своей милости? Есть ли бог, кроме Аллаха?
063_01	Аллах превыше тех, кого приобщают в сотоварищи!
064_00	Кто создает творение изначально, а затем воссоздает его и обеспечивает вас пропитанием с неба и земли? Есть ли бог, кроме Аллаха? Скажи: «Приведите ваше доказательство, если вы говорите правду».
065_00	Скажи: «Никто из тех, кто на небесах и на земле, не ведает сокровенное, кроме Аллаха, а они даже не подозревают, когда их воскресят.
066_00	Но они не постигли о Последней жизни (или но их знание станет совершенным в Последней жизни). Более того, они сомневаются в ней и даже слепы к ней».
067_00	Неверующие говорят: «Неужели после того, как мы и наши отцы превратимся в прах, мы будем выведены из могил?
068_00	Это было обещано нам и еще раньше - нашим отцам. Но это - всего лишь легенды древних народов».
069_00	Скажи: «Постранствуйте по земле и посмотрите, каким был конец грешников».
070_00	Не печалься о них и пусть не стесняет тебя то, что они замышляют.
071_00	Они говорят: «Когда же сбудется это обещание, если вы говорите правду?».
072_00	Скажи: «Возможно, некоторое из того, что вы торопите, уже находится позади вас».
073_00	Воистину, твой Господь оказывает милость людям, но большинство их неблагодарны.
074_00	Воистину, твой Господь знает то, что таят их сердца, и то, что они обнаруживают.
075_00	На небе и на земле нет такого сокровенного, которого бы не было в ясном Писании.
076_00	Воистину, этот Коран рассказывает сынам Исраила (Израиля) большую часть того, о чем они расходятся во мнениях.
077_00	Воистину, это - верное руководство и милость для верующих.
078_00	Воистину, твой Господь рассудит между ними Своим судом. Он - Могущественный, Знающий.
079_00	Уповай же на Аллаха, ибо ты придерживаешься очевидной истины.
080_00	Ты не заставишь слышать мертвецов и не заставишь глухих услышать твой призыв, когда они обращаются вспять.
081_00	Ты не выведешь слепых из их заблуждения. Ты можешь заставить слышать только тех, которые веруют в Наши знамения, будучи мусульманами.
082_00	Когда же свершится над ними Слово, Мы выведем к ним из земли животное, которое скажет им, что люди не были убеждены в Наших знамениях.
083_00	В тот день Мы соберем из каждого народа толпу тех, кто считал ложью Наши знамения, и их будут подталкивать.
084_00	Когда они придут, Он скажет: «Неужели вы сочли ложью Мои знамения, даже не постигнув их? Что же вы совершали?».
085_00	Слово свершится над ними за то, что они поступали несправедливо, и они будут безмолвствовать.
086_00	Разве они не видели, что Мы создали ночь для того, чтобы они отдыхали в течение нее, и день для освещения? Воистину, в этом - знамения для верующих людей.
087_00	В тот день подуют в Рог, и перепугаются те, кто на небесах и на земле, кроме тех, кого Аллах пожелает выделить. Все предстанут перед Ним смиренными.
088_00	И ты увидишь, что горы, которые ты считал неподвижными, придут в движение, словно облака. Таково творение Аллаха, Который выполнил все в совершенстве. Воистину, Он ведает о том, что вы делаете.
089_00	Те, которые предстанут с добрым деянием, получат нечто лучшее. В тот день они будут защищены от испуга.
090_00	А те, которые предстанут с дурными деяниями, будут повергнуты в Огонь ничком: «Разве вы не получаете воздаяние только за то, что совершали?».
091_00	Скажи: «Мне велено только поклоняться Господу этого города (Мекки), который Он провозгласил заповедным. Ему принадлежит всякая вещь, мне же велено быть одним из мусульман
092_00	и читать Коран». Кто следует прямым путем, тот поступает во благо себе. А тому, кто впал в заблуждение, скажи: «Я - всего лишь один из тех, кто предостерегает».
093_00	Скажи: «Хвала Аллаху! Он покажет вам Свои знамения, и вы узнаете их». Твой Господь не находится в неведении о том, что вы совершаете.
