001_00	Йа. Син.
002_00	Клянусь мудрым Кораном!
003_00	Воистину, ты - один из посланников
004_00	на прямом пути.
005_00	Он ниспослан Могущественным, Милосердным,
006_00	чтобы ты предостерег людей, отцов которых никто не предостерег, из-за чего они оставались беспечными невеждами.
007_00	Относительно большинства из них сбылось Слово, и они не уверуют.
008_00	Воистину, Мы наложили на их шеи оковы до самого подбородка, и их головы задраны.
009_00	Мы установили преграду перед ними и преграду позади них и накрыли их покрывалом, и они не видят.
010_00	Им все равно, предостерег ты их или не предостерег. Они не веруют.
011_00	Ты можешь предостеречь только того, кто последовал за Напоминанием и устрашился Милостивого, не видя Его воочию. Обрадуй его вестью о прощении и щедрой награде.
012_00	Воистину, Мы оживляем мертвых и записываем то, что они совершили, и то, что они оставили после себя. Всякую вещь Мы подсчитали в ясном руководстве (Хранимой скрижали).
013_00	В качестве притчи приведи им жителей селения, к которым явились посланники.
014_00	Когда Мы отправили к ним двух посланников, они сочли их лжецами, и тогда Мы подкрепили их третьим. Они сказали: «Воистину, мы посланы к вам».
015_00	Они сказали: «Вы - такие же люди, как и мы. Милостивый ничего не ниспосылал, а вы всего лишь лжете».
016_00	Они сказали: «Наш Господь знает, что мы действительно посланы к вам.
017_00	На нас возложена только ясная передача откровения».
018_00	Они сказали: «Воистину, мы увидели в вас дурное предзнаменование. Если вы не прекратите, то мы непременно побьем вас камнями и вас коснутся мучительные страдания от нас».
019_00	Они сказали: «Ваше дурное предзнаменование обратится против вас самих. Неужели, если вас предостерегают, вы считаете это дурным предзнаменованием? О нет! Вы - народ излишествующий.
020_00	С окраины города второпях пришел мужчина и сказал: «О мой народ! Последуйте за посланниками.
021_00	Последуйте за теми, кто не просит у вас награды и следует прямым путем.
022_00	И почему бы мне не поклоняться Тому, Кто сотворил меня и к Кому вы будете возвращены?
023_00	Неужели я стану поклоняться другим богам помимо Него? Ведь если Милостивый пожелает причинить мне зло, то их заступничество ничем не поможет мне, и они не спасут меня.
024_00	Вот тогда я окажусь в очевидном заблуждении.
025_00	Воистину, я уверовал в вашего Господа. Послушайте же меня».
026_00	Ему было сказано: «Войди в Рай!». Он сказал: «О, если бы мой народ знал,
027_00	за что мой Господь простил меня (или что мой Господь простил меня) и что Он сделал меня одним из почитаемых!».
028_00	После него Мы не ниспослали на его народ никакого войска с неба и не собирались делать этого.
029_00	Был всего лишь один глас, и они затухли.
030_00	О горе рабам! Не приходил к ним ни один посланник, над которым бы они не издевались.
031_00	Неужели они не видят, сколько поколений Мы погубили до них и что они не вернутся к ним?
032_00	Воистину, все они будут собраны у Нас.
033_00	Знамением для них является мертвая земля, которую Мы оживили и извлекли из нее зерно, которым они питаются.
034_00	Мы создали на ней сады из финиковых пальм и винограда и заставили биться в них источники,
035_00	чтобы они вкушали их плоды и то, что создали своими руками (или чтобы они вкушали плоды, которые они не создали своими руками). Неужели они не будут благодарны?
036_00	Пречист Тот, Кто сотворил парами то, что растит земля, их самих и то, чего они не знают.
037_00	Знамением для них является ночь, которую Мы отделяем ото дня, и вот они погружаются во мрак.
038_00	Солнце плывет к своему местопребыванию. Так предопределил Могущественный, Знающий.
039_00	Мы предопределили для луны положения, пока она вновь не становится подобна старой пальмовой ветви.
040_00	Солнцу не надлежит догонять луну, и ночь не опережает день. Каждый плывет по орбите.
041_00	Знамением для них является то, что Мы перенесли их потомство в переполненном ковчеге.
