001_00	Аллах и Его Посланник освобождены от договоров, которые вы заключили с многобожниками.
002_00	Посему странствуйте по земле в течение четырех месяцев и знайте, что вам (многобожникам) не сбежать от Аллаха и что Аллах опозорит неверующих.
003_00	В день великого паломничества Аллах и Его Посланник объявят людям о том, что Аллах и Его Посланник отрекаются от многобожников. Если вы раскаетесь, то тем лучше для вас.
003_01	Если же вы отвернетесь, то знайте, что вам не сбежать от Аллаха. Обрадуй же вестью о мучительных страданиях неверующих.
004_00	Это не относится к тем многобожникам, с которыми вы заключили договор и которые после этого ни в чем его не нарушили и никому не помогали против вас. Соблюдайте же договор с ними до истечения его срока.
004_01	Воистину, Аллах любит богобоязненных.
005_00	Когда же завершатся запретные месяцы, то убивайте многобожников, где бы вы их ни обнаружили, берите их в плен, осаждайте их и устраивайте для них любую засаду.
005_01	Если же они раскаются и станут совершать намаз и выплачивать закят, то отпустите их, ибо Аллах - Прощающий, Милосердный.
006_00	Если же какой-либо многобожник попросит у тебя убежища, то предоставь ему убежище, чтобы он мог услышать Слово Аллаха. Затем доставь его в безопасное место, потому что они - невежественные люди.
007_00	Может ли быть у многобожников договор с Аллахом и Его Посланником, не считая тех, с которыми вы заключили договор у Заповедной мечети?
007_01	Пока они верны вам, вы также будьте верны им. Воистину, Аллах любит богобоязненных.
008_00	Какой там (какой договор может быть с многобожниками)? Если они одолеют вас, то не станут соблюдать перед вами ни родственных, ни договорных обязательств. На словах они пытаются угодить вам, но в сердцах они питают к вам отвращение, ведь большинство их являются нечестивцами.
009_00	Они продавали знамения Аллаха за ничтожную цену и сбивали других с Его пути. Как же отвратительны их деяния!
010_00	Они не соблюдают по отношению к верующим ни родственных, ни договорных обязательств. Они - преступники!
011_00	Но если они раскаются и будут совершать намаз и выплачивать закят, то они станут вашими братьями по вере. Мы разъясняем Наши знамения для людей знающих.
012_00	Если же они нарушат свои клятвы после заключения договора и станут посягать на вашу религию, то сражайтесь с предводителями неверия, ибо для них нет клятв. Быть может, тогда они прекратят.
013_00	Неужели вы не сразитесь с людьми, которые нарушили свои клятвы и вознамерились изгнать Посланника? Они начали первыми.
013_01	Неужели вы боитесь их? Вам надлежит больше бояться Аллаха, если вы являетесь верующими.
014_00	Сражайтесь с ними. Аллах накажет их вашими руками, опозорит их и одарит вас победой над ними. Он исцелит груди верующих людей
015_00	и удалит гнев из их сердец. Аллах прощает, кого пожелает, ибо Он - Знающий, Мудрый.
016_00	Неужели вы полагали, что вас оставят (что вы не будете подвергнуты испытанию), пока Аллах не распознает тех из вас, которые сражались и не избирали себе помощников, кроме Аллаха, Его Посланника и верующих?
016_01	Воистину, Аллах ведает о том, что вы совершаете.
017_00	Не полагается многобожникам оживлять мечети Аллаха, свидетельствуя о собственном неверии. Тщетны их деяния, и они вечно пребудут в Огне.
018_00	Только тот оживляет мечети Аллаха, кто уверовал в Аллаха и в Последний день, кто совершает намаз, выплачивает закят и не боится никого, кроме Аллаха.
018_01	Возможно, они окажутся на верном пути.
019_00	Неужели утоление жажды паломника и содержание Заповедной мечети вы приравниваете к деяниям тех, кто уверовал в Аллаха и в Последний день и сражался на Его пути?
019_01	Они не равны перед Аллахом, и Аллах не ведет прямым путем несправедливых людей.
020_00	Те, которые уверовали, совершили переселение и сражались на пути Аллаха своим имуществом и своими душами, выше пред Ним. Они являются преуспевшими.
021_00	Господь обрадует их вестью о Своей милости, Своем довольстве и Райских садах, в которых им уготовано вечное блаженство.
022_00	Они пребудут в них вечно. Воистину, Аллах вознаграждает великой наградой.
023_00	О те, которые уверовали! Не берите своих отцов и братьев себе в помощники и друзья, если они предпочли вере неверие.
023_01	А те из вас, которые берут их себе в помощники и друзья, являются беззаконниками.
024_00	Скажи: «Если ваши отцы, ваши сыновья, ваши братья, ваши супруги, ваши семьи, приобретенное вами имущество, торговля, застоя в которой вы опасаетесь, и жилища, которые вы облюбовали, милее вам, чем Аллах, Его Посланник и борьба на Его пути, то ждите, пока Аллах не придет со Своим велением.
024_01	Аллах не наставляет на прямой путь нечестивых людей».
025_00	Аллах одарил вас победой во многих местах и в день Хунейна, когда вы радовались своей многочисленности, которая ничем вам не помогла.
025_01	Земля стала тесной для вас, несмотря на ее просторы, и вы повернули вспять.
026_00	Потом Аллах ниспослал спокойствие Своему Посланнику и верующим, ниспослал воинов, которых вы не видите, и подверг мучениям тех, кто не верует. Таково возмездие неверующим!
027_00	А после этого Аллах примет покаяния тех, кого пожелает, ибо Аллах - Прощающий, Милосердный.
028_00	О те, которые уверовали! Воистину, многобожники являются нечистыми. И пусть они после этого их года не приближаются к Заповедной мечети.
028_01	Если же вы боитесь бедности, то Аллах обеспечит вас богатством из Своей милости, если пожелает. Воистину, Аллах - Знающий, Мудрый.
029_00	Сражайтесь с теми из людей Писания, которые не веруют ни в Аллаха, ни в Последний день, которые не считают запретным то, что запретили Аллах и Его Посланник,
029_01	которые не исповедуют истинную религию, пока они не станут собственноручно платить дань, оставаясь униженными.
030_00	Иудеи сказали: «Узейр (Ездра) - сын Аллаха». Христиане сказали: «Мессия - сын Аллаха». Они произносят своими устами слова, похожие на слова прежних неверующих.
030_01	Да погубит их Аллах! До чего же они отвращены от истины!
031_00	Они признали господами помимо Аллаха своих первосвященников и монахов, а также Мессию, сына Марьям (Марии).
031_01	А ведь им было велено поклоняться только одному Богу, кроме которого нет иного божества. Он превыше того, что они приобщают в сотоварищи!
032_00	Они хотят потушить свет Аллаха своими устами. Но Аллах не допустит этого и завершит распространение Своего света, даже если это ненавистно неверующим.
033_00	Он - Тот, Кто отправил Своего Посланника с верным руководством и истинной религией, чтобы превознести ее над всеми остальными религиями, даже если это ненавистно многобожникам.
034_00	О те, которые уверовали! Воистину, многие из первосвященников и монахов незаконно пожирают имущество людей и сбивают их с пути Аллаха.
034_01	Обрадуй же тех, которые накапливают золото и серебро и не расходуют их на пути Аллаха, мучительными страданиями.
035_00	В тот день они (накопленные ими сокровища) будут раскалены в огне Геенны, и ими будут заклеймены их лбы, бока и спины. Им будет сказано: «Вот то, что вы копили для себя. Вкусите же то, что вы копили!».
036_00	Воистину, число месяцев у Аллаха - двенадцать. Так было записано в Писании в тот день, когда Аллах сотворил небеса и землю.
036_01	Четыре месяца из них - запретные. Такова правая религия, и посему не поступайте в них несправедливо по отношению к себе. Сражайтесь с многобожниками всеми вместе (или все вместе), подобно тому, как они сражаются с вами всеми вместе (или все вместе). Знайте, что Аллах - с богобоязненными.
037_00	Откладывание запретного месяца только увеличивает неверие.
037_01	От этого неверующие впадают в заблуждение. В один год они объявляют его дозволенным, а в другой год объявляют его запретным, чтобы уравнять количество месяцев, которые Аллах сделал запретными.
037_02	Они объявляют дозволенным то, что запретил Аллах, и их злодеяния кажутся им прекрасными. Аллах не ведет прямым путем неверующих людей.
038_00	О те, которые уверовали! Почему, когда вас призывают выступить в поход на пути Аллаха, вы тяжело припадаете к земле?
038_01	Неужели вы довольствуетесь мирской жизнью больше, чем Последней жизнью? Но преходящее удовольствие мирской жизни по сравнению с Последней жизнью ничтожно.
039_00	Если вы не выступите в поход, то Он подвергнет вас мучительным страданиям и заменит вас другим народом. Вы ничем не навредите Ему, ибо Аллах способен на всякую вещь.
040_00	Если вы не окажете ему (Мухаммаду) поддержки, то ведь Аллах уже оказал ему поддержку, когда неверующие изгнали его.
040_01	Он был одним из тех двоих, которые находились в пещере, и сказал своему спутнику (Абу Бакру): «Не скорби, ибо Аллах - с нами». Тогда Аллах ниспослал ему спокойствие и поддержал его воинами, которых вы не видели.
040_02	Аллах сделал слово неверующих нижайшим, тогда как Слово Аллаха превыше всего. Аллах - Могущественный, Мудрый.
