001_00	О люди! Бойтесь вашего Господа! Воистину, сотрясение Часа является ужасным событием.
002_00	В тот день, когда вы увидите его, каждая кормящая мать забудет того, кого она кормила, а каждая беременная женщина выкинет свой плод.
002_01	Ты увидишь людей пьяными, но они не будут пьяны, зато мучения от Аллаха будут тяжки.
003_00	Среди людей есть такие, которые спорят об Аллахе, не имея знаний, и следуют за всяким мятежным дьяволом.
004_00	Ему было предписано, что любого, кто сочтет его своим покровителем и помощником, он введет в заблуждение и приведет к мучениям в Пламени.
005_00	О люди! Если вы сомневаетесь в воскрешении, то ведь Мы сотворили вас из земли, потом - из капли, потом - из сгустка крови, потом - из разжеванного кусочка, сформировавшегося или не сформировавшегося.
005_01	Так Мы разъясняем вам истину. Мы помещаем в утробах то, что желаем, до назначенного срока.
005_02	Потом Мы выводим вас младенцами, чтобы вы могли достигнуть зрелого возраста. Одни из вас умирают, другие же возвращаются в жалкую старость и забывают все, что знали.
005_03	Ты видишь безжизненную землю. Но стоит Нам ниспослать на нее воду, как она приходит в движение, набухает и порождает всякие прекрасные растения.
006_00	Это происходит, потому что Аллах является Истиной, оживляет мертвых и способен на всякую вещь,
007_00	потому что Час, в котором нет сомнения, непременно наступит и потому что Аллах воскресит тех, кто в могилах.
008_00	Среди людей есть такой, который спорит об Аллахе, не имея ни знаний, ни верного руководства, ни освещающего Писания.
009_00	Он надменно поворачивает шею, чтобы сбить других с пути Аллаха. Ему уготован позор в этом мире, а в День воскресения Мы дадим ему вкусить мучения от обжигающего Огня.
010_00	Ему будет сказано: «Это - за то, что приготовили твои руки, ведь Аллах не поступает несправедливо с рабами».
011_00	Среди людей есть и такой, который поклоняется Аллаху, находясь на грани между верой и неверием. Если ему достается добро, то благодаря этому он чувствует себя уверенно;
011_01	если же его постигает искушение, то он оборачивается вспять. Он теряет как этот мир, так и Последнюю жизнь. Это и есть очевидный убыток!
012_00	Вместо Аллаха он взывает к тому, что не приносит ему ни вреда, ни пользы. Это и есть глубокое заблуждение!
013_00	Он взывает к тому, кто может быстрее навредить, чем принести пользу. Плох такой господин! Плох такой товарищ!
014_00	А тех, которые уверовали и совершали праведные деяния, Аллах введет в Райские сады, в которых текут реки. Воистину, Аллах поступает так, как пожелает.
015_00	Кто полагает, что Аллах не окажет ему (Мухаммаду) помощи в этом мире и в Последней жизни, пусть подвяжет веревку к небу (или потолку), а затем перережет ее и посмотрит, устранит ли его хитрость то, что вызывает его ярость.
016_00	Таким образом Мы ниспослали его (Коран) в виде ясных аятов, и Аллах ведет прямым путем того, кого пожелает.
017_00	В День воскресения Аллах рассудит между верующими, исповедующими иудаизм, сабиями, христианами, огнепоклонниками и многобожниками.
017_01	Воистину, Аллах является Свидетелем всякой вещи.
018_00	Неужели ты не видишь, что перед Аллахом падают ниц те, кто на небесах и на земле, солнце, луна, звезды, горы, деревья, животные и многие люди.
018_01	А многие из них заслуживают мучений. Никто не окажет почтения тому, кого унизит Аллах. Воистину, Аллах поступает так, как пожелает.
019_00	Вот две тяжущиеся группы, которые препирались по поводу своего Господа. Для тех, которые не уверовали, выкроят одеяния из Огня, а на головы им будут лить кипяток.
020_00	От него будут плавиться их внутренности и кожа.
021_00	Для них уготованы железные палицы.
022_00	Каждый раз, когда они захотят выбраться оттуда и избавиться от печали, их вернут обратно. Вкусите мучения от обжигающего Огня!
023_00	А тех, которые уверовали и совершали праведные деяния, Аллах введет в Райские сады, в которых текут реки. Там они будут украшены золотыми браслетами и жемчугом,
023_01	а их одеяния будут из шелка.
024_00	Их научили благим словам и наставили на путь Достохвального.
025_00	Воистину, тем, которые не веруют, сбивают других с пути Аллаха, не пускают их в Заповедную мечеть, которую Мы воздвигли для всех людей, независимо о
025_01	т того, проживают они в ней или кочуют, а также тем, кто желает там уклониться от истины по несправедливости, Мы дадим вкусить мучительные страдания.
026_00	Вот Мы указали Ибрахиму (Аврааму) на место Дома (Каабы): «Ничего не приобщай ко Мне в сотоварищи и очищай Мой Дом (Каабу) для тех, кто совершает обход, выстаивает намазы, кланяется и падает ниц».
027_00	Возвести людям о хадже, и они будут прибывать к тебе пешком и на всех поджарых верблюдах с самых отдаленных дорог.
028_00	Пусть они засвидетельствуют то, что приносит им пользу, и поминают имя Аллаха в установленные дни над скотиной, которой Он наделил их.
028_01	Ешьте от них и кормите неимущего страдальца!
029_00	Затем пусть они завершат свои обряды, исполнят свои обеты и обойдут вокруг древнего Дома (Каабы).
030_00	Вот так! Кто почитает святыни Аллаха, тот поступает во благо себе перед своим Господом. Вам дозволена скотина, кроме той, о которой вам читается.
030_01	Избегайте же скверны идолов и избегайте лживых речей.
031_00	Оставайтесь ханифами и не приобщайте к Нему сотоварищей. А кто приобщает сотоварищей к Аллаху, тот словно падает с неба, и птицы подхватят его, или же ветер забросит его в далекое место.
032_00	Вот так! И если кто почитает обрядовые знамения Аллаха, то это исходит от богобоязненности в сердцах.
033_00	Они (жертвенные животные) приносят вам пользу до определенного времени, а место их заклания - у древнего Дома (Каабы).
034_00	Для каждой общины Мы установили места жертвоприношений (или религиозные обряды), чтобы они поминали имя Аллаха над скотиной, которой Он наделил их. Ваш Бог - Бог Единственный. Будьте же покорны Ему.
034_01	А ты сообщи благую весть смиренным,
035_00	сердца которых при упоминании имени Аллаха переполняются страхом, которые терпеливы к тому, что их постигает, совершают намаз и расходуют из того, чем Мы их наделили.
036_00	Жертвенных верблюдов Мы сделали для вас обрядовыми знамениями Аллаха. Они приносят вам пользу. Произносите же над ними имя Аллаха, когда они стоят рядами.
036_01	Когда же они падут на свои бока, то ешьте от них и кормите тех, кто довольствуется малым, и тех, кто просит от нищеты. Так Мы подчинили их (верблюдов) вам, - быть может, вы будете благодарны.
037_00	Ни мясо, ни кровь их не доходят до Аллаха. До Него доходит лишь ваша богобоязненность. Так Он подчинил их вам, чтобы вы возвеличивали Аллаха за то, что Он наставил вас на прямой путь.
037_01	Обрадуй же благой вестью творящих добро.
038_00	Воистину, Аллах оберегает тех, кто уверовал. Воистину, Аллах не любит всяких неблагодарных изменников.
039_00	Дозволено тем, против кого сражаются, сражаться, потому что с ними поступили несправедливо. Воистину, Аллах способен помочь им.
040_00	Они были несправедливо изгнаны из своих жилищ только за то, что говорили: «Наш Господь - Аллах».
040_01	Если бы Аллах не позволил одним людям защищаться от других, то были бы разрушены кельи, церкви, синагоги и мечети, в которых премного поминают имя Аллаха.
040_02	Аллах непременно помогает тому, кто помогает Ему. Воистину, Аллах - Всесильный, Могущественный.
041_00	Если Мы одарим их властью на земле, они будут совершать намаз, выплачивать закят, велеть совершать одобряемое и запрещать предосудительное. А исход всех дел - у Аллаха.
042_00	Если они сочтут тебя лжецом, то ведь еще раньше пророков считали лжецами народ Нуха (Ноя), адиты, самудяне,
043_00	народ Ибрахима (Авраама), народ Лута (Лота)
044_00	и жители Мадьяна. Мусу (Моисея) тоже сочли лжецом. Я предоставил отсрочку неверующим, а затем схватил их. Каким же было Мое обличение!
045_00	Сколько селений, которые были несправедливы, Мы погубили, и теперь они разрушены до основания. Сколько заброшенных колодцев и воздвигнутых дворцов!
046_00	Разве они не странствовали по земле, имея сердца, посредством которых они могли разуметь, и уши, посредством которых они могли слушать?
046_01	Воистину, слепнут не глаза, а слепнут сердца, находящиеся в груди.
047_00	Они торопят тебя с наказанием, но Аллах не нарушает Своего обещания, и день у твоего Господа равен тысяче лет по тому, как вы считаете.
048_00	Скольким селениям, которые были несправедливы, Я предоставил отсрочку! Впоследствии Я схватил их, и ко Мне предстоит прибытие.
049_00	Скажи: «О люди! Воистину, я для вас - предостерегающий и разъясняющий увещеватель».
050_00	Тем, которые уверовали и совершали праведные деяния, уготованы прощение и щедрый удел.
051_00	Те же, которые старались ослабить Наши знамения, станут обитателями Огня.
052_00	Мы не отправляли до тебя такого посланника или пророка, чтобы дьявол не подбросил свое в его чтение, когда он читал откровение. Аллах уничтожает то, что подбрасывает дьявол.
052_01	Потом Аллах утверждает Свои знамения, ведь Аллах - Знающий, Мудрый.
053_00	Он делает то, что подбрасывает дьявол, искушением для тех, чьи сердца поражены недугом и чьи сердца ожесточены. Воистину, беззаконники находятся в полном разладе с истиной.
054_00	Пусть знают те, кому даровано знание, что это - истина от твоего Господа, чтобы они могли уверовать в него, а их сердца могли смиренно покориться ему.
054_01	Воистину, Аллах наставляет верующих на прямой путь.
055_00	А неверующие не перестанут сомневаться в нем, пока не нагрянет внезапно Час или пока не постигнут их мучения в бесплодный день.
056_00	Власть в тот день будет принадлежать Аллаху, и Он рассудит между ними. И тогда те, которые уверовали и совершали праведные деяния, окажутся в Садах блаженства.
057_00	Тем же, которые не уверовали и считали ложью Наши знамения, уготованы унизительные мучения.
058_00	Аллах непременно наделит прекрасным уделом тех, которые переселились на пути Аллаха, а затем были убиты или умерли. Воистину, Аллах - Наилучший из дарующих удел.
059_00	Он непременно введет их во вход, которым они останутся довольны. Воистину, Аллах - Знающий, Выдержанный.
060_00	Вот так! Если кто-либо наказывает так, как он сам был наказан, после чего с ним поступают несправедливо, то Аллах непременно поможет ему. Воистину, Аллах - Снисходительный, Прощающий.
061_00	Это потому, что Аллах удлиняет день за счет ночи и удлиняет ночь за счет дня, а также потому, что Аллах - Слышащий, Видящий.
062_00	Это потому, что Аллах есть Истина, а то, чему они поклоняются помимо Него, есть ложь, а также потому, что Аллах - Возвышенный, Большой.
063_00	Неужели ты не видишь, как Аллах ниспосылает с неба воду, после чего земля зеленеет? Воистину, Аллах - Проницательный (или Добрый), Ведающий.
064_00	Ему принадлежит то, что на небесах, и то, что на земле. Воистину, Аллах - Богатый, Достохвальный.
065_00	Разве ты не видишь, что Аллах подчинил вам все, что на земле, и корабли, которые плывут по морям по Его воле? Он удерживает небо, чтобы оно не упало на землю без Его соизволения.
065_01	Воистину, Аллах сострадателен и милосерден к людям.
066_00	Он - Тот, Кто дарует вам жизнь, затем умерщвляет вас, а затем вновь оживляет. А человек, воистину, неблагодарен.
067_00	Для каждой общины Мы установили обряды, которые они отправляют, и пусть они не спорят с тобой по этому поводу. Призывай же к своему Господу. Воистину, ты - на прямом пути.
068_00	Если же они станут препираться с тобой, то скажи: «Аллаху лучше знать о том, что вы совершаете.
069_00	Аллах рассудит между вами в День воскресения в том, в чем вы препирались между собой».
070_00	Разве ты не знаешь, что Аллаху известно то, что на небе и на земле? Воистину, это есть в Писании. Воистину, это для Аллаха легко.
071_00	Они поклоняются вместо Аллаха тому, о чем Он не ниспослал никакого довода, о чем у них нет никакого знания. Не будет у беззаконников помощников!
072_00	Когда им читают Наши ясные аяты, ты видишь на их лицах отрицание. Они готовы наброситься на тех, кто читает им Наши аяты.
072_01	Скажи: «Не поведать ли вам о том, что хуже этого? Это - Огонь, который Аллах обещал тем, которые не уверовали. Как же скверно это место прибытия!».
073_00	О люди! Приводится притча, послушайте же ее.
073_01	Воистину, те, кому вы поклоняетесь помимо Аллаха, не сотворят и мухи, даже если они объединятся для этого. Если же муха заберет у них что-нибудь, они не смогут отобрать у нее это. Слаб тот, кто добивается, и тот, от кого он добивается!
074_00	Они не ценили Аллаха должным образом, а ведь Аллах - Всесильный, Могущественный.
075_00	Аллах избирает среди ангелов и людей посланников. Воистину, Аллах - Слышащий, Видящий.
076_00	Он знает их прошлое и будущее, и к Аллаху возвращаются дела.
077_00	О те, которые уверовали! Кланяйтесь, падайте ниц, поклоняйтесь вашему Господу и творите добро, - быть может, вы преуспеете.
078_00	Усердствуйте на пути Аллаха надлежащим образом. Он избрал вас и не сделал для вас никакого затруднения в религии.
