001_00	Клянусь горой!
002_00	Клянусь Писанием, начертанным
003_00	на развернутой нежной коже!
004_00	Клянусь домом наполненным (храмом на седьмом небе)!
005_00	Клянусь кровлей возведенной!
006_00	Клянусь морем разожженным (или переполненным; или опустевшим; или перемешанным; или удерживаемым)!
007_00	Наказание твоего Господа непременно наступит,
008_00	и ничто не отвратит его.
009_00	В тот день небо содрогнется от колебаний,
010_00	а горы придут в движение.
011_00	Горе в тот день тем, кто считает истину ложью,
012_00	кто забавляется, предаваясь празднословию.
013_00	В тот день они будут нещадно ввергнуты в огонь Геенны.
014_00	Это - тот самый Огонь, который вы считали ложью.
015_00	Неужели это колдовство? Или же вы не видите?
016_00	Горите в нем! Вам все равно, будете вы терпеть или не станете проявлять терпения. Вам воздается только за то, что вы совершали.
017_00	Воистину, богобоязненные пребудут в Райских садах и блаженстве.
018_00	Они будут радоваться тому, чем их одарит их Господь. Господь их уберег их от мучений в Аду.
019_00	Ешьте и пейте во здравие за то, что вы совершали!
020_00	Они будут, прислонившись, возлежать на ложах, выстроенных в ряд, и Мы сочетаем их с черноокими, большеглазыми гуриями.
021_00	Мы воссоединим верующих с их потомками, которые последовали за ними в вере, и нисколько не умалим их деяний.
021_01	Каждый человек является заложником того, что он приобрел.
022_00	Мы наделим их фруктами и мясом таким, какое они пожелают.
023_00	Они будут передавать друг другу чашу с вином, которое не принесет ни празднословия, ни греха.
024_00	Их будут обходить их юные слуги, подобные сокрытому жемчугу.
025_00	Они будут расспрашивать друг друга.
026_00	Они скажут: «Прежде, находясь в кругу своих семей, мы трепетали от страха.
027_00	Аллах же оказал нам милость и уберег нас от мучений знойного ветра (или мучений в Аду).
028_00	Мы взывали к Нему прежде. Воистину, Он - Добродетельный, Милосердный».
029_00	Напоминай же! По милости своего Господа ты не являешься ни прорицателем, ни одержимым.
030_00	Или же они говорят: «Он - поэт! Давайте же подождем, пока время не разберется с ним».
031_00	Скажи: «Ждите, и я подожду вместе с вами».
032_00	Неужели умы повелевают им такое? Или же они являются людьми преступными?
033_00	Или же они говорят: «Он выдумал его!». О нет! Просто они не веруют.
034_00	Пусть приведут подобное ему (Корану) повествование, если они говорят правду.
035_00	Неужели они были сотворены сами по себе (или просто так)? Или же они сами являются творцами?
036_00	Или же это они сотворили небеса и землю? О нет! Просто они лишены убежденности.
037_00	Неужели у них находятся сокровищницы твоего Господа? Или же они сами являются владыками?
038_00	Или же у них есть лестница, на которой они подслушивают разговоры ангелов? Пусть тот из них, кто подслушивал, приведет ясное доказательство.
039_00	Неужели у Него - дочери, а у вас - сыновья?
040_00	Или же ты просишь у них вознаграждения, и они обременены обязательствами?
041_00	Или же они владеют сокровенным и записывают его?
042_00	Или же они желают замыслить козни? Но ведь неверующие сами станут жертвой козней.
043_00	Или же у них есть другой бог наряду с Аллахом? Аллах пречист и далек от тех, кого они приобщают в сотоварищи!
044_00	Даже если они увидят куски неба падающими, они скажут: «Это скопились облака!».
045_00	Оставь же их, пока они не встретят тот день их, когда их постигнет погибель.
046_00	В тот день их козни не принесут им никакой пользы, и никто не поможет им.
047_00	Воистину, беззаконникам уготованы мучения и перед этим, но большинство их не знает этого.
048_00	Потерпи же до решения твоего Господа, ведь ты - у Нас на Глазах. Прославляй хвалой своего Господа, когда поднимаешься ото сна.
049_00	Среди ночи восхваляй Его и при исчезновении звезд.
