001_00	Клянусь рассеивающими прах!
002_00	Клянусь несущими бремя!
003_00	Клянусь плывущими легко!
004_00	Клянусь распределяющими дела!
005_00	Обещанное вам есть истина,
006_00	и суд непременно наступит.
007_00	Клянусь небом, обладающим прекрасным обликом (или небом, обладающим мощью; или небом со звездами)!
008_00	Ваши (неверующих) слова противоречивы.
009_00	Отвращен от него (Мухаммада или Корана) тот, кто был отвращен.
010_00	Да будут убиты лжецы,
011_00	которые окутаны невежеством и беспечны!
012_00	Они спрашивают, когда же настанет День воздаяния?
013_00	В тот день они будут гореть в Огне.
014_00	Вкусите ваше наказание, которое вы торопили.
015_00	Воистину, богобоязненные пребудут в Райских садах и среди источников,
016_00	получая то, что даровал им их Господь. До этого они были творящими добро.
017_00	Они спали лишь малую часть ночи,
018_00	а перед рассветом они молили о прощении.
019_00	Они выделяли известную долю своего имущества для просящих и обездоленных.
020_00	На земле есть знамения для людей убежденных,
021_00	а также в вас самих. Неужели вы не видите?
022_00	На небе находится ваш удел и то, что вам обещано.
023_00	Клянусь Господом неба и земли, что это является истиной, подобно тому, что вы обладаете даром речи.
024_00	Дошел ли до тебя рассказ о почтенных гостях Ибрахима (Авраама)?
025_00	Вот они вошли к нему и сказали: «Мир тебе!». Он сказал: «И вам мир, люди незнакомые!».
026_00	Он направился к своей семье с опаской и принес жирного теленка.
027_00	Он придвинул его к ним и сказал: «Не отведаете ли?».
028_00	Он испугался их в душе, и тогда они сказали: «Не бойся». Они обрадовали его вестью о знающем мальчике.
029_00	Его жена стала кричать и бить себя по лицу. Она сказала: «Старая бесплодная женщина!».
030_00	Они сказали: «Так сказал твой Господь. Он - Мудрый, Знающий».
031_00	Он сказал: «Какова же ваша миссия, о посланцы?».
032_00	Они сказали: «Мы посланы к грешным людям,
033_00	чтобы наслать на них каменья из глины,
034_00	помеченные у твоего Господа для тех, кто излишествовал».
035_00	Мы вывели оттуда всех уверовавших,
036_00	но нашли там только один дом с мусульманами.
037_00	Мы оставили там знамение для тех, которые боятся мучительных страданий.
038_00	Знамение было и в рассказе о Мусе (Моисее). Вот Мы отправили его к Фараону с явным доводом.
039_00	Он отвернулся в сторону (или вместе со своим окружением) и сказал: «Колдун или одержимый!».
040_00	Мы схватили его вместе с войском и бросили их в море, и он был достоин порицания.
041_00	Знамение было и в рассказе об адитах. Вот Мы наслали на них недобрый ветер.
042_00	Он обращал в подобие праха все, на что налетал.
043_00	Знамение было и в рассказе о самудянах. Им было сказано: «Пользуйтесь благами до определенного времени».
044_00	Они ослушались веления своего Господа, и их поразило губительное наказание, пока они наблюдали за этим.
045_00	Они не смогли даже подняться, и никто не помог им.
046_00	Мы уничтожили народ Нуха (Ноя) еще раньше, ибо они были людьми нечестивыми.
047_00	Мы воздвигли небо благодаря могуществу, и Мы его расширяем (или даруем пропитание; или обладаем мощью).
048_00	Мы разостлали землю, и как же прекрасно Мы расстилаем!
049_00	Мы сотворили все сущее парами, - быть может, вы помяните назидание.
050_00	Скажи: «Бегите же к Аллаху. Воистину, я являюсь для вас предостерегающим и разъясняющим увещевателем от Него.
051_00	Не поклоняйтесь наряду с Аллахом другому божеству. Воистину, я являюсь для вас предостерегающим и разъясняющим увещевателем от Него».
052_00	Таким же образом, какой бы посланник ни приходил к их предшественникам, они обязательно говорили: «Он - колдун или одержимый!».
053_00	Неужели они заповедали это друг другу? О нет! Они являются людьми, преступающими границы дозволенного.
054_00	Отвратись же от них, и тебя не будут порицать.
055_00	И напоминай, ибо напоминание приносит пользу верующим.
056_00	Я сотворил джиннов и людей только для того, чтобы они поклонялись Мне.
057_00	Я не хочу от них никакого удела и не хочу, чтобы они кормили Меня.
058_00	Воистину, Аллах является Наделяющим уделом, Обладающим могуществом, Крепким.
059_00	Воистину, тем, которые поступали несправедливо, уготована доля наказания, подобная доле их товарищей. Пусть же они не торопят Меня.
060_00	Горе неверующим от того дня их, который им обещан!
