001_00	Клянусь утром!
002_00	Клянусь ночью, когда она успокаивается (или покрывается мраком)!
003_00	Не покинул тебя твой Господь и не возненавидел.
004_00	Воистину, будущее для тебя лучше, чем настоящее.
005_00	Господь твой непременно одарит тебя, и ты будешь удовлетворен.
006_00	Разве Он не нашел тебя сиротой и не дал тебе приют?
007_00	Он нашел тебя заблудшим и повел прямым путем.
008_00	Он нашел тебя бедным и обогатил.
009_00	Посему не притесняй сироту!
010_00	И не гони просящего!
011_00	И возвещай о милости своего Господа.
