001_00	Ха. Мим.
002_00	Клянусь ясным Писанием!
003_00	Мы ниспослали его в благословенную ночь, и Мы предостерегаем.
004_00	В нее решаются все мудрые дела
005_00	по повелению от Нас. Мы посылаем пророков и Писания
006_00	по милости твоего Господа, Слышащего, Знающего,
007_00	Господа небес, земли и того, что между ними, если только вы обладаете убежденностью.
008_00	Нет божества, кроме Него. Он оживляет и умерщвляет. Он - ваш Господь и Господь ваших праотцев.
009_00	Но они забавляются, испытывая сомнения.
010_00	Подожди же того дня, когда небо принесет ясный дым,
011_00	который окутает людей. Это будут мучительные страдания!
012_00	Они скажут: «Господь наш! Избавь нас от страданий, ведь мы уверовали».
013_00	Но как они могут помянуть такое назидание, если к ним уже приходил разъясняющий посланник.
014_00	Затем они отвернулись от него и сказали: «Он - обученный, одержимый».
015_00	Мы избавим вас от страданий ненадолго, но ведь вы вернетесь к неверию.
016_00	В тот день, когда Мы схватим вас величайшей Хваткой, Мы будем мстить.
017_00	До вас Мы уже испытали народ Фараона, и к ним явился благородный посланник.
018_00	Он сказал: «Верните мне рабов Аллаха. Я являюсь посланником к вам, заслуживающим доверия.
019_00	Не превозноситесь над Аллахом, ведь я принес вам явное доказательство.
020_00	Я прибег к защите моего Господа и вашего Господа, чтобы вы не побили меня камнями.
021_00	Если же вы не верите мне, то оставьте меня».
022_00	Затем он воззвал к своему Господу: «Они являются грешными людьми».
023_00	Аллах сказал: «Выступи с Моими рабами ночью. Воистину, вас будут преследовать.
024_00	Оставь море в покое - их воинство будет потоплено».
025_00	Сколько они оставили садов, источников,
026_00	посевов, благородных мест
027_00	и блаженства, в котором они наслаждались!
028_00	Вот так! Мы позволили унаследовать это другому народу.
029_00	Ни небо, ни земля не оплакивали их, и им не была предоставлена отсрочка.
030_00	Мы уже спасли сынов Исраила (Израиля) от унизительных страданий -
031_00	от Фараона. Воистину, он был надменен и был одним из преступающих границы дозволенного.
032_00	Мы избрали их и возвысили их над мирами на основании знания.
033_00	Мы даровали им знамения, в которых было заключено явное испытание (или явная милость).
034_00	Воистину, они непременно скажут:
035_00	«Для нас есть только одна смерть, и мы не будем воскрешены.
036_00	Приведите же наших отцов, если вы говорите правду».
037_00	Они лучше или же народ Тубба (Тобба) и их предшественники? Мы погубили их. Воистину, они были грешниками.
038_00	Мы не сотворили небеса, землю и то, что между ними, забавляясь.
039_00	Мы сотворили их (небеса и землю) только ради истины, но большинство их не знает этого.
040_00	Воистину, День различения - это срок, установленный для каждого из них.
041_00	Это будет день, когда близкий ничем не поможет своему близкому и когда помощь не будет оказана никому,
042_00	кроме тех, над кем смилостивится Аллах. Воистину, Он - Могущественный, Милосердный.
043_00	Воистину, дерево заккум будет
044_00	пищей грешника.
045_00	Подобно осадку масла (или расплавленной меди), оно будет кипеть в животах так,
046_00	как кипит кипяток.
047_00	Схватите его и волоките (или несите) до самой середины Ада.
048_00	Затем налейте ему на голову кипяток, причиняющий страдания.
049_00	Вкушай, ведь ты - могущественный, благородный!
050_00	Вот то, в чем вы сомневались!
051_00	Воистину, богобоязненные пребудут в безопасном месте,
052_00	в Райских садах и среди источников.
053_00	Они будут облачены в атлас и парчу и будут восседать друг против друга.
054_00	Вот так! Мы сочетаем их с черноокими, большеглазыми девами.
055_00	Там они будут просить любые фрукты, будучи в безопасности.
056_00	Там они не вкусят смерти после первой смерти. Он защитил их от мучений в Аду
057_00	по милости от твоего Господа. Это и есть великое преуспеяние.
058_00	Мы облегчили его (Коран) на твоем языке, чтобы они могли помянуть назидание.
059_00	Подожди же, ведь они тоже ждут.
