001_00	Клянусь выстроившимися в ряды,
002_00	гонящими упорно,
003_00	читающими напоминание!
004_00	Воистину, ваш Бог - Единственный.
005_00	Он - Господь небес, земли и того, что между ними, Господь восходов.
006_00	Мы украсили ближайшее небо красотой звезд (или звездами)
007_00	и оберегаем его от всякого мятежного дьявола.
008_00	Они не могут прислушаться к высшему сонму, и их забрасывают со всех сторон,
009_00	чтобы изгнать оттуда. Им уготованы вечные мучения.
010_00	Но если кто из дьяволов выхватит слово, то за ним последует яркий пылающий огонь.
011_00	Спроси их (людей), они созданы прочнее или то, что Мы сотворили? Воистину, Мы сотворили их из липкой глины.
012_00	Но ты удивлен, а они глумятся.
013_00	Когда же им напоминают, они отказываются помнить.
014_00	Когда же они видят знамение, то высмеивают его.
015_00	Они говорят: «Это - всего лишь очевидное колдовство.
016_00	Неужели мы будем воскрешены после того, как умрем и станем прахом и костями?
017_00	Или же наши праотцы?».
018_00	Скажи: «Да, и вы будете унижены!».
019_00	Раздастся один только глас, и все они будут смотреть.
020_00	Они скажут: «Горе нам! Это - День воздаяния!».
021_00	Это - День различения, который вы считали ложью.
022_00	Соберите беззаконников и им подобных и тех, кому они поклонялись
023_00	вместо Аллаха, и укажите им на путь в Ад.
024_00	Остановите их, и они будут спрошены:
025_00	«Что с вами? Почему вы не помогаете друг другу?».
026_00	О нет! Сегодня они будут покорны.
027_00	Они будут обращаться друг к другу с вопросами.
028_00	Они скажут: «Вы приходили к нам справа».
029_00	Они ответят: «О нет! Вы сами не были верующими.
030_00	Мы не обладали властью над вами. Вы сами были людьми, преступавшими границы дозволенного.
031_00	Относительно нас сбылось Слово нашего Господа. Воистину, мы будем вкушать наказание.
032_00	Мы ввели вас в заблуждение, и мы сами были заблудшими».
033_00	Воистину, в тот день они разделят наказание.
034_00	Воистину, так Мы поступаем с грешниками.
035_00	Когда им говорили: «Нет божества, кроме Аллаха», - они превозносились
036_00	и говорили: «Неужели мы откажемся от наших богов ради одержимого поэта?».
037_00	О нет! Он принес истину и подтвердил правдивость посланников.
038_00	Вы непременно вкусите мучительные страдания,
039_00	и получите воздаяние только за то, что вы совершали.
040_00	Это не относится лишь к избранным (или искренним) рабам Аллаха.
041_00	Именно им уготован известный удел -
042_00	фрукты. Им будут оказаны почести
043_00	в Садах блаженства.
044_00	Они будут возлежать на ложах друг против друга.
