001_00	Великое бедствие (День воскресения)!
002_00	Что такое Великое бедствие (День воскресения)?
003_00	Откуда ты мог знать, что такое Великое бедствие (День воскресения)?
004_00	В тот день люди будут подобны рассеянным мотылькам,
005_00	а горы будут подобны расчесанной шерсти.
006_00	Тогда тот, чья чаша Весов окажется тяжелой,
007_00	обретет приятную жизнь.
008_00	Для того же, чья чаша Весов окажется легкой,
009_00	матерью станет Пропасть (грешники будут искать убежище в Аду, подобно тому, как ребенок ищет убежище у своей матери; или грешники будут падать в Адскую Пропасть вниз головой).
010_00	Откуда ты мог знать, что это такое?
011_00	Это - жаркий Огонь!
