001_00	Хвала Аллаху, Который ниспослал Своему рабу Писание и не допустил в нем неправды,
002_00	и сделал его правильным, чтобы предостеречь неверующих от тяжких мучений от Него и сообщить верующим, совершающим праведные деяния, благую весть о том, что им уготована прекрасная награда,
003_00	в которой они пребудут вечно,
004_00	и чтобы предостеречь тех, которые говорят: «Аллах взял Себе сына».
005_00	Знания об этом нет ни у них, ни у их отцов. Тяжки слова, выходящие из их ртов, и говорят они одну только ложь.
006_00	Ты можешь погубить себя от скорби по их следам (скорбя о том, что они отворачиваются от истины), если они не уверуют в это повествование?
007_00	Воистину, все, что есть на земле, Мы сделали украшением для нее, чтобы испытать людей ивыявить, чьи деяния окажутся лучше.
008_00	Воистину, все, что есть на земле, Мы превратим в безжизненный песок.
009_00	Или же ты решил, что люди пещеры и Ракима (название селения, из которого вышли юноши, или плита, на которой были начертаны их имена) были самым удивительным среди Наших знамений?
010_00	Вот юноши укрылись в пещере и сказали: «Господь наш! Даруй нам от Себя милость и устрой наше дело наилучшим образом».
011_00	Мы запечатали их уши (погрузили их в глубокий сон) в пещере на много лет.
012_00	Потом Мы разбудили их, чтобы узнать, какая из двух партий точнее подсчитает, какой срок они пробыли там.
013_00	Мы расскажем тебе их историю правдиво. Это были юноши, которые уверовали в своего Господа, и Мы увеличили их приверженность прямому пути.
014_00	Мы укрепили их сердца (укрепили их веру и решимость), когда они встали и сказали: «Господь наш - Господь небес и земли! Мы не станем взывать к другим божествам помимо Него. В таком случае мы произнесли бы чрезмерное.
015_00	Этот наш народ стал поклоняться вместо Него другим божествам. Почему же они не приводят в пользу этого ясного довода? Кто может быть несправедливее того, кто возводит навет на Аллаха?
016_00	Если вы удалились от них и от того, чему они поклоняются помимо Аллаха, то укройтесь в пещере, и ваш Господь распространит на вас Свою милость и сделает ваше дело легким».
017_00	Ты увидел бы, что солнце на восходе уклонялось от их пещеры вправо, а на закате отворачивалось от них влево. Они же находились в середине пещеры.
017_01	Это были некоторые из знамений Аллаха. Тот, кого Аллах ведет прямым путем, следует прямым путем. Тому же, кого Он вводит в заблуждение, ты не найдешь ни покровителя, ни наставника.
018_00	Ты решил бы, что они бодрствуют, хотя они спали. Мы переворачивали их то на правый бок, то на левый. Их собака лежала перед входом, вытянув лапы.
018_01	Взглянув на них, ты бросился бы бежать прочь и пришел бы в ужас.
019_00	Так Мы пробудили их для того, чтобы они расспросили друг друга. Один из них сказал: «Сколько вы пробыли здесь?». Они сказали: «Мы пробыли день или часть дня».
019_01	Они сказали: «Вашему Господу лучше известно о том, сколько вы пробыли.
019_02	Пошлите одного из вас в город с вашими серебряными монетами. Пусть он посмотрит, какая еда получше, и принесет вам ее поесть. Но пусть он будет осторожен, чтобы никто не догадался о вас.
020_00	Если они узнают о вас, то побьют вас камнями или обратят вас в свою религию, и тогда вы никогда не преуспеете.
021_00	Так Мы дали знать о них людям для того, чтобы они узнали, что обещание Аллаха есть истина и что в Часе невозможно усомниться. Но вот они стали спорить о них и сказали: «Воздвигните над ними строение.
021_01	Их Господу лучше знать о них». А те, которые отстояли свое мнение, сказали: «Мы непременно воздвигнем над ними мечеть».
022_00	Одни говорят, что их было трое, а четвертой была собака. Другие говорят, что их было пятеро, а шестой была собака. Так они пытаются угадать сокровенное. А другие говорят, что их было семеро, а восьмой была собака.
022_01	Скажи: «Моему Господу лучше знать об их числе. Это неизвестно никому, кроме немногих». Препирайся относительно них только открыто и никого из них не спрашивай о них.
023_00	И никогда не говори: «Я сделаю это завтра».
024_00	Если только этого не пожелает Аллах! Если же ты забыл, то помяни своего Господа и скажи: «Быть может, Господь мой поведет меня более правильным путем».
025_00	Они провели в пещере триста лет и еще девять.
026_00	Скажи: «Аллаху лучше знать, сколько они пробыли. У Него - сокровенное небес и земли.
026_01	Как прекрасно Он видит и слышит! Нет у них покровителя помимо Него, и никто не принимает решений вместе с Ним».
