001_00	凡在天地间的，都赞颂真主 至洁的、万能的、至睿的君主，超绝万物的君主。
002_00	他在文盲中派遣一个同族的使者，去对他们宣读他的迹象，并培养他们，教授他们天经和智慧，尽管以前他们确是在明显的迷误中；
003_00	并教化还没有赶上他们的其他人。真主是万能的，是至睿的。
004_00	这是真主的恩典，他把它赏赐他所欲赏赐的人们，真主是有宏恩的。
005_00	奉命遵守《讨拉特》而不遵守者，譬如驮经的驴子。否认真主的迹象的民众的譬喻，真恶劣！
005_01	真主是不引导不义的民众的。
006_00	你说：信奉犹太教的人们啊！如果你们自称是真主的选民，而排斥众人，那你们就希望早死吧，如果你们是诚实者。
007_00	他们因为曾经犯过罪，所以永远不希望早死。真主是全知不义者的。
008_00	你说：你们所逃避的死亡，必定与你们会面，然後你们将被送到全知幽明的主那 里，他将把你们的行为告诉你们。
009_00	信道的人们啊！当聚礼日召人礼拜的时候，你们应当赶快去记念真主，放下买卖，
009_01	那对於你们是更好的，如果你们知道。
010_00	当礼拜完毕的时候，你们当散布在地方上，寻求真主的恩惠，你们应当多多地记念真主，以便你们成功。
011_00	当他们看见生意或游戏的时候，他们离散了，他们让你独自站著。
011_01	你说：在真主那里的，比游戏和生意还好，真主是最善的供给者。
