001_00	众人啊！你们应当敬畏你们的主，复活时的地震，确是一件大事。
002_00	在那日，你们看见地震下每个乳母都被吓得忘记了婴儿，吓得每个孕妇都要流产；
002_01	你把人们看成醉汉，其实他们并非是醉汉，而是因为真主的刑罚是严峻的。
003_00	有人无知地进行关于真主的争论，并且顺从叛逆的恶魔。
004_00	凡结交恶魔者，恶魔必定使他迷误，必定把他引入火狱的刑罚，这是恶魔给注定了的。
005_00	众人啊！如果你们对于复活的事还在怀疑之中，那末，我确已创造了你们，先用泥土，
005_01	继用一小滴精液，继用一块凝血，继用完整的和不完整的肉团，以便我对你们阐明（道理）。
005_02	我使我所意欲的（胎儿）在子宫里安居一个定期，然后，我使你们出生为婴儿，
005_03	然后（我让你们活着），以便你们达到成年。你们中有夭折的；有复返于最劣的年纪的，
005_04	以便他在有知识之后，什么也不知道。你看大地是不毛的，当我使雨水降于大地的时候，
006_00	这是因为真主是真宰，他能使死者复生，他对于万事是全能的。
007_00	复活确是要来临的，毫无疑义，真主要使坟墓里的人复活起来。
008_00	有人争论真主，但他既无知识，又无指导，且无灿烂的经典。
009_00	他傲慢地走开，以便诱人叛离真主的大道。他在今世要受凌辱，复活日我要使他尝试烧灼的刑罚。
010_00	这是因为你所犯的罪行，也因为真主绝不是亏待众仆人的。
011_00	有人在边缘上崇拜真主，若获福利，他就安然享受；若遭祸害，
011_01	他就轻率背叛。他将丧失今世和后世，这是明显的亏损。
012_00	他舍真主而祈祷那对于他既无祸又无福的东西，这是不近情理的迷误。
013_00	他祈祷那有近祸而无远福的东西，他的援助者真恶劣！做他的同伴的真恶劣！
014_00	真主必定要使信道而且行善者进入那下临诸河的乐园。真主确是为所欲为的。
015_00	谁猜想真主在今世和后世绝不相助他，叫谁悬梁自尽，教他看他的计策能否解除他的愤怒！
016_00	我这样降示《古兰经》，作为明显的迹象，真主确是引导他所欲引导的。
017_00	信道者、犹太教徒、拜星教徒、基督教徒、拜火教徒，以及以物配主者，复活日真主必定要为他们判决，
017_01	真主确是万物的见证。
018_00	你难道不知道吗？在天上的和在地上的，与日月群星，山岳树木，牲畜和许多人，都服从真主，有许多人当受刑罚。真主凌辱谁，谁不受人尊敬。
018_01	真主确是为所欲为的。（此处叩头！）※
019_00	这两派是相争的，他们进行他们关于他们的主的争论。不信者已经有为他们而裁制的火衣了，沸水将倾注在他们的头上，
020_00	他们的内脏和皮肤将被沸水所溶化，
021_00	他们将享受铁鞭的抽打。
022_00	他们每因愁闷而逃出火狱，都被拦回去。你们尝试烧灼的刑罚吧！
023_00	真主必定要使信道而且行善者进入那下临诸河的乐园，他们在其中得享用金镯和珍珠作装饰，
023_01	他们的衣服是丝绸的。
024_00	他们曾蒙引导，故常说优美的语言；他们曾蒙引导，故遵循受赞颂者的大道。
025_00	不信道而且妨碍主道，
025_01	并且妨碍我使众人--定居的和游牧的--共同尊敬禁寺者，（我将使他稍稍尝试痛苦的刑罚）；谁因不义而欲在禁寺中违背正道，我将使谁稍稍尝试痛苦的刑罚。
026_00	当时我曾为易卜拉欣指定天房的地址，我说：你不要以任何物配我，你应当为环行者、立正者、鞠躬者和叩头者，打扫我的房屋。
027_00	你应当在众人中宣告朝觐，他们就从远道或徒步或乘着瘦驼，到你这里来，
028_00	以便他们见证他们所有的许多利益，并且在规定的若干日内，记念真主之名而屠宰他赐给他们的牲畜你们可以吃那些牲畜的肉，
028_01	并且应当用来款待困苦的和贫穷的人。
029_00	然后叫他们涤除他们的污垢，叫他们履行他们的誓愿， 叫他们围绕那间古房而环行。
030_00	事情就是这样的，谁尊重真主的戒律，在主的那里对于谁是更好的。
030_01	一切牲畜对你们都是合法的，对你们已宣布禁戒的除外。故你们应当避开污秽即偶像，应当永离妄语；
031_00	同时为真主而信奉正教，不以物配他。谁以物配真主，谁如从天空坠落，而被群鸟夺走，或被大风扫荡到远方。
032_00	事情就是这样的，谁尊敬真主的标识，那是心中的虔诚发出的。
033_00	牲畜对于你们，有若干利益，至于一个定期，然后（屠宰它们作供献）的合法地方应该是古房的附近。
034_00	我为每个民族制定一种供献的仪式，
034_01	以便他们记念真主之名而屠宰他所赐他们的牲畜。你们的神明是独一的神明，故你们应当只归顺他。你应当以喜讯传示谦恭者。
035_00	当记念真主的时候， 衷心感到恐惧者--感到战栗者--忍受苦难者、谨守拜功者、分舍我所赐之物者，
036_00	我为你们以骆驼为真主的标志，它们对于你们有许多用处；它们排列成行的时候，你们应当为屠宰它们而记念真主之名；当它们侧卧在地上的时候，
036_01	你们可以吃它们的肉，并应当用来款待知足的贫民和乞讨的贫民。我为你们制服它们， 以便你们感谢。
037_00	它们的肉和血，都不能达到真主，但你们的虔诚，能达到他。他为你们这样制服它们，以便你们为真主对你们的引导而尊崇他。
037_01	你应当向行善者报喜。
038_00	真主必定要保护信道者，真主确是不喜爱每个忘恩负义的叛逆者的。
039_00	被进攻者，已获得反抗的许可，因为他们是受压迫的。 真主对于援助他们，确是全能的。
040_00	他们被逐出故乡，只因他们常说：我们的主是真主。
040_01	要不是真主以世人互相抵抗，那么许多修道院、礼拜堂、犹太会堂，
040_02	清真寺--其中常有人记念真主之名的建筑物--必定被人破坏了。凡扶助真主的大道者， 真主必定扶助他；真主确是至强的，确是万能的。
041_00	如果我使那些人在地面上得势，他们将谨守拜功，完纳天课，劝善戒恶。万事的结局只归真主。
042_00	如果他们否认你，那末，在他们之前，否认使者的已有努哈的宗族、阿德人、赛莫德人、
043_00	易卜拉欣的宗族、鲁特的宗族、
044_00	麦德彦人；穆萨也曾否认过。我优容不信道者，随后我惩治了他们； 我的谴 责是怎样的呢？
045_00	有许多城市居民不义，而我毁灭他们，地上屋顶尚存， 并且有若干被遗弃的水井和被建成的大厦。
046_00	难道他们没有在大地上旅行，因而有心可以了解，或者有耳可以听闻吗？
046_01	因为肉眼不盲，胸中的心眼却盲了。
047_00	他们要求你早日昭示刑罚。真主绝不爽约。在你的主那里的一日， 恰如你们所数的一千年。
048_00	有许多城市，居民不义，而我优容他们，随后，我惩治他们，我是唯一的归宿。
049_00	你说：众人啊！我对你们只是一个直爽的警告者。
050_00	信道而且行善者，的蒙赦宥，得享优厚的给养；
051_00	以阻挠的态度努力反对我的迹象者，是火狱的居民。
052_00	在你之前我所派遣的使者和先知，没有一个不是这样的：当他愿望的时候，恶魔对于他的愿望，有一种建议，但真主破除恶魔的建议，然后，真主使自己的迹象成为坚确的。
052_01	真主是全知的，是至睿的。
053_00	（他这样做）以便他以恶魔建议的事考验有心病的人和心硬的人。不义者必陷于长远的分裂之中。
054_00	（他这样做）以便有学识者知道那是从你的主降示的真理，因为他们信仰它，而他们对他心怀谦逊。
054_01	真主必定要反信道者引上正路。
055_00	不信道者对于它仍然在犹豫之中，直到复活时刻忽然降临他们，或破坏日的刑罚来临他们。
056_00	在那日，主权只是真主的。他要判决他们。信道而且行善，将在极乐园中；
057_00	不信道而且否认我的迹象者，将受凌辱的刑罚。
058_00	为真主而迁居，然后被杀害或病故者，真主必赏赐他们佳美的给养；真主确是最善于给养的。
059_00	他必使他们进入他们所喜悦的地方；真主确是全知的，确是容忍的。
060_00	事情就是这样的。凡以怨报怨，然后被人虐待者，真主必援助他。 真主确是至恕的，确是至赦的。
061_00	这是因为真主使黑夜侵入白昼，使白昼侵入黑夜；又因为真主是全聪的，是全明的。
062_00	这是因为真主是真实的，他们舍真主而祈祷的（偶像）是虚妄的；又因为真主是至尊的，是至大的。
063_00	难道你不知道吗？真主从云中降下雨水，地面就变成苍翠的。 真主确是仁爱的，确是彻知的。
064_00	天地万物都是他的，真主确是无求的，确是可颂的。
065_00	难道你不知道吗？真主为你们制服大地上所有的事物，
065_01	以及奉他的命而在海上航行的船舶，他维持着天以免坠落在地上，除非获得他许可。真主对于世人确是至爱的，确是至慈的。
066_00	他使你们生，然后使你们死，然后使你们复活；人确是孤恩的。
067_00	我为每个民族制定一种供献仪式，让他们有的遵循，绝不是让他们为这事与你争论。你应当召唤众人来崇拜你的主，你确是在正路上的。
068_00	如果他们与你争论，你应当说：真主是知道你们的行为的。
069_00	复活日，真主将判决你们所争论的是非。
070_00	难道你不知道吗？真主知道天地万物，这确是在一本天经里的。这对于真主确是容易的。
