001_00	L'Inevitabile .
002_00	Cos'è l'Inevitabile.
003_00	Chi mai ti dirà che cos'è l'Inevitabile.
004_00	I Thamùd e gli 'Àd tacciarono di menzogna il cataclisma.
005_00	ma i Thamùd furono sterminati da un Grido tremendo.
006_00	mentre gli 'Àd furono distrutti da un vento mugghiante, furioso.
007_00	che Allah scatenò contro di loro per sette notti e otto giorni consecutivi. Allora avresti visto quella gente riversa in terra come tronchi cavi di palma.
008_00	Ne vedi forse uno sopravvissuto.
009_00	Anche Faraone e coloro che lo precedettero e le stravolte commisero peccati.
010_00	Disobbedirono al Messaggero del loro Signore ed Egli li afferrò con estrema energia.
011_00	Quando l'acqua dilagò vi caricammo sull'Arca.
012_00	affinché essa diventasse un monito ricordato da ogni orecchio che ricorda.
013_00	Quando sarà soffiato nel Corno la prima volta.
014_00	e la terra e le montagne saranno sollevate e polverizzate in un sol colpo.
015_00	in quel Giorno avverrà l'Evento.
016_00	e si spaccherà il cielo, così fragile in quel Giorno.
017_00	Staranno gli angeli ai suoi orizzonti e in quel Giorno otto porteranno il Trono del tuo Signore.
018_00	Sfilerete in quel Giorno e niente di quel che celate potrà essere nascosto.
019_00	Chi avrà ricevuto il libro nella mano destra, dirà: «Prendete, leggete il mio libro.
020_00	Invero sapevo che avrei avuto il mio rendiconto!».
021_00	Egli avrà piacevole esistenza
022_00	in un Giardino elevato.
023_00	i cui frutti saranno a portata di mano.
024_00	«Mangiate e bevete in pace, è il premio per quel che avete fatto nei giorni passati.»
025_00	Chi invece avrà ricevuto il suo libro nella mano sinistra, dirà: «Ahimè, se solo non mi fosse stato consegnato il mio libro
026_00	e non avessi conosciuto il mio rendiconto.
027_00	Ahimè, quanto vorrei che essa fosse stata definitiva .
028_00	Quel che possedevo non mi ha giovato affatto.
029_00	Ho perso il mio potere».
030_00	«Afferratelo e mettetelo nei ceppi.
031_00	quindi sia precipitato nella Fornace.
032_00	e poi legatelo con una catena di settanta cubiti.
033_00	Non credeva in Allah, il Supremo.
034_00	e non esortava a nutrire il povero.
035_00	Oggi non avrà qui nessun amico sincero.
036_00	né altro cibo che sanie
037_00	che solo i colpevoli mangeranno.
038_00	Lo giuro per quel che vedete.
039_00	e per quel che non vedete!».
040_00	Questa è in verità la parola di un Messaggero nobilissimo.
041_00	non è la parola di un poeta – per quanto poco crediate-
042_00	e neanche la parola di un indovino – per quanto poco riflettiate.
043_00	E una Rivelazione venuta dal Signore dei mondi.
044_00	Se Ci avesse mendacemente attribuito qualche discorso .
045_00	lo avremmo certo afferrato per la mano destra.
046_00	e quindi gli avremmo reciso l'aorta
047_00	e nessuno di voi avrebbe potuto impedirCelo.
048_00	In verità questo è un Monito per i timorati.
049_00	Sappiamo che tra voi c'è chi lo tratta da bugiardo.
050_00	in verità ciò sarà un rimpianto per i miscredenti.
051_00	questa è l'assoluta certezza.
052_00	Allora glorifica il Nome del tuo Signore, il Supremo.
